name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Kevin Mbabu,59615.38461538462,3100000,31538.46153846154,1640000,49672.307692307695,2582960,26278.25,1366469,67491.90384615384,3509579,35705.403846153844,1856681,2-yrs,6200000,3280000,5165920,2732939,7019158,3713361,Reserve,D,RB,26,Switzerland,Wolfsburg
Matthias Ginter,59615.38461538462,3100000,31538.46153846154,1640000,49672.307692307695,2582960,26278.25,1366469,67491.90384615384,3509579,35705.403846153844,1856681,1-yr,3100000,1640000,2582960,1366469,3509579,1856681,Starter,D,CB,28,Germany,Monchengladbach
Patrik Schick,57692.307692307695,3000000,30576.923076923078,1590000,48069.980769230766,2499639,25477.096153846152,1324809,65314.75,3396367,34616.807692307695,1800074,4-yrs,12000000,6360000,9998556,5299234,13585468,7200298,Starter,F,CF,26,Czech Republic,Bayer Leverkusen
Dominik Szoboszlai,57692.307692307695,3000000,30576.923076923078,1590000,48069.980769230766,2499639,25477.096153846152,1324809,65314.75,3396367,34616.807692307695,1800074,5-yrs,15000000,7950000,12498195,6624043,16981834,9000372,Reserve,F,LW,21,Hungary,Leipzig
Roman Bürki,57692.307692307695,3000000,30576.923076923078,1590000,48069.980769230766,2499639,25477.096153846152,1324809,65314.75,3396367,34616.807692307695,1800074,2-yrs,6000000,3180000,4999278,2649617,6792734,3600149,Reserve,K,GK,31,Switzerland,Borussia Dortmund
Marcel Halstenberg,57692.307692307695,3000000,30576.923076923078,1590000,48069.980769230766,2499639,25477.096153846152,1324809,65314.75,3396367,34616.807692307695,1800074,1-yr,3000000,1590000,2499639,1324809,3396367,1800074,Reserve,D,LB,30,Germany,Leipzig
Robert Andrich,57307.692307692305,2980000,30384.615384615383,1580000,47749.519230769234,2482975,25316.846153846152,1316476,64879.307692307695,3373724,34399.096153846156,1788753,5-yrs,14900000,7900000,12414873,6582382,16868622,8943766,Starter,M,CM,27,Germany,Bayer Leverkusen
Lucas Alario,56923.07692307692,2960000,30192.30769230769,1570000,47429.03846153846,2466310,25156.615384615383,1308144,64443.88461538462,3351082,34181.38461538462,1777432,3-yrs,8880000,4710000,7398931,3924433,10053246,5332296,Reserve,F,CF,29,Argentina,Bayer Leverkusen
Andrej Kramaric,55769.230769230766,2900000,29615.384615384617,1540000,46467.653846153844,2416318,24675.923076923078,1283148,63137.596153846156,3283155,33528.230769230766,1743468,1-yr,2900000,1540000,2416318,1283148,3283155,1743468,Starter,F,SS,30,Croatia,Hoffenheim
Lars Stindl,55769.230769230766,2900000,29615.384615384617,1540000,46467.653846153844,2416318,24675.923076923078,1283148,63137.596153846156,3283155,33528.230769230766,1743468,2-yrs,5800000,3080000,4832635,2566296,6566309,3486937,Reserve,F,AM,33,Germany,Monchengladbach
