Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
470,Benjamin Uphoff,de GER,GK,Freiburg,28-224,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
471,Mark Uth,de GER,FWMF,Köln,30-208,1991,22,16,1365,15.2,3,3,3,0,0,2,0,0.20,0.20,0.40,0.20,0.40,4.3,4.3,3.4,7.7,0.28,0.23,0.51,0.28,0.51,Matches
472,Ruben Vargas,ch SUI,MFFW,Augsburg,23-227,1998,24,23,1709,19.0,0,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,2.7,2.7,2.1,4.8,0.14,0.11,0.25,0.14,0.25,Matches
473,Sebastian Vasiliadis,gr GRE,MF,Arminia,24-167,1997,15,14,985,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches
474,Mickey van de Ven,nl NED,DF,Wolfsburg,20-335,2001,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
475,Vincent Vermeij,nl NED,MF,Freiburg,27-223,1994,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
476,Nick Viergever,nl NED,DF,Greuther Fürth,32-229,1989,17,17,1503,16.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,Matches
477,Andreas Voglsammer,de GER,FW,Union Berlin,30-070,1992,26,5,717,8.0,2,1,2,0,0,1,0,0.25,0.13,0.38,0.25,0.38,2.2,2.2,0.9,3.1,0.27,0.11,0.39,0.27,0.39,Matches
478,Kevin Vogt,de GER,DF,Hoffenheim,30-178,1991,24,23,2029,22.5,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.4,0.5,0.00,0.02,0.02,0.00,0.02,Matches
479,Aster Vranckx,be BEL,MF,Wolfsburg,19-167,2002,17,12,1000,11.1,2,0,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,2.3,2.3,0.9,3.2,0.20,0.08,0.29,0.20,0.29,Matches
480,Luca Waldschmidt,de GER,MFFW,Wolfsburg,25-305,1996,13,9,700,7.8,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.5,2.1,0.21,0.06,0.28,0.21,0.28,Matches
481,Paul Wanner,de GER,FWMF,Bayern Munich,16-087,2005,4,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
482,Wout Weghorst,nl NED,FW,Wolfsburg,29-225,1992,18,17,1553,17.3,6,1,5,1,2,2,0,0.35,0.06,0.41,0.29,0.35,8.9,7.4,1.5,8.9,0.51,0.09,0.60,0.43,0.52,Matches
483,Noah Weißhaupt,de GER,MFFW,Freiburg,20-181,2001,7,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
484,Silvan Widmer,ch SUI,DF,Mainz 05,29-015,1993,26,26,2295,25.5,2,4,2,0,0,0,0,0.08,0.16,0.24,0.08,0.24,1.2,1.2,2.3,3.5,0.05,0.09,0.14,0.05,0.14,Matches
485,Jetro Willems,nl NED,DF,Greuther Fürth,27-355,1994,19,16,1268,14.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.4,1.9,0.03,0.10,0.13,0.03,0.13,Matches
486,Patrick Wimmer,at AUT,FWMF,Arminia,20-294,2001,24,20,1523,16.9,3,6,3,0,0,5,0,0.18,0.35,0.53,0.18,0.53,3.3,3.3,3.1,6.3,0.19,0.18,0.37,0.19,0.37,Matches
487,Jonas Wind,dk DEN,FW,Wolfsburg,23-041,1999,6,6,513,5.7,2,0,2,0,0,0,0,0.35,0.00,0.35,0.35,0.35,1.7,1.7,0.4,2.1,0.29,0.07,0.36,0.29,0.36,Matches
488,Frederik Winther,dk DEN,DF,Augsburg,21-075,2001,4,3,328,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
489,Florian Wirtz,de GER,MFFW,Leverkusen,18-321,2003,24,22,1851,20.6,7,10,7,0,0,2,0,0.34,0.49,0.83,0.34,0.83,5.3,5.3,7.6,12.9,0.26,0.37,0.63,0.26,0.63,Matches
490,Axel Witsel,be BEL,MFDF,Dortmund,33-067,1989,22,16,1402,15.6,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
491,Hannes Wolf,at AUT,FWMF,M'Gladbach,22-338,1999,7,2,307,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.06,0.01,0.07,0.06,0.07,Matches
492,Marius Wolf,de GER,DFFW,Dortmund,26-297,1995,19,8,746,8.3,2,0,2,0,0,3,0,0.24,0.00,0.24,0.24,0.24,1.7,1.7,0.6,2.3,0.21,0.07,0.28,0.21,0.28,Matches
493,Jeong Woo-yeong,kr KOR,FWMF,Freiburg,22-181,1999,25,19,1502,16.7,4,0,4,0,0,1,0,0.24,0.00,0.24,0.24,0.24,4.8,4.8,1.4,6.2,0.29,0.08,0.37,0.29,0.37,Matches
494,Joscha Wosz,de GER,DF,RB Leipzig,19-243,2002,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
495,Dan-Axel Zagadou,fr FRA,DF,Dortmund,22-290,1999,9,5,466,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches
496,Denis Zakaria,ch SUI,MFDF,M'Gladbach,25-120,1996,16,15,1395,15.5,2,1,2,0,0,4,0,0.13,0.06,0.19,0.13,0.19,1.0,1.0,0.3,1.3,0.06,0.02,0.08,0.06,0.08,Matches
497,Deyovaisio Zeefuik,nl NED,DFMF,Hertha BSC,24-009,1998,11,6,565,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.07,0.07,0.00,0.07,Matches
498,Robin Zentner,de GER,GK,Mainz 05,27-143,1994,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
499,Andi Zeqiri,ch SUI,FWMF,Augsburg,22-271,1999,18,11,943,10.5,2,1,2,0,0,2,0,0.19,0.10,0.29,0.19,0.29,2.8,2.8,0.9,3.7,0.27,0.08,0.35,0.27,0.35,Matches
500,Simon Zoller,de GER,FW,Bochum,30-267,1991,4,4,360,4.0,2,2,2,0,0,2,0,0.50,0.50,1.00,0.50,1.00,1.4,1.4,0.7,2.1,0.34,0.18,0.52,0.34,0.52,Matches
