Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
423,Gabriel Paulista,br BRA,DF,Valencia,31-114,1990,13.3,379,465,81.5,9652,3119,86,96,89.6,176,205,85.9,112,158,70.9,1,0.1,+0.9,2,20,1,0,21,Matches
424,Alfonso Pedraza,es ESP,DF,Villarreal,25-345,1996,12.1,470,656,71.6,7935,2843,246,275,89.5,172,240,71.7,41,98,41.8,3,2.2,+0.8,15,30,17,7,45,Matches
425,Pedri,es ESP,MF,Barcelona,19-115,2002,7.5,392,464,84.5,7413,1848,166,185,89.7,151,172,87.8,61,80,76.3,1,1.0,0.0,15,46,15,0,44,Matches
426,Pedrosa,es ESP,DF,Espanyol,23-311,1998,25.3,814,1081,75.3,14241,5462,369,417,88.5,357,445,80.2,68,158,43.0,1,1.7,-0.7,18,47,16,10,47,Matches
427,Facundo Pellistri,uy URU,MFFW,Alavés,20-090,2001,6.7,95,131,72.5,1403,341,58,74,78.4,31,39,79.5,5,9,55.6,0,0.4,-0.4,5,9,4,1,8,Matches
428,Rubén Peña,es ESP,MFFW,Villarreal,30-245,1991,1.4,36,49,73.5,558,271,21,23,91.3,12,19,63.2,3,6,50.0,0,1.1,-1.1,2,1,3,2,4,Matches
429,Alberto Perea,es ESP,MF,Cádiz,31-091,1990,8.6,263,355,74.1,4605,1732,135,151,89.4,101,131,77.1,26,60,43.3,1,0.6,+0.4,11,29,12,6,48,Matches
430,Victor Perea,es ESP,DF,Espanyol,21-353,2000,0.0,2,3,66.7,36,34,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
431,Iñigo Pérez,es ESP,MF,Osasuna,34-061,1988,2.2,45,76,59.2,966,296,18,26,69.2,16,23,69.6,10,25,40.0,0,0.3,-0.3,3,8,0,0,7,Matches
432,Juan Pérez,es ESP,GK,Osasuna,25-248,1996,1.0,7,24,29.2,222,174,1,1,100.0,3,3,100.0,3,20,15.0,0,0.0,0.0,0,0,0,0,0,Matches
433,Kike Pérez,es ESP,MF,Elche,25-034,1997,0.8,45,60,75.0,833,299,17,17,100.0,18,26,69.2,8,12,66.7,0,1.0,-1.0,4,7,2,0,3,Matches
434,Lucas Pérez,es ESP,FW,Elche,33-191,1988,14.1,276,387,71.3,4608,1085,159,191,83.2,72,103,69.9,36,76,47.4,1,1.3,-0.3,11,18,9,1,23,Matches
435,Lucas Pérez,es ESP,FWMF,Cádiz,33-191,1988,3.4,87,117,74.4,1540,396,47,52,90.4,24,34,70.6,14,25,56.0,0,0.3,-0.3,3,5,3,1,6,Matches
436,Njegoš Petrović,rs SRB,MF,Granada,22-245,1999,3.7,97,115,84.3,1805,498,41,47,87.2,39,44,88.6,15,19,78.9,0,0.0,0.0,1,6,1,0,9,Matches
437,Alex Petxa,es ESP,DFMF,Athletic Club,25-042,1997,1.4,89,113,78.8,1559,586,42,44,95.5,35,45,77.8,10,20,50.0,0,0.0,0.0,0,10,2,0,12,Matches
438,Germán Pezzella,ar ARG,DF,Betis,30-266,1991,13.2,541,622,87.0,11481,3214,147,161,91.3,300,322,93.2,90,132,68.2,0,0.0,0.0,0,15,3,0,15,Matches
439,Pablo Piatti,ar ARG,MFFW,Elche,32-354,1989,2.3,43,56,76.8,607,121,30,36,83.3,7,13,53.8,3,4,75.0,0,0.4,-0.4,3,3,0,0,2,Matches
440,Cristiano Piccini,it ITA,DF,Valencia,29-175,1992,3.6,96,140,68.6,2084,1166,36,44,81.8,32,43,74.4,27,49,55.1,0,0.2,-0.2,2,9,4,3,12,Matches
441,Tomás Pina Isla,es ESP,MF,Alavés,34-157,1987,13.9,384,487,78.9,6727,1758,180,212,84.9,168,202,83.2,31,53,58.5,0,0.0,0.0,1,33,2,1,33,Matches
442,Orbelín Pineda,mx MEX,MF,Celta Vigo,25-361,1996,0.3,14,17,82.4,212,47,7,8,87.5,7,8,87.5,0,1,0.0,0,0.0,0.0,0,2,0,0,1,Matches
443,Yeremi Pino,es ESP,MFFW,Villarreal,19-151,2002,16.0,355,446,79.6,5226,1241,203,243,83.5,122,143,85.3,14,23,60.9,4,2.8,+1.2,18,9,21,6,36,Matches
444,Gerard Piqué,es ESP,DF,Barcelona,35-046,1987,20.0,1332,1472,90.5,30074,8048,306,337,90.8,767,800,95.9,249,319,78.1,0,0.1,-0.1,2,109,2,0,97,Matches
445,Ezequiel Ponce,ar ARG,FW,Elche,24-356,1997,2.3,37,49,75.5,484,79,25,30,83.3,5,8,62.5,4,4,100.0,0,0.2,-0.2,3,1,1,1,1,Matches
446,Pere Pons,es ESP,MF,Alavés,29-028,1993,12.6,227,318,71.4,3746,896,124,156,79.5,75,107,70.1,21,37,56.8,0,0.6,-0.6,10,19,6,1,19,Matches
447,Portu,es ESP,FWMF,Real Sociedad,29-303,1992,14.5,286,393,72.8,4015,1292,179,218,82.1,93,127,73.2,8,26,30.8,2,1.5,+0.5,17,12,16,5,32,Matches
448,Sergio Postigo,es ESP,DF,Levante,33-136,1988,4.3,155,190,81.6,3446,1176,41,46,89.1,91,97,93.8,23,45,51.1,0,0.1,-0.1,1,8,0,0,10,Matches
449,Darío Poveda,es ESP,FWMF,Getafe,25-007,1997,4.2,51,82,62.2,825,165,32,44,72.7,11,21,52.4,5,12,41.7,0,0.1,-0.1,3,3,1,1,4,Matches
450,José Pozo,es ESP,MF,Rayo Vallecano,26-005,1996,0.8,45,52,86.5,884,268,21,22,95.5,17,22,77.3,6,6,100.0,0,0.3,-0.3,3,5,5,0,8,Matches
451,Abdón Prats,es ESP,FW,Mallorca,29-103,1992,4.8,78,107,72.9,1144,222,48,57,84.2,19,26,73.1,6,10,60.0,0,0.2,-0.2,4,9,1,0,7,Matches
452,Javi Puado,es ESP,MFFW,Espanyol,23-299,1998,16.4,370,449,82.4,5232,1002,224,246,91.1,112,135,83.0,16,26,61.5,1,1.0,0.0,15,18,12,2,31,Matches
453,Pubill,es ESP,DF,Levante,18-273,2003,4.7,176,224,78.6,3023,789,88,100,88.0,70,84,83.3,16,31,51.6,0,0.2,-0.2,5,8,5,3,12,Matches
454,Antonio Puertas,es ESP,MFFW,Granada,30-027,1992,17.9,330,473,69.8,5234,1479,184,228,80.7,110,155,71.0,29,51,56.9,1,0.7,+0.3,13,21,14,6,35,Matches
455,Riqui Puig,es ESP,MF,Barcelona,22-219,1999,3.6,275,294,93.5,4350,677,156,161,96.9,88,96,91.7,22,26,84.6,0,0.2,-0.2,3,21,5,0,18,Matches
456,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,31-076,1991,0.0,1,3,33.3,17,0,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
457,Quini,es ESP,DF,Granada,32-177,1989,18.7,470,671,70.0,8595,3382,210,250,84.0,200,266,75.2,51,119,42.9,0,1.1,-1.1,12,29,9,6,35,Matches
458,Dani Raba,es ESP,MF,Granada,26-142,1995,0.2,3,3,100.0,38,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
459,Dani Raba,es ESP,MFFW,Villarreal,26-142,1995,1.0,30,44,68.2,663,185,9,13,69.2,11,15,73.3,9,15,60.0,0,0.3,-0.3,4,2,1,0,3,Matches
460,Uroš Račić,rs SRB,MF,Valencia,24-003,1998,8.7,220,302,72.8,4533,1296,90,116,77.6,78,93,83.9,43,77,55.8,0,0.7,-0.7,6,27,3,0,34,Matches
461,Nemanja Radoja,rs SRB,MF,Levante,29-042,1993,7.2,223,268,83.2,3973,930,102,111,91.9,95,106,89.6,23,37,62.2,0,0.0,0.0,0,19,1,0,15,Matches
462,Rafinha,br BRA,MFFW,Real Sociedad,29-036,1993,4.4,202,226,89.4,3469,738,108,115,93.9,64,72,88.9,25,29,86.2,0,0.2,-0.2,2,19,4,1,14,Matches
463,Antonio Raillo,es ESP,DF,Mallorca,30-163,1991,8.0,295,331,89.1,6035,1957,93,97,95.9,147,154,95.5,48,69,69.6,0,0.0,0.0,0,16,0,0,16,Matches
464,Ivan Rakitić,hr CRO,MF,Sevilla,34-010,1988,17.9,1021,1205,84.7,21221,5237,393,425,92.5,435,483,90.1,178,256,69.5,3,1.6,+1.4,26,103,10,2,79,Matches
465,Jonás Ramalho,es ESP,DF,Osasuna,28-283,1993,1.0,17,32,53.1,310,191,7,10,70.0,9,16,56.3,1,4,25.0,0,0.0,0.0,0,1,1,0,4,Matches
466,Sandro Ramírez,es ESP,FW,Getafe,26-254,1995,13.7,239,329,72.6,3605,567,137,166,82.5,69,97,71.1,20,35,57.1,0,0.8,-0.8,13,15,3,1,6,Matches
467,Lluís Recasens,es ESP,DF,Espanyol,20-110,2001,0.5,8,12,66.7,174,53,1,2,50.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches
468,Manolo Reina,es ESP,GK,Mallorca,36-353,1985,18.0,350,545,64.2,11306,7571,70,70,100.0,133,133,100.0,139,334,41.6,0,0.3,-0.3,1,6,0,0,0,Matches
469,Karim Rekik,nl NED,DF,Sevilla,27-108,1994,10.6,614,671,91.5,11563,3328,222,237,93.7,318,334,95.2,65,87,74.7,2,0.3,+1.7,5,28,4,1,24,Matches
470,Álex Remiro,es ESP,GK,Real Sociedad,26-361,1995,25.0,669,890,75.2,20369,12781,145,146,99.3,275,278,98.9,249,466,53.4,0,0.0,0.0,0,11,0,0,0,Matches
471,Nico Ribaudo,es ESP,MFFW,Espanyol,20-343,2001,9.6,276,333,82.9,4692,1011,157,177,88.7,86,105,81.9,28,39,71.8,0,1.3,-1.3,12,21,11,1,28,Matches
472,Diego Rico,es ESP,DF,Real Sociedad,29-025,1993,8.5,401,523,76.7,7097,3313,162,182,89.0,200,244,82.0,33,72,45.8,0,0.3,-0.3,5,26,15,4,37,Matches
473,Sergio Rico,es ESP,GK,Mallorca,28-200,1993,7.0,136,183,74.3,4763,3247,22,22,100.0,45,46,97.8,68,114,59.6,0,0.0,0.0,0,1,0,0,0,Matches
474,Luis Rioja,es ESP,MFFW,Alavés,28-155,1993,27.0,416,685,60.7,6787,1720,236,320,73.8,135,208,64.9,35,105,33.3,3,2.8,+0.2,23,21,23,6,48,Matches
475,Rober,es ESP,DF,Levante,27-032,1995,14.5,584,719,81.2,12081,4767,202,216,93.5,268,302,88.7,111,186,59.7,0,0.2,-0.2,4,35,3,1,45,Matches
476,Sergi Roberto,es ESP,MFDF,Barcelona,30-041,1992,4.4,241,268,89.9,3887,908,124,132,93.9,93,100,93.0,20,29,69.0,1,0.3,+0.7,5,16,2,0,15,Matches
477,Rubén Rochina,es ESP,MFFW,Granada,30-362,1991,8.3,259,379,68.3,5358,1506,121,140,86.4,82,115,71.3,49,103,47.6,3,0.7,+2.3,12,31,8,3,33,Matches
478,Enzo Roco,cl CHI,DF,Elche,29-216,1992,21.6,705,841,83.8,16178,5254,182,205,88.8,370,401,92.3,149,223,66.8,0,0.1,-0.1,1,33,1,0,31,Matches
