Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
264,Jamie Leweling,de GER,FW,Greuther Fürth,21-022,2001,17.1,13,7,0,11,2,4,14,28.6,10,324,86,26.5,37,141,146,18,1,0,17,14,27,7,0,Matches
265,Philipp Lienhart,at AUT,DF,Freiburg,25-252,1996,24.9,19,10,13,5,1,9,17,52.9,8,139,44,31.7,86,43,10,34,20,0,14,64,83,147,1,Matches
266,Andreas Linde,se SWE,GK,Greuther Fürth,28-239,1993,6.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,22-019,2000,17.9,21,15,7,10,4,7,28,25.0,21,419,112,26.7,61,183,175,35,0,0,35,32,53,7,0,Matches
268,Dejan Ljubicic,at AUT,MFFW,Köln,24-163,1997,16.8,18,14,6,6,6,11,26,42.3,15,365,117,32.1,65,184,116,17,1,0,16,19,37,14,0,Matches
269,Jürgen Locadia,nl NED,FWMF,Bochum,28-133,1993,3.8,4,4,0,1,3,0,0,,0,86,31,36.0,2,32,52,0,0,0,0,3,7,2,0,Matches
270,Anthony Losilla,fr FRA,MF,Bochum,36-010,1986,24.6,64,46,26,33,5,23,54,42.6,31,475,149,31.4,167,254,54,36,9,0,27,58,122,88,0,Matches
271,Marcel Lotka,pl POL,GK,Hertha BSC,20-299,2001,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
272,Eduard Löwen,de GER,MF,Bochum,25-051,1997,13.1,29,23,10,13,6,11,37,29.7,26,327,105,32.1,79,168,80,17,2,0,15,17,46,22,0,Matches
273,Anderson Lucoqui,ao ANG,DF,Mainz 05,24-257,1997,6.8,19,13,8,9,2,6,13,46.2,7,106,29,27.4,42,40,24,16,2,0,14,7,26,17,0,Matches
274,Dodi Lukebakio,be BEL,FW,Hertha BSC,24-177,1997,2.0,4,4,2,2,0,0,0,,0,33,7,21.2,12,9,12,3,0,0,3,1,5,1,0,Matches
275,Dodi Lukebakio,be BEL,FWMF,Wolfsburg,24-177,1997,9.5,10,3,6,2,2,4,14,28.6,10,116,33,28.4,27,44,45,8,0,0,8,10,20,11,0,Matches
276,Andreas Luthe,de GER,GK,Union Berlin,35-010,1987,25.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
277,Matej Maglica,hr CRO,DF,Stuttgart,23-176,1998,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Arne Maier,de GER,MF,Augsburg,23-071,1999,15.6,19,11,8,6,5,5,21,23.8,16,261,74,28.4,93,121,47,20,1,0,19,13,32,13,0,Matches
279,Donyell Malen,nl NED,FW,Dortmund,23-060,1999,18.3,16,12,7,4,5,3,6,50.0,3,227,80,35.2,24,93,110,16,2,0,14,8,24,11,0,Matches
280,Lennard Maloney,us USA,DF,Dortmund,22-163,1999,0.1,1,1,1,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,1,1,0,Matches
281,Orel Mangala,be BEL,MF,Stuttgart,24-002,1998,16.5,17,12,6,8,3,6,19,31.6,13,184,67,36.4,59,85,40,16,4,0,12,23,40,15,0,Matches
282,Myziane Maolida,fr FRA,FWMF,Hertha BSC,23-034,1999,7.8,4,4,3,0,1,2,8,25.0,6,135,32,23.7,35,60,40,6,0,0,6,1,5,6,0,Matches
283,Omar Marmoush,eg EGY,FW,Wolfsburg,23-041,1999,0.3,2,1,0,2,0,0,0,,0,7,2,28.6,0,5,2,0,0,0,0,0,2,0,0,Matches
284,Omar Marmoush,eg EGY,FWMF,Stuttgart,23-041,1999,13.6,20,13,6,8,6,5,14,35.7,9,268,62,23.1,35,125,108,13,0,0,13,10,30,4,0,Matches
285,Aarón Martín,es ESP,DF,Mainz 05,24-332,1997,19.0,42,23,24,13,5,16,34,47.1,18,283,97,34.3,104,127,52,25,4,0,21,24,66,36,0,Matches
286,Josep Martinez,es ESP,GK,RB Leipzig,23-297,1998,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Erhan Mašović,rs SRB,DF,Bochum,23-118,1998,13.2,33,19,22,10,1,17,31,54.8,14,182,54,29.7,104,71,7,38,21,1,17,38,71,70,0,Matches
288,Roberto Massimo,de GER,DFFW,Stuttgart,21-159,2000,9.4,11,10,6,4,1,5,15,33.3,10,172,45,26.2,53,69,50,11,0,0,11,12,23,6,0,Matches
289,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,24-099,1997,23.1,56,31,32,21,3,24,43,55.8,19,196,89,45.4,114,69,13,59,21,1,38,72,128,126,1,Matches
290,Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,32-362,1989,3.0,10,7,3,4,3,2,6,33.3,4,54,18,33.3,9,25,20,2,0,0,2,2,12,1,0,Matches
291,Kevin Mbabu,ch SUI,DF,Wolfsburg,26-335,1995,12.9,32,14,22,5,5,10,24,41.7,14,210,65,31.0,90,67,53,36,7,0,29,29,61,35,0,Matches
292,Nathan de Medina,be BEL,DF,Arminia,24-163,1997,5.9,13,8,8,5,0,3,7,42.9,4,105,35,33.3,67,35,3,13,3,0,10,12,25,16,0,Matches
293,Admir Mehmedi,ch SUI,MF,Wolfsburg,31-004,1991,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,1,1,0,0,Matches
294,Jorge Meré,es ESP,DF,Köln,24-337,1997,5.4,7,3,3,3,1,3,9,33.3,6,47,15,31.9,27,18,2,9,4,0,5,13,20,34,1,Matches
295,Thomas Meunier,be BEL,DF,Dortmund,30-189,1991,15.6,34,23,11,14,9,16,30,53.3,14,151,58,38.4,66,61,24,16,2,0,14,20,54,26,1,Matches
296,Marco Meyerhöfer,de GER,DF,Greuther Fürth,26-122,1995,24.3,49,22,24,18,7,21,42,50.0,21,270,89,33.0,115,106,49,60,22,0,38,66,115,76,1,Matches
297,Sven Michel,de GER,FW,Union Berlin,31-248,1990,2.8,6,4,1,5,0,2,6,33.3,4,60,17,28.3,9,29,22,5,0,0,5,0,6,0,0,Matches
298,Enzo Millot,fr FRA,MF,Stuttgart,19-246,2002,0.4,1,0,0,0,1,0,0,,0,17,4,23.5,3,9,5,0,0,0,0,1,2,0,0,Matches
299,Maximilian Mittelstädt,de GER,DFFW,Hertha BSC,25-002,1997,13.9,46,24,23,15,8,16,37,43.2,21,257,80,31.1,121,93,43,35,5,0,30,47,93,24,0,Matches
300,Anthony Modeste,fr FRA,FW,Köln,33-340,1988,22.0,9,4,2,4,3,4,19,21.1,15,271,75,27.7,21,107,143,11,2,0,9,5,14,29,0,Matches
301,Kevin Möhwald,de GER,MF,Union Berlin,28-260,1993,3.9,6,3,3,2,1,3,8,37.5,5,79,24,30.4,18,42,19,3,0,0,3,5,11,3,0,Matches
302,Clinton Mola,eng ENG,DF,Stuttgart,21-005,2001,1.3,3,0,2,1,0,1,4,25.0,3,13,2,15.4,7,6,0,7,5,0,2,2,5,7,0,Matches
303,Jan Morávek,cz CZE,MF,Augsburg,32-139,1989,4.6,10,4,2,5,3,3,19,15.8,16,136,40,29.4,45,64,27,14,2,0,12,9,19,10,0,Matches
304,Ilaix Moriba,gn GUI,MF,RB Leipzig,19-060,2003,0.4,1,0,0,0,1,0,3,0.0,3,6,1,16.7,1,2,3,1,0,0,1,2,3,0,0,Matches
305,Youssoufa Moukoko,de GER,FW,Dortmund,17-120,2004,2.0,1,1,0,1,0,0,0,,0,31,10,32.3,6,13,12,5,0,0,5,0,1,1,0,Matches
306,Nordi Mukiele,fr FRA,DF,RB Leipzig,24-139,1997,14.9,38,27,25,12,1,16,28,57.1,12,233,90,38.6,87,97,49,28,4,0,24,39,77,41,2,Matches
307,Florian Müller,de GER,GK,Stuttgart,24-127,1997,23.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,1,Matches
308,Thomas Müller,de GER,MF,Bayern Munich,32-188,1989,23.3,36,22,9,15,12,12,41,29.3,29,403,130,32.3,55,185,163,35,4,0,31,16,52,16,0,Matches
309,Torben Müsel,de GER,MF,M'Gladbach,22-238,1999,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
310,Jamal Musiala,de GER,MFFW,Bayern Munich,19-022,2003,13.3,31,19,11,11,9,12,33,36.4,21,293,92,31.4,57,110,126,23,0,0,23,31,62,3,0,Matches
311,Obite N'Dicka,fr FRA,DF,Eint Frankfurt,22-212,1999,24.0,48,29,23,23,2,26,45,57.8,19,303,112,37.0,143,136,24,55,20,2,35,43,91,123,0,Matches
312,Nikolas Nartey,dk DEN,MFDF,Stuttgart,22-026,2000,4.5,9,4,1,7,1,2,6,33.3,4,75,19,25.3,22,39,14,8,2,0,6,7,16,6,0,Matches
313,Paul Nebel,de GER,MFFW,Mainz 05,19-161,2002,2.4,3,3,1,1,1,1,2,50.0,1,48,14,29.2,10,19,19,2,0,0,2,2,5,1,0,Matches
314,David Nemeth,at AUT,DF,Mainz 05,21-002,2001,3.0,4,2,4,0,0,1,3,33.3,2,24,10,41.7,14,9,1,3,0,0,3,5,9,9,0,Matches
315,Luca Netz,de GER,DF,M'Gladbach,18-309,2003,10.0,19,14,9,8,2,7,31,22.6,24,202,66,32.7,69,84,49,32,2,0,30,15,34,21,0,Matches
316,Manuel Neuer,de GER,GK,Bayern Munich,35-358,1986,22.0,1,0,1,0,0,0,1,0.0,1,3,1,33.3,2,0,1,1,0,0,1,0,1,0,1,Matches
