,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
209,265,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30-295,1991.0,22,17,1452,16.1,4,7,2,2,3,0,0,0.25,0.43,0.68,0.12,0.56,7.6,5.3,1.9,7.2,0.47,0.12,0.59,0.33,0.44,Matches,218570.03846153847,11365642,120248.1346153846,6252903,182115.38461538465,9470000,100192.30769230767,5210000,247448.0,12867296,136135.59615384616,7079051,1-yr,11365642,6252903,9470000,5210000,12867296,7079051,Starter,F,CF,30,France,Arsenal
210,266,Adam Lallana,eng ENG,MF,Brighton,33-313,1988.0,21,18,1514,16.8,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches,108477.21153846152,5640815,59777.86538461538,3108449,90384.6153846154,4700000,49807.69230769231,2590000,122809.46153846152,6386092,67675.84615384616,3519144,2-yrs,11281630,6216898,9400000,5180000,12772184,7038289,Reserve,F,AM,33,England,Brighton
211,267,Tariq Lamptey,eng ENG,DFFW,Brighton,21-170,2000.0,22,13,1277,14.2,0,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.6,0.6,1.8,2.4,0.04,0.13,0.17,0.04,0.17,Matches,42006.07692307692,2184316,23080.25,1200173,35000.0,1820000,19230.76923076923,1000000,47556.0,2472912,26129.67307692308,1358743,4-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,D,RB,21,England,Brighton
212,268,Manuel Lanzini,ar ARG,MF,West Ham,29-032,1993.0,22,12,1240,13.8,4,2,2,2,2,2,0,0.29,0.15,0.44,0.15,0.29,2.5,1.0,1.9,2.9,0.18,0.14,0.32,0.07,0.21,Matches,84012.13461538461,4368631,46160.519230769234,2400347,70000.0,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.34615384616,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Reserve,F,AM,28,Argentina,West Ham
213,269,Aymeric Laporte,es ESP,DF,Manchester City,27-296,1994.0,24,24,2080,23.1,3,0,3,0,0,5,1,0.13,0.0,0.13,0.13,0.13,3.5,3.5,0.3,3.8,0.15,0.01,0.16,0.15,0.16,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,4-yrs,29956328,16466379,24960000,13720000,33914225,18641954,Starter,D,CB,27,Spain,Manchester City
214,270,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28-128,1993.0,20,19,1695,18.8,1,0,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.3,0.9,0.04,0.01,0.05,0.04,0.05,Matches,48006.94230769231,2496361,26311.5,1368198,40000.0,2080000,21923.07692307692,1140000,54349.71153846154,2826185,29787.82692307692,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Starter,D,CB,28,England,Newcastle
215,271,Pierre Lees-Melou,fr FRA,MF,Norwich City,28-298,1993.0,24,18,1606,17.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.3,2.4,0.06,0.07,0.14,0.06,0.14,Matches,37390.019230769234,1944281,20541.42307692308,1068154,31153.846153846152,1620000,17115.384615384617,890000,42330.07692307692,2201164,23255.403846153848,1209281,3-yrs,5832843,3204463,4860000,2670000,6603491,3627844,Starter,M,CM,28,France,Norwich
216,272,Aaron Lennon,eng ENG,MFFW,Burnley,34-337,1987.0,18,12,1073,11.9,2,0,2,0,0,2,0,0.17,0.0,0.17,0.17,0.17,0.7,0.7,0.3,0.9,0.06,0.02,0.08,0.06,0.08,Matches,12694.134615384615,660095,6924.076923076923,360052,10576.923076923076,550000,5769.2307692307695,300000,14371.326923076924,747309,7838.903846153846,407623,1-yr,660095,360052,550000,300000,747309,407623,Reserve,F,RW,34,England,Burnley
217,273,Bernd Leno,de GER,GK,Arsenal,30-015,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Reserve,K,GK,29,Germany,Arsenal
218,274,Jamal Lewis,nir NIR,DF,Newcastle Utd,24-053,1998.0,5,4,262,2.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,46160.519230769234,2400347,25388.28846153846,1320191,38461.53846153846,2000000,21153.846153846152,1100000,52259.34615384616,2717486,28742.634615384617,1494617,4-yrs,9601387,5280763,8000000,4400000,10869944,5978469,Reserve,D,LB,24,Northern Ireland,Newcastle
219,275,Victor Lindelöf,se SWE,DF,Manchester Utd,27-245,1994.0,20,18,1635,18.2,0,2,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,3-yrs,22467246,12349784,18720000,10290000,25435669,13981465,Reserve,D,CB,27,Sweden,Manchester United
