Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
166,Alfonso Espino,uy URU,DF,Cádiz,30-074,1992.0,27,27,2429,27.0,2,2,2,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.9,0.7,3.2,3.9,0.03,0.12,0.15,0.02,0.14,Matches,27.0,83,56,50,25,8,31,71,43.7,40,522,159,30.5,288,177,57,61,9,0,52,71,154,71,2,,,,,,,,,,,,,,,760,1242,61.2,15737,7518,294,354,83.1,310,446,69.5,141,368,38.3,2,3.2,-1.2,30,58,26,18,70,9615.384615384615,500000,4615.384615384615,240000,8011.653846153846,416606,3845.596153846154,199971,10885.78846153846,566061,5225.173076923077,271709,2-yrs,1000000,480000,833213,399942,1132122,543419,Starter,D,LB,30,Uruguay,Cadiz
168,Pervis Estupiñán,ec ECU,DF,Villarreal,24-058,1998.0,22,14,1268,14.1,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,1.7,2.2,0.04,0.12,0.16,0.04,0.16,Matches,14.1,28,14,16,8,4,12,21,57.1,9,189,72,38.1,94,63,32,30,5,0,25,37,65,20,2,,,,,,,,,,,,,,,703,890,79.0,12193,4137,324,369,87.8,307,375,81.9,62,105,59.0,1,1.7,-0.7,11,32,28,14,66,9615.384615384615,500000,4615.384615384615,240000,8011.653846153846,416606,3845.596153846154,199971,10885.78846153846,566061,5225.173076923077,271709,6-yrs,3000000,1440000,2499639,1199827,3396367,1630256,Reserve,D,LB,24,Ecuador,Villarreal
171,Fali,es ESP,DFMF,Cádiz,28-220,1993.0,21,18,1359,15.1,0,2,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches,15.1,30,20,23,7,0,13,27,48.1,14,175,54,30.9,115,56,4,32,12,0,20,22,52,64,0,,,,,,,,,,,,,,,377,487,77.4,8913,2636,87,98,88.8,196,228,86.0,88,152,57.9,2,0.4,1.6,4,32,3,0,26,9615.384615384615,500000,4615.384615384615,240000,8011.653846153846,416606,3845.596153846154,199971,10885.78846153846,566061,5225.173076923077,271709,3-yrs,1500000,720000,1249819,599913,1698183,815128,Reserve,D,CB,28,Spain,Cadiz
172,Ansu Fati,es ESP,FW,Barcelona,19-140,2002.0,5,3,213,2.4,3,0,3,0,0,0,0,1.27,0.0,1.27,1.27,1.27,1.0,1.0,0.7,1.7,0.44,0.29,0.74,0.44,0.74,Matches,2.4,3,1,0,2,1,0,0,,0,41,11,26.8,1,20,20,3,0,0,3,2,5,0,0,,,,,,,,,,,,,,,79,100,79.0,935,211,55,64,85.9,17,22,77.3,1,3,33.3,0,0.7,-0.7,2,1,4,0,6,220384.61538461535,11460000,105769.23076923077,5500000,183627.3269230769,9548621,88128.28846153847,4582671,249502.34615384616,12974122,119743.71153846152,6226673,6-yrs,68760000,33000000,57291724,27496028,77844729,37360036,Reserve,F,LW,19,Spain,Barcelona
174,Nabil Fekir,fr FRA,MF,Betis,28-245,1993.0,26,25,2147,23.9,6,6,6,0,0,7,1,0.25,0.25,0.5,0.25,0.5,4.2,4.2,5.9,10.1,0.18,0.25,0.42,0.18,0.42,Matches,23.9,36,26,5,21,10,5,23,21.7,18,445,117,26.3,63,244,138,15,1,0,14,14,50,3,0,,,,,,,,,,,,,,,922,1152,80.0,15546,4911,477,515,92.6,300,359,83.6,105,200,52.5,6,5.9,0.1,63,88,33,3,102,132692.3076923077,6900000,63653.84615384616,3310000,110560.94230769233,5749169,53037.21153846154,2757935,150223.92307692306,7811644,72063.94230769231,3747325,5-yrs,34500000,16550000,28745847,13789675,39058219,18736624,Starter,F,AM,28,France,Real Betis
175,Felipe,br BRA,DF,Atlético Madrid,32-308,1989.0,19,12,1203,13.4,2,1,2,0,0,4,1,0.15,0.07,0.22,0.15,0.22,0.9,0.9,0.4,1.3,0.07,0.03,0.1,0.07,0.1,Matches,13.4,13,9,6,5,2,5,13,38.5,8,100,33,33.0,46,50,4,19,7,0,12,22,35,61,1,,,,,,,,,,,,,,,502,612,82.0,10079,3259,167,182,91.8,253,283,89.4,69,121,57.0,1,0.4,0.6,4,23,0,0,24,145384.61538461538,7560000,69807.69230769231,3630000,121136.34615384616,6299090,58164.67307692308,3024563,164593.17307692306,8558845,79030.84615384616,4109604,1-yr,7560000,3630000,6299090,3024563,8558845,4109604,Reserve,D,CB,32,Brazil,Atletico Madrid
176,João Félix,pt POR,FWMF,Atlético Madrid,22-130,1999.0,21,11,1099,12.2,6,4,6,0,0,3,1,0.49,0.33,0.82,0.49,0.82,3.9,3.9,1.9,5.8,0.34,0.16,0.5,0.34,0.5,Matches,12.2,6,5,4,1,1,0,4,0.0,4,103,31,30.1,9,42,52,1,1,0,0,6,12,7,0,,,,,,,,,,,,,,,290,383,75.7,4726,1393,171,192,89.1,79,108,73.1,32,59,54.2,4,1.9,2.1,14,31,21,3,36,280384.6153846154,14580000,134615.38461538462,7000000,233620.09615384616,12148245,112163.28846153848,5832491,317429.67307692306,16506343,152401.07692307694,7924856,5-yrs,72900000,35000000,60741226,29162454,82531716,39624280,Starter,F,SS,22,Portugal,Atletico Madrid
177,Aitor Fernández,es ESP,GK,Levante,30-321,1991.0,13,13,1166,13.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0,1,1,0,1,0,1,1,100.0,0,3,1,33.3,3,0,0,0,0,0,0,0,1,0,1,29.0,2.24,79.0,51.0,64.6,1.0,5.0,7.0,2.0,15.4,1.0,1.0,0.0,50.0,267,381,70.1,8055,5471,40,40,100.0,113,116,97.4,105,216,48.6,0,0.0,0.0,0,2,1,0,1,20769.23076923077,1080000,10000.0,520000,17305.19230769231,899870,8332.134615384615,433271,23513.30769230769,1222692,11321.23076923077,588704,3-yrs,3240000,1560000,2699610,1299812,3668076,1766111,Starter,K,GK,30,Spain,Levante
178,Álex Fernández,es ESP,MF,Cádiz,29-156,1992.0,24,16,1508,16.8,3,1,2,1,2,2,0,0.18,0.06,0.24,0.12,0.18,2.4,0.9,0.6,1.5,0.14,0.03,0.18,0.05,0.09,Matches,16.8,39,25,22,10,7,15,39,38.5,24,377,91,24.1,142,200,35,32,6,0,26,34,73,24,0,,,,,,,,,,,,,,,581,746,77.9,11298,3274,257,286,89.9,222,264,84.1,95,168,56.5,1,0.6,0.4,12,61,7,2,68,9423.076923076924,490000,4615.384615384615,240000,7851.423076923077,408274,3845.596153846154,199971,10668.076923076924,554740,5225.173076923077,271709,1-yr,490000,240000,408274,199971,554740,271709,Starter,F,AM,29,Spain,Cadiz
180,Fidel,es ESP,MF,Elche,32-144,1989.0,25,23,1812,20.1,5,3,4,1,1,8,0,0.25,0.15,0.4,0.2,0.35,2.3,1.5,3.4,4.9,0.11,0.17,0.28,0.08,0.24,Matches,20.1,29,18,11,9,9,10,38,26.3,28,305,97,31.8,107,133,65,13,1,0,12,16,45,19,0,,,,,,,,,,,,,,,640,862,74.2,10958,4332,343,402,85.3,201,255,78.8,79,155,51.0,3,3.4,-0.4,29,67,17,8,93,11923.076923076924,620000,5769.2307692307695,300000,9934.46153846154,516592,4807.0,249964,13498.384615384615,701916,6531.4807692307695,339637,3-yrs,1860000,900000,1549776,749892,2105747,1018910,Starter,F,LW,32,Spain,Elche
