Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Gylfi Sigurdsson,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,1-yr,6240902,3432496,5200000,2860000,7065464,3886005,Reserve,F,AM,32,Iceland,Everton
Bernd Leno,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Reserve,K,GK,29,Germany,Arsenal
Hakim Ziyech,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,4-yrs,24963607,13729984,20800000,11440000,28261854,15544020,Starter,F,AM,28,Morocco,Chelsea
Boubakary Soumaré,118863.32692307692,6180893,65317.13461538462,3396491,99038.46153846153,5150000,54423.07692307692,2830000,134567.8076923077,6997526,73946.98076923077,3845243,5-yrs,30904465,16982454,25750000,14150000,34987632,19226213,Starter,M,DM,22,France,Leicester
Jarrod Bowen,115401.28846153847,6000867,63470.71153846154,3300477,96153.84615384616,5000000,52884.61538461538,2750000,130648.36538461539,6793715,71856.59615384616,3736543,4-yrs,24003468,13201907,20000000,11000000,27174860,14946173,Starter,F,RW,25,England,West Ham
Ross Barkley,115401.28846153847,6000867,63470.71153846154,3300477,96153.84615384616,5000000,52884.61538461538,2750000,130648.36538461539,6793715,71856.59615384616,3736543,2-yrs,12001734,6600954,10000000,5500000,13587430,7473086,Reserve,M,CM,28,England,Chelsea
Odsonne Edouard,113785.67307692308,5916855,62547.5,3252470,94807.69230769231,4930000,52115.38461538462,2710000,128819.28846153847,6698603,70811.42307692308,3682194,4-yrs,23667419,13009880,19720000,10840000,26794412,14728774,Reserve,F,CF,24,France,Crystal Palace
Alex Telles,111708.44230769231,5808839,61393.480769230766,3192461,93076.92307692308,4840000,51153.846153846156,2660000,126467.61538461539,6576316,69504.92307692308,3614256,3-yrs,17426518,9577384,14520000,7980000,19728948,10842769,Reserve,D,LB,29,Brazil,Manchester United
Nathan Aké,110785.23076923077,5760832,60931.88461538462,3168458,92307.69230769231,4800000,50769.230769230766,2640000,125422.42307692308,6521966,68982.34615384616,3587082,4-yrs,23043329,12673831,19200000,10560000,26087866,14348326,Reserve,D,CB,26,Netherlands,Manchester City
Adam Lallana,108477.21153846153,5640815,59777.86538461538,3108449,90384.61538461539,4700000,49807.692307692305,2590000,122809.46153846153,6386092,67675.84615384616,3519144,2-yrs,11281630,6216898,9400000,5180000,12772184,7038289,Reserve,F,AM,33,England,Brighton
Leander Dendoncker,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,2-yrs,11233623,6168891,9360000,5140000,12717834,6983939,Starter,M,DM,26,Belgium,Wolverhampton
Benjamin Mendy,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,2-yrs,11233623,6168891,9360000,5140000,12717834,6983939,Reserve,D,LB,27,France,Manchester City
Richarlison,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,3-yrs,16850435,9253337,14040000,7710000,19076752,10475909,Starter,F,CF,24,Brazil,Everton
Diogo Jota,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,4-yrs,22467246,12337783,18720000,10280000,25435669,13967878,Starter,F,CF,25,Portugal,Liverpool
Gabriel Martinelli,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,3-yrs,16850435,9253337,14040000,7710000,19076752,10475909,Starter,F,LW,20,Brazil,Arsenal
Gabriel Jesus,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,2-yrs,11233623,6168891,9360000,5140000,12717834,6983939,Reserve,F,CF,24,Brazil,Manchester City
