Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Romain Perraud,47083.730769230766,2448354,25849.884615384617,1344194,39230.769230769234,2040000,21538.46153846154,1120000,53304.53846153846,2771836,29265.23076923077,1521792,4-yrs,9793415,5376777,8160000,4480000,11087343,6087169,Starter,D,LB,24,France,Southampton
Joshua King,47083.730769230766,2448354,25849.884615384617,1344194,39230.769230769234,2040000,21538.46153846154,1120000,53304.53846153846,2771836,29265.23076923077,1521792,2-yrs,4896707,2688388,4080000,2240000,5543671,3043584,Starter,F,SS,30,Norway,Watford
Ademola Lookman,47083.730769230766,2448354,25849.884615384617,1344194,39230.769230769234,2040000,21538.46153846154,1120000,53304.53846153846,2771836,29265.23076923077,1521792,1-yr,2448354,1344194,2040000,1120000,2771836,1521792,Starter,F,LW,24,England,Leicester
Allan Saint-Maximin,46160.519230769234,2400347,25388.28846153846,1320191,38461.53846153846,2000000,21153.846153846152,1100000,52259.346153846156,2717486,28742.634615384617,1494617,5-yrs,12001734,6600954,10000000,5500000,13587430,7473086,Starter,F,LW,24,France,Newcastle
Jamal Lewis,46160.519230769234,2400347,25388.28846153846,1320191,38461.53846153846,2000000,21153.846153846152,1100000,52259.346153846156,2717486,28742.634615384617,1494617,4-yrs,9601387,5280763,8000000,4400000,10869944,5978469,Reserve,D,LB,24,Northern Ireland,Newcastle
Joël Veltman,46160.519230769234,2400347,25388.28846153846,1320191,38461.53846153846,2000000,21153.846153846152,1100000,52259.346153846156,2717486,28742.634615384617,1494617,2-yrs,4800694,2640381,4000000,2200000,5434972,2989235,Starter,D,RB,30,Netherlands,Brighton
Jack Cork,45698.903846153844,2376343,25157.48076923077,1308189,38076.92307692308,1980000,20961.53846153846,1090000,51736.75,2690311,28481.346153846152,1481030,1-yr,2376343,1308189,1980000,1090000,2690311,1481030,Reserve,M,DM,32,England,Burnley
Adam Webster,45698.903846153844,2376343,25157.48076923077,1308189,38076.92307692308,1980000,20961.53846153846,1090000,51736.75,2690311,28481.346153846152,1481030,5-yrs,11881717,6540945,9900000,5450000,13451556,7405149,Starter,D,CB,27,England,Brighton
Martin Dubravka,45698.903846153844,2376343,25157.48076923077,1308189,38076.92307692308,1980000,20961.53846153846,1090000,51736.75,2690311,28481.346153846152,1481030,4-yrs,9505373,5232756,7920000,4360000,10761245,5924119,Starter,K,GK,33,Slovakia,Newcastle
Dale Stephens,45006.5,2340338,24695.884615384617,1284186,37500,1950000,20576.923076923078,1070000,50952.86538461538,2649549,27958.75,1453855,1-yr,2340338,1284186,1950000,1070000,2649549,1453855,Reserve,M,CM,32,England,Burnley
Darren Randolph,45006.5,2340338,24695.884615384617,1284186,37500,1950000,20576.923076923078,1070000,50952.86538461538,2649549,27958.75,1453855,2-yrs,4680676,2568371,3900000,2140000,5299098,2907710,Reserve,K,GK,34,Ireland,West Ham
Jonny Otto,44083.28846153846,2292331,24234.26923076923,1260182,36730.769230769234,1910000,20192.30769230769,1050000,49907.67307692308,2595199,27436.153846153848,1426680,4-yrs,9169325,5040728,7640000,4200000,10380797,5706721,Reserve,D,LB,27,Spain,Wolverhampton
Ashley Westwood,43160.07692307692,2244324,23772.673076923078,1236179,35961.53846153846,1870000,19807.69230769231,1030000,48862.480769230766,2540849,26913.55769230769,1399505,2-yrs,4488649,2472357,3740000,2060000,5081699,2799011,Starter,M,DM,31,England,Burnley
Tudor Baluta,42236.86538461538,2196317,23311.05769230769,1212175,35192.307692307695,1830000,19423.076923076922,1010000,47817.307692307695,2486500,26390.96153846154,1372330,1-yr,2196317,1212175,1830000,1010000,2486500,1372330,Reserve,M,DM,22,Romania,Brighton
Nick Pope,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Starter,K,GK,29,England,Burnley
Javier Manquillo,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,3-yrs,6552947,3600520,5460000,3000000,7418737,4076229,Reserve,D,RB,27,Spain,Newcastle
Jay Rodríguez,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,1-yr,2184316,1200173,1820000,1000000,2472912,1358743,Starter,F,CF,32,England,Burnley
Vladimir Coufal,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Starter,D,RB,29,Czech Republic,West Ham
Joel Ward,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Starter,D,RB,32,England,Crystal Palace
Tariq Lamptey,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,4-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,D,RB,21,England,Brighton
Ryan Fraser,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,4-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,F,LW,27,Scotland,Newcastle
Marçal,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,1-yr,2184316,1200173,1820000,1000000,2472912,1358743,Starter,D,LB,32,Brazil,Wolverhampton
Marcus Bettinelli,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Reserve,K,GK,29,England,Chelsea
Matej Vydra,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,1-yr,2184316,1200173,1820000,1000000,2472912,1358743,Reserve,F,CF,29,Czech Republic,Burnley
Matt Targett,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,1-yr,2184316,1200173,1820000,1000000,2472912,1358743,Starter,D,LB,26,England,Newcastle
Dan Gosling,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Reserve,M,CM,32,England,Watford
Paul Dummett,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,1-yr,2184316,1200173,1820000,1000000,2472912,1358743,Reserve,D,LB,30,Wales,Newcastle
Patrick Bamford,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,5-yrs,10921578,6000867,9100000,5000000,12364561,6793715,Reserve,F,CF,28,England,Leeds
Ciaran Clark,42006.07692307692,2184316,23080.25,1200173,35000,1820000,19230.76923076923,1000000,47556,2472912,26129.673076923078,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Reserve,D,CB,32,Ireland,Newcastle
Youri Tielemans,39698.03846153846,2064298,21926.25,1140165,33076.92307692308,1720000,18269.23076923077,950000,44943.03846153846,2337038,24823.19230769231,1290806,2-yrs,4128596,2280329,3440000,1900000,4674076,2581612,Reserve,M,CM,24,Belgium,Leicester
Wout Weghorst,39236.442307692305,2040295,21695.44230769231,1128163,32692.30769230769,1700000,18076.923076923078,940000,44420.442307692305,2309863,24561.884615384617,1277218,4-yrs,8161179,4512652,6800000,3760000,9239452,5108874,Starter,F,CF,29,Netherlands,Burnley
Douglas Luiz,39236.442307692305,2040295,21695.44230769231,1128163,32692.30769230769,1700000,18076.923076923078,940000,44420.442307692305,2309863,24561.884615384617,1277218,2-yrs,4080590,2256326,3400000,1880000,4619726,2554437,Starter,M,DM,23,Brazil,Aston Villa
Marvelous Nakamba,39005.63461538462,2028293,21464.634615384617,1116161,32500,1690000,17884.615384615383,930000,44159.153846153844,2296276,24300.596153846152,1263631,3-yrs,6084879,3348484,5070000,2790000,6888827,3790893,Reserve,M,DM,28,Zimbabwe,Aston Villa
Jordan Ayew,39005.63461538462,2028293,21464.634615384617,1116161,32500,1690000,17884.615384615383,930000,44159.153846153844,2296276,24300.596153846152,1263631,1-yr,2028293,1116161,1690000,930000,2296276,1263631,Reserve,F,CF,30,Ghana,Crystal Palace
Vitaliy Mykolenko,38544.03846153846,2004290,21233.846153846152,1104160,32115.384615384617,1670000,17692.30769230769,920000,43636.557692307695,2269101,24039.30769230769,1250044,5-yrs,10021448,5520798,8350000,4600000,11345504,6250218,Reserve,D,LB,22,Ukraine,Everton
Conor Gallagher,38313.230769230766,1992288,21003.03846153846,1092158,31923.076923076922,1660000,17500,910000,43375.25,2255513,23778,1236456,1-yr,1992288,1092158,1660000,910000,2255513,1236456,Starter,M,CM,21,England,Crystal Palace
Cristian Romero,37620.82692307692,1956283,20772.23076923077,1080156,31346.153846153848,1630000,17307.69230769231,900000,42591.36538461538,2214751,23516.71153846154,1222869,1-yr,1956283,1080156,1630000,900000,2214751,1222869,Starter,D,CB,23,Argentina,Tottenham
Pierre Lees-Melou,37390.019230769234,1944281,20541.423076923078,1068154,31153.846153846152,1620000,17115.384615384617,890000,42330.07692307692,2201164,23255.403846153848,1209281,3-yrs,5832843,3204463,4860000,2670000,6603491,3627844,Starter,M,CM,28,France,Norwich
Anwar El Ghazi,37159.21153846154,1932279,20541.423076923078,1068154,30961.53846153846,1610000,17115.384615384617,890000,42068.769230769234,2187576,23255.403846153848,1209281,1-yr,1932279,1068154,1610000,890000,2187576,1209281,Reserve,F,RW,26,Netherlands,Everton
Alexis Mac Allister,36928.403846153844,1920277,20310.634615384617,1056153,30769.23076923077,1600000,16923.076923076922,880000,41807.480769230766,2173989,22994.115384615383,1195694,2-yrs,3840555,2112305,3200000,1760000,4347978,2391388,Starter,F,AM,23,Argentina,Brighton
Enock Mwepu,36928.403846153844,1920277,20310.634615384617,1056153,30769.23076923077,1600000,16923.076923076922,880000,41807.480769230766,2173989,22994.115384615383,1195694,4-yrs,7681110,4224610,6400000,3520000,8695955,4782775,Reserve,M,CM,24,Zambia,Brighton
Milot Rashica,36928.403846153844,1920277,20310.634615384617,1056153,30769.23076923077,1600000,16923.076923076922,880000,41807.480769230766,2173989,22994.115384615383,1195694,4-yrs,7681110,4224610,6400000,3520000,8695955,4782775,Starter,F,RW,25,Kosovo,Norwich
Ché Adams,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,3-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Starter,F,CF,25,Scotland,Southampton
Lee Grant,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,1-yr,1872271,1032149,1560000,860000,2119639,1168519,Reserve,K,GK,39,England,Manchester United
Solly March,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,3-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,M,LM,27,England,Brighton
Sam Byram,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,2-yrs,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,D,RB,28,England,Norwich
Christian Kabasele,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,3-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,D,CB,30,Belgium,Watford
Eberechi Eze,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,4-yrs,7489082,4128596,6240000,3440000,8478556,4674076,Reserve,F,AM,23,England,Crystal Palace
Ben Foster,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,1-yr,1872271,1032149,1560000,860000,2119639,1168519,Starter,K,GK,38,England,Watford
Maxwel Cornet,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,5-yrs,9361353,5160746,7800000,4300000,10598195,5842595,Starter,F,LW,25,Cote d&#39;Ivoire,Burnley
Bukayo Saka,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,3-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Starter,M,RM,20,England,Arsenal
Jóhann Berg Gudmundsson,36005.21153846154,1872271,19849.01923076923,1032149,30000,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,2-yrs,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,F,RW,31,Iceland,Burnley
Haydon Roberts,35082,1824264,19387.423076923078,1008146,29230.76923076923,1520000,16153.846153846154,840000,39717.096153846156,2065289,21948.923076923078,1141344,2-yrs,3648527,2016291,3040000,1680000,4130579,2282688,Reserve,D,CB,19,England,Brighton
Nathan Ferguson,34620.38461538462,1800260,19156.615384615383,996144,28846.153846153848,1500000,15961.538461538461,830000,39194.5,2038114,21687.634615384617,1127757,2-yrs,3600520,1992288,3000000,1660000,4076229,2255513,Reserve,D,CB,21,England,Crystal Palace
Tyrick Mitchell,34620.38461538462,1800260,19156.615384615383,996144,28846.153846153848,1500000,15961.538461538461,830000,39194.5,2038114,21687.634615384617,1127757,4-yrs,7201040,3984576,6000000,3320000,8152458,4511027,Starter,D,LB,22,England,Crystal Palace
José Sá,34389.57692307692,1788258,18925.80769230769,984142,28653.846153846152,1490000,15769.23076923077,820000,38933.21153846154,2024527,21426.326923076922,1114169,5-yrs,8941292,4920711,7450000,4100000,10122635,5570846,Starter,K,GK,29,Portugal,Wolverhampton
Adam Masina,33466.36538461538,1740251,18464.21153846154,960139,27884.615384615383,1450000,15384.615384615385,800000,37888.019230769234,1970177,20903.73076923077,1086994,2-yrs,3480503,1920277,2900000,1600000,3940355,2173989,Reserve,D,LB,28,Morocco,Watford
Ozan Kabak,33235.57692307692,1728250,18233.403846153848,948137,27692.30769230769,1440000,15192.307692307691,790000,37626.730769230766,1956590,20642.44230769231,1073407,1-yr,1728250,948137,1440000,790000,1956590,1073407,Reserve,D,CB,21,Turkey,Norwich
William Troost-Ekong,33004.769230769234,1716248,18233.403846153848,948137,27500,1430000,15192.307692307691,790000,37365.42307692308,1943002,20642.44230769231,1073407,4-yrs,6864992,3792548,5720000,3160000,7772010,4293628,Reserve,D,CB,28,Nigeria,Watford
Imrân Louza,33004.769230769234,1716248,18233.403846153848,948137,27500,1430000,15192.307692307691,790000,37365.42307692308,1943002,20642.44230769231,1073407,5-yrs,8581240,4740685,7150000,3950000,9715012,5367035,Reserve,M,CM,22,Morocco,Watford
Calum Chambers,32312.365384615383,1680243,17771.80769230769,924134,26923.076923076922,1400000,14807.692307692309,770000,36581.53846153846,1902240,20119.846153846152,1046232,4-yrs,6720971,3696534,5600000,3080000,7608961,4184928,Reserve,D,CB,27,England,Aston Villa
Nuno Tavares,32312.365384615383,1680243,17771.80769230769,924134,26923.076923076922,1400000,14807.692307692309,770000,36581.53846153846,1902240,20119.846153846152,1046232,4-yrs,6720971,3696534,5600000,3080000,7608961,4184928,Reserve,D,LB,22,Portugal,Arsenal
Hassane Kamara,31850.75,1656239,17541,912132,26538.46153846154,1380000,14615.384615384615,760000,36058.942307692305,1875065,19858.55769230769,1032645,4-yrs,6624957,3648527,5520000,3040000,7500261,4130579,Starter,D,LB,27,Cote d&#39;Ivoire,Watford
Connor Roberts,31389.153846153848,1632236,17310.19230769231,900130,26153.846153846152,1360000,14423.076923076924,750000,35536.346153846156,1847890,19597.25,1019057,4-yrs,6528943,3600520,5440000,3000000,7391562,4076229,Starter,D,RB,26,Wales,Burnley
Martin Kelly,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Reserve,D,RB,31,England,Crystal Palace
Mason Holgate,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,4-yrs,6240902,3456499,5200000,2880000,7065464,3913180,Starter,D,CB,25,England,Everton
David Raya,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,3-yrs,4680676,2592375,3900000,2160000,5299098,2934885,Starter,K,GK,26,Spain,Brentford
John McGinn,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,4-yrs,6240902,3456499,5200000,2880000,7065464,3913180,Starter,M,CM,27,Scotland,Aston Villa
Pontus Jansson,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Starter,D,CB,30,Sweden,Brentford
Diogo Dalot,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Starter,D,RB,22,Portugal,Manchester United
Matthew Lowton,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Reserve,D,RB,32,England,Burnley
Charlie Taylor,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,3-yrs,4680676,2592375,3900000,2160000,5299098,2934885,Reserve,D,LB,28,England,Burnley
Pierluigi Gollini,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Reserve,K,GK,26,Italy,Tottenham
Tom Davies,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Reserve,M,CM,23,England,Everton
Tim Krul,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,3-yrs,4680676,2592375,3900000,2160000,5299098,2934885,Reserve,K,GK,33,Netherlands,Norwich
Phil Bardsley,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Reserve,D,RB,36,Scotland,Burnley
Kenedy,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Reserve,M,LM,25,Brazil,Chelsea
Jacob Murphy,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,6-yrs,9361353,5184749,7800000,4320000,10598195,5869770,Reserve,F,RW,26,England,Newcastle
Angus Gunn,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,4-yrs,6240902,3456499,5200000,2880000,7065464,3913180,Starter,K,GK,26,England,Norwich
Teemu Pukki,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Starter,F,CF,31,Finland,Norwich
Loris Karius,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Reserve,K,GK,28,Germany,Liverpool
Scott Carson,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,1-yr,1560225,864125,1300000,720000,1766366,978295,Reserve,K,GK,36,England,Manchester City
Karl Darlow,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,4-yrs,6240902,3456499,5200000,2880000,7065464,3913180,Reserve,K,GK,31,England,Newcastle
Yves Bissouma,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Starter,M,CM,25,Mali,Brighton
Kenny McLean,30004.326923076922,1560225,16617.78846153846,864125,25000,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Starter,M,CM,30,Scotland,Norwich
Nicolas N&#39;Koulou,29542.73076923077,1536222,16156.173076923076,840121,24615.384615384617,1280000,13461.538461538461,700000,33445.980769230766,1739191,18290.76923076923,951120,1-yr,1536222,840121,1280000,700000,1739191,951120,Reserve,D,CB,31,Cameroon,Watford
Craig Cathcart,28157.923076923078,1464212,15463.76923076923,804116,23461.53846153846,1220000,12884.615384615385,670000,31878.19230769231,1657666,17506.884615384617,910358,2-yrs,2928423,1608232,2440000,1340000,3315333,1820716,Starter,D,CB,32,Northern Ireland,Watford
Christian Eriksen,28157.923076923078,1464212,15463.76923076923,804116,23461.53846153846,1220000,12884.615384615385,670000,31878.19230769231,1657666,17506.884615384617,910358,1-yr,1464212,804116,1220000,670000,1657666,910358,Reserve,F,AM,29,Denmark,Brentford
Eldin Jakupovic,27696.30769230769,1440208,15232.961538461539,792114,23076.923076923078,1200000,12692.307692307691,660000,31355.615384615383,1630492,17245.576923076922,896770,1-yr,1440208,792114,1200000,660000,1630492,896770,Reserve,K,GK,37,Switzerland,Leicester
Kevin Long,27696.30769230769,1440208,15232.961538461539,792114,23076.923076923078,1200000,12692.307692307691,660000,31355.615384615383,1630492,17245.576923076922,896770,2-yrs,2880416,1584229,2400000,1320000,3260983,1793541,Reserve,D,CB,31,Ireland,Burnley
Japhet Tanganga,27696.30769230769,1440208,15232.961538461539,792114,23076.923076923078,1200000,12692.307692307691,660000,31355.615384615383,1630492,17245.576923076922,896770,4-yrs,5760832,3168458,4800000,2640000,6521966,3587082,Reserve,D,CB,22,England,Tottenham
Mohammed Salisu,27696.30769230769,1440208,15232.961538461539,792114,23076.923076923078,1200000,12692.307692307691,660000,31355.615384615383,1630492,17245.576923076922,896770,3-yrs,4320624,2376343,3600000,1980000,4891475,2690311,Starter,D,CB,22,Ghana,Southampton
Kiko Femenía,27003.903846153848,1404203,14771.365384615385,768111,22500,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723,869596,3-yrs,4212609,2304333,3510000,1920000,4769188,2608787,Starter,D,RB,31,Spain,Watford
Lukas Rupp,27003.903846153848,1404203,14771.365384615385,768111,22500,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723,869596,1-yr,1404203,768111,1170000,640000,1589729,869596,Reserve,M,CM,31,Germany,Norwich
Max Aarons,27003.903846153848,1404203,14771.365384615385,768111,22500,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723,869596,3-yrs,4212609,2304333,3510000,1920000,4769188,2608787,Starter,D,RB,22,England,Norwich
Kristoffer Ajer,26542.28846153846,1380199,14540.557692307691,756109,22115.384615384617,1150000,12115.384615384615,630000,30049.115384615383,1562554,16461.69230769231,856008,5-yrs,6900997,3780546,5750000,3150000,7812772,4280040,Starter,D,CB,23,Norway,Brentford
Juraj Kucka,26542.28846153846,1380199,14540.557692307691,756109,22115.384615384617,1150000,12115.384615384615,630000,30049.115384615383,1562554,16461.69230769231,856008,1-yr,1380199,756109,1150000,630000,1562554,856008,Starter,M,CM,34,Slovakia,Watford
Diego Llorente,26311.5,1368198,14540.557692307691,756109,21923.076923076922,1140000,12115.384615384615,630000,29787.826923076922,1548967,16461.69230769231,856008,3-yrs,4104593,2268328,3420000,1890000,4646901,2568024,Starter,D,CB,28,Spain,Leeds
Romain Saïss,26311.5,1368198,14540.557692307691,756109,21923.076923076922,1140000,12115.384615384615,630000,29787.826923076922,1548967,16461.69230769231,856008,1-yr,1368198,756109,1140000,630000,1548967,856008,Starter,D,CB,31,Morocco,Wolverhampton
Isaac Hayden,26311.5,1368198,14540.557692307691,756109,21923.076923076922,1140000,12115.384615384615,630000,29787.826923076922,1548967,16461.69230769231,856008,5-yrs,6840988,3780546,5700000,3150000,7744835,4280040,Reserve,M,DM,26,England,Newcastle
Illan Meslier,26311.5,1368198,14540.557692307691,756109,21923.076923076922,1140000,12115.384615384615,630000,29787.826923076922,1548967,16461.69230769231,856008,5-yrs,6840988,3780546,5700000,3150000,7744835,4280040,Starter,K,GK,21,France,Leeds
Andros Townsend,25849.884615384617,1344194,14309.76923076923,744108,21538.46153846154,1120000,11923.076923076924,620000,29265.23076923077,1521792,16200.403846153846,842421,2-yrs,2688388,1488215,2240000,1240000,3043584,1684841,Starter,F,RW,30,England,Everton
Ivan Toney,25388.28846153846,1320191,14078.961538461539,732106,21153.846153846152,1100000,11730.76923076923,610000,28742.634615384617,1494617,15939.096153846154,828833,4-yrs,5280763,2928423,4400000,2440000,5978469,3315333,Reserve,F,CF,25,England,Brentford
Harry Lewis,25388.28846153846,1320191,14078.961538461539,732106,21153.846153846152,1100000,11730.76923076923,610000,28742.634615384617,1494617,15939.096153846154,828833,1-yr,1320191,732106,1100000,610000,1494617,828833,Reserve,K,GK,24,England,Southampton
Daniel Amartey,25157.48076923077,1308189,13848.153846153846,720104,20961.53846153846,1090000,11538.461538461539,600000,28481.346153846152,1481030,15677.807692307691,815246,1-yr,1308189,720104,1090000,600000,1481030,815246,Starter,D,CB,27,Ghana,Leicester
Alex Kral,24926.673076923078,1296187,13617.346153846154,708102,20769.23076923077,1080000,11346.153846153846,590000,28220.03846153846,1467442,15416.5,801658,1-yr,1296187,708102,1080000,590000,1467442,801658,Reserve,M,DM,23,Czech Republic,West Ham
Mathias Normann,24465.076923076922,1272184,13386.557692307691,696101,20384.615384615383,1060000,11153.846153846154,580000,27697.46153846154,1440268,15155.211538461539,788071,1-yr,1272184,696101,1060000,580000,1440268,788071,Reserve,M,DM,25,Norway,Norwich
Salomón Rondón,24234.26923076923,1260182,13386.557692307691,696101,20192.30769230769,1050000,11153.846153846154,580000,27436.153846153848,1426680,15155.211538461539,788071,2-yrs,2520364,1392201,2100000,1160000,2853360,1576142,Reserve,F,CF,32,Venezuela,Everton
Dominic Calvert-Lewin,24003.46153846154,1248180,13155.75,684099,20000,1040000,10961.538461538461,570000,27174.865384615383,1413093,14893.923076923076,774484,4-yrs,4992721,2736395,4160000,2280000,5652371,3097934,Reserve,F,CF,24,England,Everton
Bryan Mbeumo,24003.46153846154,1248180,13155.75,684099,20000,1040000,10961.538461538461,570000,27174.865384615383,1413093,14893.923076923076,774484,5-yrs,6240902,3420494,5200000,2850000,7065464,3872418,Reserve,F,RW,22,France,Brentford
