,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
52,Willy Boly,ci CIV,DF,Wolves,31-045,1991,2.0,114,141,80.9,2265,829,41,46,89.1,54,62,87.1,17,30,56.7,0,0.0,0.0,0,7,0,0,6,Matches
53,Jarrod Bowen,eng ENG,FW,West Ham,25-090,1996,26.2,477,704,67.8,9023,2455,230,285,80.7,145,199,72.9,88,167,52.7,8,5.1,+2.9,36,24,21,4,40,Matches
54,Jarrad Branthwaite,eng ENG,DF,Everton,19-266,2002,2.1,53,72,73.6,862,396,29,33,87.9,20,25,80.0,3,11,27.3,0,0.0,0.0,0,3,1,0,6,Matches
55,Armando Broja,al ALB,FW,Southampton,20-191,2001,16.8,193,314,61.5,2322,512,123,179,68.7,47,89,52.8,3,10,30.0,0,1.0,-1.0,6,13,2,0,15,Matches
56,Josh Brownhill,eng ENG,MF,Burnley,26-091,1995,22.4,597,796,75.0,10168,2672,317,378,83.9,197,255,77.3,68,125,54.4,1,1.5,-0.5,25,58,12,0,65,Matches
57,Bryan,es ESP,FWMF,Tottenham,21-037,2001,1.0,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80.0,0,0.1,-0.1,2,1,3,2,2,Matches
58,Emi Buendía,ar ARG,FWMF,Aston Villa,25-085,1996,17.1,531,683,77.7,8496,2354,277,329,84.2,189,229,82.5,44,80,55.0,4,3.5,+0.5,34,47,31,3,86,Matches
59,Dan Burn,eng ENG,DF,Brighton,29-315,1992,11.4,507,623,81.4,11085,2931,124,151,82.1,276,312,88.5,100,145,69.0,0,0.0,0.0,1,43,2,0,36,Matches
60,Dan Burn,eng ENG,DF,Newcastle Utd,29-315,1992,7.0,210,254,82.7,4427,1271,67,77,87.0,103,120,85.8,36,50,72.0,1,0.2,+0.8,2,15,1,0,17,Matches
61,Jack Butland,eng ENG,GK,Crystal Palace,29-010,1993,5.5,134,188,71.3,3181,1546,40,40,100.0,66,68,97.1,28,80,35.0,0,0.0,0.0,0,1,0,0,0,Matches
62,Sam Byram,eng ENG,DFMF,Norwich City,28-185,1993,3.0,113,157,72.0,1810,659,61,76,80.3,42,57,73.7,9,20,45.0,0,0.1,-0.1,2,4,2,0,13,Matches
63,Willy Caballero,ar ARG,GK,Southampton,40-173,1981,2.0,39,59,66.1,1548,1209,4,4,100.0,14,14,100.0,21,41,51.2,0,0.0,0.0,0,0,0,0,0,Matches
64,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-004,1997,8.5,108,170,63.5,1354,244,69,98,70.4,25,44,56.8,5,8,62.5,1,0.7,+0.3,8,5,3,0,6,Matches
65,João Cancelo,pt POR,DF,Manchester City,27-297,1994,26.9,2111,2504,84.3,38061,11461,1003,1085,92.4,852,979,87.0,241,379,63.6,5,3.3,+1.7,27,225,75,10,216,Matches
66,Sergi Canós,es ESP,DF,Brentford,25-046,1997,22.8,442,733,60.3,7849,3367,222,282,78.7,154,232,66.4,56,162,34.6,2,1.9,+0.1,17,43,26,10,76,Matches
67,Todd Cantwell,eng ENG,FWMF,Norwich City,24-021,1998,4.9,127,154,82.5,2078,457,61,70,87.1,50,60,83.3,11,16,68.8,0,0.2,-0.2,2,9,2,0,10,Matches
68,Matty Cash,pl POL,DF,Aston Villa,24-225,1997,28.5,825,1195,69.0,15723,6401,347,403,86.1,346,436,79.4,114,309,36.9,3,1.8,+1.2,21,51,24,11,70,Matches
69,Timothy Castagne,be BEL,DF,Leicester City,26-105,1995,14.1,560,705,79.4,9371,3516,289,336,86.0,214,265,80.8,48,80,60.0,0,0.4,-0.4,6,28,7,1,39,Matches
70,Jonny Castro,es ESP,DF,Wolves,28-017,1994,4.0,196,232,84.5,3240,991,104,117,88.9,72,83,86.7,19,25,76.0,0,0.3,-0.3,6,9,6,2,15,Matches
71,Craig Cathcart,nir NIR,DF,Watford,33-042,1989,24.3,695,853,81.5,16345,4566,172,194,88.7,364,415,87.7,157,233,67.4,1,0.3,+0.7,2,42,5,1,40,Matches
72,Edinson Cavani,uy URU,FW,Manchester Utd,35-034,1987,6.8,142,181,78.5,2063,235,95,108,88.0,33,48,68.8,8,16,50.0,1,1.1,-0.1,4,3,1,0,5,Matches
73,Kayky Chagas,br BRA,FW,Manchester City,18-282,2003,0.1,2,2,100.0,32,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
74,Trevoh Chalobah,eng ENG,DF,Chelsea,22-258,1999,13.1,823,908,90.6,15205,4292,320,343,93.3,422,447,94.4,78,109,71.6,1,0.1,+0.9,1,80,5,0,42,Matches
75,Calum Chambers,eng ENG,DF,Arsenal,27-059,1995,1.9,81,98,82.7,1499,490,35,38,92.1,36,42,85.7,10,17,58.8,0,0.1,-0.1,1,5,1,1,9,Matches
76,Calum Chambers,eng ENG,DF,Aston Villa,27-059,1995,5.0,221,271,81.5,4847,1518,63,72,87.5,120,133,90.2,38,65,58.5,0,0.0,0.0,0,20,2,0,11,Matches
77,Daniel Chesters,eng ENG,MF,West Ham,19-350,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
78,Ben Chilwell,eng ENG,DF,Chelsea,25-089,1996,6.0,264,343,77.0,4198,1147,133,146,91.1,109,131,83.2,16,47,34.0,1,0.9,+0.1,10,7,6,1,13,Matches
79,Chiquinho,pt POR,MFDF,Wolves,22-043,2000,0.6,15,25,60.0,237,114,10,13,76.9,3,6,50.0,2,4,50.0,1,0.1,+0.9,2,1,2,2,3,Matches
80,Hamza Choudhury,eng ENG,DFMF,Leicester City,24-170,1997,3.2,129,158,81.6,2277,536,62,70,88.6,47,57,82.5,17,24,70.8,0,0.0,0.0,0,2,0,0,5,Matches
81,Andreas Christensen,dk DEN,DF,Chelsea,25-344,1996,14.1,947,1040,91.1,19268,5534,311,333,93.4,469,504,93.1,156,184,84.8,0,0.3,-0.3,4,88,7,1,62,Matches
82,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,18-072,2004,2.2,59,75,78.7,914,122,29,36,80.6,26,29,89.7,3,3,100.0,1,1.0,0.0,2,1,0,0,2,Matches
83,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-175,1989,11.3,276,348,79.3,5333,1582,90,103,87.4,149,169,88.2,32,66,48.5,1,0.3,+0.7,4,12,1,1,15,Matches
84,Tom Cleverley,eng ENG,MF,Watford,32-220,1989,15.2,410,555,73.9,6994,2165,204,235,86.8,142,176,80.7,48,117,41.0,2,1.5,+0.5,18,39,10,4,40,Matches
85,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30-349,1991,6.0,206,268,76.9,3549,1268,91,102,89.2,96,120,80.0,16,38,42.1,0,0.0,0.0,1,9,3,1,7,Matches
86,Conor Coady,eng ENG,DF,Wolves,29-023,1993,29.8,1136,1266,89.7,28654,8050,168,178,94.4,643,675,95.3,318,397,80.1,0,0.0,0.0,1,37,2,0,31,Matches
87,Séamus Coleman,ie IRL,DF,Everton,33-160,1988,21.6,738,1000,73.8,12967,6207,352,400,88.0,298,408,73.0,80,167,47.9,0,1.0,-1.0,10,73,21,9,71,Matches
88,Nathan Collins,ie IRL,DF,Burnley,20-324,2001,8.6,186,264,70.5,4049,1576,55,64,85.9,88,111,79.3,39,81,48.1,0,0.4,-0.4,3,17,1,0,17,Matches
89,Aaron Connolly,ie IRL,FW,Brighton,22-051,2000,1.7,15,18,83.3,212,10,9,11,81.8,6,7,85.7,0,0,,0,0.4,-0.4,1,0,0,0,0,Matches
90,Liam Cooper,sct SCO,DF,Leeds United,30-202,1991,14.2,743,848,87.6,16406,4883,189,205,92.2,425,446,95.3,125,187,66.8,1,0.0,+1.0,2,32,0,0,34,Matches
