,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
273,Bernd Leno,de GER,GK,Arsenal,30-016,1992,4.0,72,111,64.9,2043,1251,20,20,100.0,24,24,100.0,26,65,40.0,0,0.0,0.0,0,1,0,0,0,Matches
274,Jamal Lewis,nir NIR,DF,Newcastle Utd,24-054,1998,2.9,81,103,78.6,1454,521,35,39,89.7,31,38,81.6,13,22,59.1,0,0.0,0.0,1,4,0,0,4,Matches
275,Victor Lindelöf,se SWE,DF,Manchester Utd,27-246,1994,18.2,818,920,88.9,17742,5137,234,252,92.9,441,467,94.4,138,185,74.6,2,0.5,+1.5,3,53,5,0,43,Matches
276,Jesse Lingard,eng ENG,FW,Manchester Utd,29-095,1992,2.3,70,84,83.3,872,276,44,46,95.7,17,24,70.8,1,4,25.0,0,0.2,-0.2,3,10,1,0,6,Matches
277,Valentino Livramento,eng ENG,DF,Southampton,19-128,2002,22.2,812,1053,77.1,13175,4742,451,509,88.6,295,389,75.8,58,120,48.3,1,2.1,-1.1,18,34,20,9,66,Matches
278,Diego Llorente,es ESP,DF,Leeds United,28-216,1993,19.0,858,1036,82.8,19192,5281,190,216,88.0,509,561,90.7,152,235,64.7,0,0.1,-0.1,2,56,4,0,56,Matches
279,Hugo Lloris,fr FRA,GK,Tottenham,35-084,1986,28.0,549,696,78.9,15450,9159,139,140,99.3,208,209,99.5,193,338,57.1,0,0.5,-0.5,3,12,0,0,0,Matches
280,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25-345,1996,2.6,117,148,79.1,1855,340,63,69,91.3,28,36,77.8,16,22,72.7,0,0.6,-0.6,5,14,1,0,6,Matches
281,Jürgen Locadia,nl NED,FW,Brighton,28-133,1993,0.3,2,3,66.7,43,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
282,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26-056,1996,8.7,436,495,88.1,7300,1636,210,229,91.7,186,208,89.4,29,37,78.4,2,0.9,+1.1,6,36,11,0,45,Matches
283,Shane Long,ie IRL,FWMF,Southampton,35-057,1987,1.6,22,39,56.4,231,49,19,30,63.3,3,6,50.0,0,1,0.0,0,0.0,0.0,1,2,0,0,3,Matches
284,Sean Longstaff,eng ENG,MF,Newcastle Utd,24-141,1997,12.2,369,465,79.4,7293,1805,151,183,82.5,142,163,87.1,62,96,64.6,1,0.4,+0.6,4,29,2,0,30,Matches
285,Ademola Lookman,eng ENG,FWMF,Leicester City,24-151,1997,12.7,324,420,77.1,4444,1219,204,235,86.8,95,123,77.2,13,27,48.1,0,1.8,-1.8,19,17,20,3,41,Matches
286,Jonas Lössl,dk DEN,GK,Brentford,33-047,1989,2.0,44,62,71.0,1361,781,7,7,100.0,17,17,100.0,19,37,51.4,0,0.0,0.0,0,2,0,0,1,Matches
287,Imran Louza,ma MAR,MF,Watford,22-323,1999,11.1,394,507,77.7,8436,2410,139,160,86.9,167,198,84.3,82,136,60.3,0,0.8,-0.8,14,46,7,1,40,Matches
288,Matthew Lowton,eng ENG,DF,Burnley,32-284,1989,16.8,510,743,68.6,9937,4793,254,287,88.5,169,228,74.1,82,196,41.8,2,1.2,+0.8,12,54,20,8,68,Matches
289,Douglas Luiz,br BRA,MF,Aston Villa,23-315,1998,22.9,873,1059,82.4,16579,4624,357,398,89.7,363,418,86.8,134,211,63.5,3,2.0,+1.0,26,56,15,1,73,Matches
290,Romelu Lukaku,be BEL,FW,Chelsea,28-311,1993,13.5,169,235,71.9,2237,309,111,137,81.0,41,61,67.2,8,12,66.7,0,2.2,-2.2,15,6,8,0,12,Matches
291,Lyanco,br BRA,DF,Southampton,25-047,1997,6.1,160,228,70.2,3241,1271,51,57,89.5,87,100,87.0,21,67,31.3,0,0.1,-0.1,3,11,2,0,12,Matches
292,Alexis Mac Allister,ar ARG,MFFW,Brighton,23-086,1998,14.9,588,734,80.1,11000,2905,271,312,86.9,229,253,90.5,80,144,55.6,2,1.1,+0.9,18,65,20,3,73,Matches
293,James Maddison,eng ENG,MFFW,Leicester City,25-117,1996,18.1,484,659,73.4,8882,2607,218,261,83.5,191,231,82.7,64,141,45.4,3,2.7,+0.3,25,46,23,3,65,Matches
294,Harry Maguire,eng ENG,DF,Manchester Utd,29-015,1993,22.7,1041,1201,86.7,23657,7101,268,293,91.5,550,601,91.5,219,295,74.2,0,0.0,0.0,2,96,2,0,67,Matches
295,Riyad Mahrez,dz ALG,FW,Manchester City,31-027,1991,13.5,627,757,82.8,10889,2223,313,352,88.9,242,278,87.1,66,112,58.9,4,3.2,+0.8,32,17,33,5,52,Matches
296,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,24-203,1997,3.0,105,136,77.2,1923,603,48,59,81.4,47,55,85.5,10,19,52.6,0,0.3,-0.3,3,12,3,0,13,Matches
297,Sadio Mané,sn SEN,FW,Liverpool,29-344,1992,24.7,622,831,74.8,10185,2246,331,395,83.8,215,293,73.4,61,80,76.3,1,3.6,-2.6,26,45,45,6,85,Matches
298,Javier Manquillo,es ESP,DF,Newcastle Utd,27-319,1994,13.3,276,381,72.4,3947,1648,163,191,85.3,87,124,70.2,14,40,35.0,2,0.3,+1.7,4,14,2,0,17,Matches
299,Fernando Marçal,br BRA,DF,Wolves,33-029,1989,14.2,588,755,77.9,10286,3405,267,301,88.7,270,327,82.6,45,101,44.6,0,0.5,-0.5,8,23,6,3,45,Matches
300,Solly March,eng ENG,DFFW,Brighton,27-243,1994,13.8,415,567,73.2,7569,1961,213,251,84.9,140,189,74.1,51,96,53.1,1,1.8,-0.8,26,19,19,9,33,Matches
301,Pablo Marí,es ESP,DF,Arsenal,28-201,1993,2.0,78,86,90.7,1640,531,23,26,88.5,40,41,97.6,14,17,82.4,0,0.1,-0.1,1,9,0,0,8,Matches
302,Anthony Martial,fr FRA,FW,Manchester Utd,26-105,1995,2.4,66,85,77.6,984,236,36,45,80.0,28,33,84.8,2,4,50.0,0,0.1,-0.1,1,2,4,0,8,Matches
303,Martinelli,br BRA,FWMF,Arsenal,20-275,2001,13.8,260,371,70.1,4368,737,126,158,79.7,96,123,78.0,28,60,46.7,3,1.5,+1.5,22,5,10,3,14,Matches
304,Emiliano Martínez,ar ARG,GK,Aston Villa,29-199,1992,28.0,632,870,72.6,18822,10722,123,124,99.2,282,282,100.0,224,460,48.7,0,0.0,0.0,0,11,0,0,0,Matches
305,Adam Masina,ma MAR,DF,Watford,28-077,1994,9.6,283,421,67.2,6209,2872,71,84,84.5,151,193,78.2,56,134,41.8,0,0.5,-0.5,7,21,6,4,26,Matches
306,Arthur Masuaku,cd COD,DFFW,West Ham,28-133,1993,5.6,238,308,77.3,3809,1288,135,153,88.2,89,116,76.7,13,35,37.1,1,0.9,+0.1,3,21,4,1,21,Matches
307,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24-265,1997,7.2,99,135,73.3,1131,122,72,87,82.8,21,30,70.0,1,5,20.0,1,1.1,-0.1,5,2,1,0,2,Matches
308,Nemanja Matić,rs SRB,MF,Manchester Utd,33-231,1988,10.2,585,674,86.8,11329,3211,229,263,87.1,264,290,91.0,82,99,82.8,2,0.9,+1.1,8,70,4,1,58,Matches
309,Joël Matip,cm CMR,DF,Liverpool,30-224,1991,23.0,1478,1640,90.1,32019,9261,390,432,90.3,801,850,94.2,279,339,82.3,2,0.8,+1.2,9,135,9,0,124,Matches
310,Neal Maupay,fr FRA,FW,Brighton,25-218,1996,22.7,416,530,78.5,5972,928,247,289,85.5,124,152,81.6,21,31,67.7,2,2.1,-0.1,22,16,20,1,30,Matches
311,Bryan Mbeumo,fr FRA,FW,Brentford,22-225,1999,23.8,389,600,64.8,6447,1287,210,273,76.9,122,182,67.0,43,92,46.7,3,2.2,+0.8,25,19,19,5,34,Matches
312,James McArthur,sct SCO,MF,Crystal Palace,34-164,1987,12.9,597,712,83.8,11064,2431,248,275,90.2,256,283,90.5,75,117,64.1,2,0.9,+1.1,11,53,14,5,55,Matches
313,James Mcatee,eng ENG,MFFW,Manchester City,19-153,2002,0.2,9,13,69.2,145,5,4,6,66.7,5,6,83.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
314,Kasey McAteer,eng ENG,FW,Leicester City,20-118,2001,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
315,Liam McCarron,sct SCO,FW,Leeds United,21-013,2001,0.1,2,2,100.0,53,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
316,Alex McCarthy,eng ENG,GK,Southampton,32-107,1989,15.0,274,450,60.9,8440,5427,46,46,100.0,131,133,98.5,95,268,35.4,0,0.0,0.0,1,7,0,0,0,Matches
317,John McGinn,sct SCO,MF,Aston Villa,27-153,1994,25.3,742,994,74.6,17113,6607,247,295,83.7,320,389,82.3,170,292,58.2,2,3.4,-1.4,37,128,39,12,123,Matches
318,Stuart McKinstry,sct SCO,MF,Leeds United,19-183,2002,0.0,3,4,75.0,31,2,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
319,Kenny McLean,sct SCO,MF,Norwich City,30-071,1992,26.3,662,902,73.4,12154,3674,305,364,83.8,262,334,78.4,85,161,52.8,0,0.5,-0.5,5,61,16,1,69,Matches
320,Dwight McNeil,eng ENG,MF,Burnley,22-118,1999,26.0,576,845,68.2,11276,3222,245,288,85.1,220,273,80.6,97,223,43.5,1,3.1,-2.1,33,42,33,19,46,Matches
321,Scott McTominay,sct SCO,MF,Manchester Utd,25-102,1996,20.9,823,965,85.3,15645,4064,335,386,86.8,362,409,88.5,111,135,82.2,1,1.4,-0.4,16,85,9,1,82,Matches
322,Ben Mee,eng ENG,DF,Burnley,32-178,1989,20.4,539,734,73.4,13349,5065,140,160,87.5,245,295,83.1,148,259,57.1,0,0.1,-0.1,2,54,3,1,47,Matches
323,Benjamin Mendy,fr FRA,DF,Manchester City,27-246,1994,0.9,73,87,83.9,1355,452,26,30,86.7,38,38,100.0,8,14,57.1,0,0.3,-0.3,2,6,1,1,8,Matches
324,Edouard Mendy,sn SEN,GK,Chelsea,30-019,1992,24.0,550,681,80.8,13094,7299,163,164,99.4,244,250,97.6,132,255,51.8,0,0.0,0.0,0,1,0,0,0,Matches
325,Nampalys Mendy,sn SEN,MF,Leicester City,29-270,1992,0.8,34,35,97.1,585,61,17,17,100.0,13,13,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,0,Matches
326,Illan Meslier,fr FRA,GK,Leeds United,22-018,2000,29.6,823,1086,75.8,20093,9436,184,185,99.5,428,433,98.8,205,461,44.5,0,0.0,0.0,0,0,0,0,0,Matches
327,Luka Milivojević,rs SRB,MF,Crystal Palace,30-347,1991,7.2,337,425,79.3,6509,1751,120,139,86.3,157,186,84.4,49,81,60.5,0,0.6,-0.6,7,24,6,2,32,Matches
328,James Milner,eng ENG,MFDF,Liverpool,36-075,1986,7.1,432,533,81.1,8636,2745,159,184,86.4,198,226,87.6,68,106,64.2,1,1.4,-0.4,10,56,13,2,51,Matches
329,Yerry Mina,co COL,DF,Everton,27-178,1994,7.2,231,282,81.9,5078,1417,68,78,87.2,105,124,84.7,49,65,75.4,0,0.0,0.0,0,14,0,0,10,Matches
330,Takumi Minamino,jp JPN,FWMF,Liverpool,27-063,1995,1.1,35,41,85.4,513,85,20,25,80.0,13,14,92.9,1,1,100.0,0,0.4,-0.4,1,3,0,0,2,Matches
331,Tyrone Mings,eng ENG,DF,Aston Villa,29-007,1993,26.4,969,1202,80.6,21223,7480,259,303,85.5,541,595,90.9,162,284,57.0,3,1.2,+1.8,8,63,6,1,60,Matches
332,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-200,1999,28.9,1148,1573,73.0,19525,9463,532,605,87.9,506,660,76.7,88,230,38.3,2,1.2,+0.8,17,82,33,14,112,Matches
333,Jakub Moder,pl POL,MFFW,Brighton,22-347,1999,18.8,590,806,73.2,9527,2782,303,366,82.8,223,299,74.6,47,82,57.3,3,1.7,+1.3,14,52,19,3,67,Matches
334,Wesley Moraes,br BRA,FW,Aston Villa,25-114,1996,0.0,2,2,100.0,19,10,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
335,Tyler Morton,eng ENG,MF,Liverpool,19-140,2002,0.7,32,37,86.5,586,122,14,15,93.3,14,15,93.3,4,6,66.7,0,0.0,0.0,0,8,0,0,3,Matches
336,Mason Mount,eng ENG,MFFW,Chelsea,23-069,1999,18.5,667,861,77.5,10299,3211,371,418,88.8,211,260,81.2,54,119,45.4,7,4.7,+2.3,39,40,35,7,78,Matches
337,Lucas Moura,br BRA,FWMF,Tottenham,29-219,1992,17.1,501,664,75.5,7587,2065,287,333,86.2,177,234,75.6,24,56,42.9,4,3.1,+0.9,26,47,25,3,68,Matches
338,João Moutinho,pt POR,MF,Wolves,35-193,1986,25.1,1251,1475,84.8,26004,5171,427,480,89.0,574,639,89.8,231,314,73.6,1,2.2,-1.2,32,106,15,3,101,Matches
339,Bali Mumba,eng ENG,DF,Norwich City,20-163,2001,0.5,7,10,70.0,99,36,5,6,83.3,2,2,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches
340,Jacob Murphy,eng ENG,DFFW,Newcastle Utd,27-024,1995,13.5,312,495,63.0,5509,1998,147,188,78.2,122,171,71.3,35,91,38.5,1,1.7,-0.7,15,22,19,10,32,Matches
341,Enock Mwepu,zm ZAM,MF,Brighton,24-078,1998,7.1,193,263,73.4,2957,691,104,131,79.4,70,88,79.5,13,28,46.4,3,1.1,+1.9,5,9,3,0,14,Matches
342,Vitaliy Mykolenko,ua UKR,DF,Everton,22-295,1999,2.0,75,94,79.8,1183,326,40,44,90.9,30,36,83.3,4,10,40.0,0,0.2,-0.2,1,3,1,0,5,Matches
343,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-060,1994,8.4,270,313,86.3,4551,1252,128,145,88.3,118,131,90.1,20,30,66.7,0,0.1,-0.1,3,22,1,0,25,Matches
344,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-094,1996,18.0,757,918,82.5,13270,3273,348,404,86.1,328,369,88.9,67,104,64.4,0,0.0,0.0,0,37,4,0,52,Matches
345,Tanguy Ndombele,fr FRA,MF,Tottenham,25-082,1996,5.4,228,264,86.4,3672,827,120,129,93.0,81,95,85.3,20,25,80.0,1,0.4,+0.6,4,23,4,0,20,Matches
346,Reiss Nelson,eng ENG,FW,Arsenal,22-100,1999,0.2,10,11,90.9,117,17,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,Matches
347,Pedro Neto,pt POR,MFFW,Wolves,22-011,2000,1.5,57,75,76.0,929,216,29,30,96.7,23,27,85.2,3,12,25.0,0,0.2,-0.2,4,1,3,1,6,Matches
348,Rúben Neves,pt POR,MF,Wolves,25-007,1997,25.2,1385,1680,82.4,33625,6957,297,350,84.9,711,797,89.2,368,496,74.2,2,1.7,+0.3,17,169,25,3,120,Matches
349,Jeremy Ngakia,eng ENG,DF,Watford,21-194,2000,7.0,220,302,72.8,4103,1947,88,104,84.6,102,126,81.0,27,61,44.3,0,0.3,-0.3,2,19,6,2,21,Matches
350,Saúl Ñíguez,es ESP,DFMF,Chelsea,27-119,1994,3.8,211,248,85.1,3535,641,106,116,91.4,76,90,84.4,22,30,73.3,0,0.2,-0.2,2,7,1,1,3,Matches
351,Eddie Nketiah,eng ENG,FWMF,Arsenal,22-294,1999,1.4,47,55,85.5,732,137,24,28,85.7,21,24,87.5,1,2,50.0,1,0.7,+0.3,3,1,2,0,4,Matches
352,Nicolas Nkoulou,cm CMR,DF,Watford,31-358,1990,1.9,46,53,86.8,1088,162,10,11,90.9,24,27,88.9,11,14,78.6,0,0.0,0.0,1,2,0,0,1,Matches
353,Mark Noble,eng ENG,MF,West Ham,34-316,1987,1.4,77,90,85.6,1475,396,28,31,90.3,40,42,95.2,9,17,52.9,0,0.2,-0.2,1,7,0,0,4,Matches
354,Mathias Normann,no NOR,MF,Norwich City,25-296,1996,11.9,323,493,65.5,7359,2501,108,130,83.1,145,203,71.4,66,141,46.8,1,0.4,+0.6,6,40,11,2,45,Matches
355,Christian Nørgaard,dk DEN,MF,Brentford,28-010,1994,27.2,1034,1315,78.6,18740,5708,453,547,82.8,437,524,83.4,120,189,63.5,2,2.2,-0.2,21,119,17,3,129,Matches
356,Angelo Ogbonna,it ITA,DF,West Ham,33-301,1988,10.2,392,452,86.7,8588,2244,98,103,95.1,226,240,94.2,65,103,63.1,0,0.0,0.0,0,18,0,0,10,Matches
357,Michael Olise,fr FRA,FWMF,Crystal Palace,20-098,2001,10.8,401,540,74.3,7220,2061,188,215,87.4,159,211,75.4,48,97,49.5,5,3.0,+2.0,18,23,22,5,56,Matches
358,Andrew Omobamidele,ie IRL,DF,Norwich City,19-270,2002,4.2,196,226,86.7,3981,1133,68,77,88.3,94,103,91.3,32,42,76.2,0,0.0,0.0,0,11,0,0,13,Matches
359,Tyler Onyango,eng ENG,MFFW,Everton,19-016,2003,0.3,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
360,Frank Onyeka,ng NGA,MF,Brentford,24-078,1998,11.6,261,328,79.6,4459,935,116,141,82.3,113,130,86.9,26,40,65.0,0,0.2,-0.2,4,19,6,0,22,Matches
361,Divock Origi,be BEL,FW,Liverpool,26-336,1995,0.8,16,20,80.0,168,34,12,16,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
362,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,28-217,1993,8.7,318,402,79.1,6344,1474,125,149,83.9,130,152,85.5,55,80,68.8,1,0.9,+0.1,9,40,16,3,45,Matches
363,Cole Palmer,eng ENG,FWMF,Manchester City,19-318,2002,1.4,45,53,84.9,621,114,29,31,93.5,11,14,78.6,4,6,66.7,0,0.2,-0.2,2,2,4,0,5,Matches
364,Emerson Palmieri,it ITA,DF,Chelsea,27-229,1994,0.1,1,2,50.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
365,Thomas Partey,gh GHA,MF,Arsenal,28-280,1993,21.7,978,1136,86.1,18872,4635,403,446,90.4,406,456,89.0,153,204,75.0,1,1.3,-0.3,18,109,13,0,115,Matches
366,João Pedro,br BRA,FWMF,Watford,20-175,2001,11.3,235,346,67.9,3985,1213,126,175,72.0,76,106,71.7,25,44,56.8,1,2.0,-1.0,14,29,18,3,42,Matches
367,Nicolas Pépé,ci CIV,FWMF,Arsenal,26-295,1995,6.7,243,307,79.2,3689,928,143,165,86.7,74,91,81.3,16,36,44.4,1,1.6,-0.6,12,9,8,2,13,Matches
368,Ricardo Pereira,pt POR,DF,Leicester City,28-165,1993,9.8,463,575,80.5,7303,2513,260,290,89.7,173,202,85.6,26,55,47.3,2,1.2,+0.8,9,15,15,3,35,Matches
369,Ayoze Pérez,es ESP,FWMF,Leicester City,28-240,1993,2.4,58,72,80.6,873,258,35,41,85.4,16,22,72.7,5,6,83.3,2,0.7,+1.3,6,6,2,0,11,Matches
370,Sonny Perkins,eng ENG,FW,West Ham,18-038,2004,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
371,Romain Perraud,fr FRA,DF,Southampton,24-179,1997,13.4,372,566,65.7,5601,2405,203,237,85.7,143,221,64.7,13,65,20.0,1,0.5,+0.5,7,21,10,3,34,Matches
372,Kalvin Phillips,eng ENG,MF,Leeds United,26-108,1995,11.1,514,626,82.1,11735,2856,137,165,83.0,261,281,92.9,111,165,67.3,1,0.2,+0.8,6,53,8,2,42,Matches
373,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-306,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
374,Jordan Pickford,eng ENG,GK,Everton,28-013,1994,25.0,431,800,53.9,17148,12039,51,51,100.0,146,149,98.0,232,598,38.8,0,0.1,-0.1,3,26,0,0,0,Matches
375,Erik Pieters,nl NED,DF,Burnley,33-225,1988,7.9,237,339,69.9,3973,1626,119,146,81.5,94,120,78.3,19,56,33.9,0,0.0,0.0,0,17,1,0,19,Matches
376,Ethan Pinnock,jm JAM,DF,Brentford,28-295,1993,26.7,1048,1384,75.7,21222,7981,351,409,85.8,524,668,78.4,161,277,58.1,1,1.2,-0.2,10,64,7,3,55,Matches
377,Daniel Podence,pt POR,FWMF,Wolves,26-150,1995,15.6,434,593,73.2,7181,2202,230,282,81.6,138,183,75.4,49,85,57.6,3,3.7,-0.7,32,32,32,9,70,Matches
378,Paul Pogba,fr FRA,MFFW,Manchester Utd,29-005,1993,12.6,599,721,83.1,12246,3116,246,283,86.9,222,253,87.7,113,143,79.0,9,3.5,+5.5,24,89,22,5,80,Matches
379,Nick Pope,eng ENG,GK,Burnley,29-335,1992,25.0,355,729,48.7,17002,14159,19,21,90.5,74,77,96.1,261,628,41.6,0,0.2,-0.2,3,35,1,0,0,Matches
380,Teemu Pukki,fi FIN,FW,Norwich City,31-356,1990,27.2,294,398,73.9,4569,632,167,208,80.3,103,135,76.3,19,25,76.0,2,1.5,+0.5,16,14,5,1,20,Matches
381,Christian Pulisic,us USA,MFFW,Chelsea,23-183,1998,10.5,271,342,79.2,3967,765,173,199,86.9,84,105,80.0,10,16,62.5,1,0.7,+0.3,10,10,6,0,17,Matches
382,Przemysław Płacheta,pl POL,FWMF,Norwich City,23-362,1998,4.9,94,141,66.7,1639,479,49,60,81.7,29,41,70.7,12,24,50.0,0,0.3,-0.3,2,5,4,2,9,Matches
383,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-166,2002,0.2,10,12,83.3,136,25,6,6,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
384,Aaron Ramsdale,eng ENG,GK,Arsenal,23-310,1998,24.0,567,842,67.3,16671,10228,131,133,98.5,246,250,98.4,189,457,41.4,0,0.0,0.0,0,22,0,0,0,Matches
385,Jacob Ramsey,eng ENG,MF,Aston Villa,20-296,2001,21.4,672,788,85.3,11997,3060,306,344,89.0,273,308,88.6,79,100,79.0,1,1.9,-0.9,16,71,18,2,74,Matches
386,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24-140,1997,10.4,227,333,68.2,3338,678,136,183,74.3,71,97,73.2,13,30,43.3,2,2.0,0.0,9,13,11,3,22,Matches
387,Milot Rashica,xk KVX,FWMF,Norwich City,25-265,1996,18.0,277,446,62.1,5495,1694,119,150,79.3,107,156,68.6,47,121,38.8,2,2.0,0.0,29,22,18,8,31,Matches
388,David Raya,es ESP,GK,Brentford,26-186,1995,15.0,420,670,62.7,15012,10217,61,61,100.0,156,159,98.1,201,447,45.0,0,0.0,0.0,0,24,1,0,1,Matches
389,Nathan Redmond,eng ENG,MFFW,Southampton,28-014,1994,15.1,373,531,70.2,6254,1961,190,231,82.3,134,192,69.8,34,81,42.0,5,3.6,+1.4,28,24,36,12,60,Matches
390,Sergio Reguilón,es ESP,DF,Tottenham,25-094,1996,18.5,677,890,76.1,11944,3814,324,381,85.0,280,353,79.3,64,120,53.3,3,3.9,-0.9,28,30,27,20,45,Matches
391,Declan Rice,eng ENG,MF,West Ham,23-065,1999,27.0,1389,1545,89.9,27857,6742,526,568,92.6,624,677,92.2,223,270,82.6,4,1.8,+2.2,20,172,25,8,109,Matches
392,Taylor Richards,eng ENG,MFFW,Brighton,21-106,2000,0.3,23,27,85.2,431,111,7,8,87.5,12,14,85.7,3,3,100.0,0,0.0,0.0,0,2,0,0,2,Matches
393,Richarlison,br BRA,FWMF,Everton,24-314,1997,18.2,214,325,65.8,3237,715,106,143,74.1,83,107,77.6,12,25,48.0,3,1.9,+1.1,16,13,9,1,22,Matches
394,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-192,1996,1.3,45,54,83.3,920,217,13,16,81.3,26,27,96.3,6,9,66.7,0,0.1,-0.1,2,3,0,0,4,Matches
395,Matt Ritchie,sct SCO,DF,Newcastle Utd,32-191,1989,14.6,492,679,72.5,10003,5116,220,246,89.4,170,210,81.0,96,206,46.6,2,1.6,+0.4,29,38,15,7,47,Matches
396,Connor Roberts,wls WAL,DF,Burnley,26-178,1995,10.2,274,438,62.6,5160,2499,121,136,89.0,115,175,65.7,37,114,32.5,1,0.3,+0.7,6,24,10,4,34,Matches
397,Tyler Roberts,wls WAL,MFFW,Leeds United,23-067,1999,11.0,222,301,73.8,3529,831,119,145,82.1,67,90,74.4,22,38,57.9,1,1.2,-0.2,15,18,12,3,24,Matches
398,Andrew Robertson,sct SCO,DF,Liverpool,28-009,1994,21.5,1386,1734,79.9,24969,9162,636,702,90.6,607,719,84.4,136,265,51.3,10,4.9,+5.1,48,104,40,11,145,Matches
399,Joe Rodon,wls WAL,DF,Tottenham,24-149,1997,0.9,17,18,94.4,370,118,4,4,100.0,10,11,90.9,3,3,100.0,0,0.0,0.0,0,1,0,0,0,Matches
400,Rodri,es ESP,MF,Manchester City,25-271,1996,23.4,1883,2040,92.3,39032,7502,636,677,93.9,916,971,94.3,319,365,87.4,1,1.2,-0.2,21,184,28,1,140,Matches
401,Rodrigo,es ESP,MFFW,Leeds United,31-014,1991,18.1,487,646,75.4,8482,2279,252,318,79.2,160,198,80.8,59,85,69.4,1,3.8,-2.8,32,55,28,7,62,Matches
402,Jay Rodriguez,eng ENG,FW,Burnley,32-234,1989,10.5,136,201,67.7,1837,473,91,119,76.5,31,57,54.4,6,12,50.0,2,1.8,+0.2,9,14,0,0,11,Matches
403,Mads Roerslev,dk DEN,DF,Brentford,22-269,1999,10.2,150,236,63.6,2769,865,58,75,77.3,70,102,68.6,19,43,44.2,1,0.6,+0.4,5,9,6,5,22,Matches
404,Cristian Romero,ar ARG,DF,Tottenham,23-327,1998,13.5,713,819,87.1,14406,4751,250,273,91.6,351,380,92.4,106,148,71.6,0,0.3,-0.3,4,40,5,0,36,Matches
405,Oriol Romeu,es ESP,MF,Southampton,30-177,1991,25.7,1198,1418,84.5,23226,5271,507,579,87.6,503,577,87.2,170,223,76.2,1,2.1,-1.1,25,108,19,2,105,Matches
406,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-043,1985,21.3,528,649,81.4,7285,1135,335,390,85.9,151,184,82.1,19,24,79.2,3,2.7,+0.3,19,29,14,0,40,Matches
407,Salomón Rondón,ve VEN,FW,Everton,32-185,1989,7.9,115,169,68.0,1469,231,71,94,75.5,24,42,57.1,5,9,55.6,0,0.6,-0.6,6,7,1,0,3,Matches
408,Danny Rose,eng ENG,DF,Watford,31-261,1990,7.7,221,331,66.8,4636,2661,81,91,89.0,97,132,73.5,39,88,44.3,0,0.8,-0.8,5,24,7,1,32,Matches
409,Jon Rowe,eng ENG,FWMF,Norwich City,18-324,2003,1.2,28,39,71.8,329,81,19,22,86.4,6,9,66.7,0,1,0.0,1,0.2,+0.8,2,1,0,0,1,Matches
410,Antonio Rüdiger,de GER,DF,Chelsea,29-017,1993,26.0,1608,1837,87.5,34593,10761,481,512,93.9,853,917,93.0,264,381,69.3,0,1.1,-1.1,11,163,24,4,126,Matches
411,Lukas Rupp,de GER,MF,Norwich City,31-071,1991,6.5,277,328,84.5,4795,1055,132,141,93.6,107,122,87.7,29,45,64.4,0,1.2,-1.2,8,15,4,1,22,Matches
