Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
60,Mitchell van Bergen,nl NED,FWMF,Reims,22-205,1999,14,6,710,7.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.0,0.12,0.13,0.25,0.12,0.25,Matches,7.9,5,3,4,0,1,2,10,20.0,8,162,42,25.9,31,79,52,15,1,0,14,3,8,3,0,,,,,,,,,,,,,,,118,179,65.9,1866,547,63,79,79.7,33,44,75.0,18,42,42.9,0,1.1,-1.1,13,0,9,3,9,6730.769230769231,350000,3653.846153846154,190000,5608.173076923077,291625,3044.423076923077,158310,7620.057692307692,396243,4136.596153846154,215103,4-yrs,1400000,760000,1166498,633242,1584971,860413,Reserve,F,LW,22,Netherlands,Reims
61,Valon Berisha,xk KVX,MFFW,Reims,29-041,1993,11,3,342,3.8,0,1,0,0,0,2,1,0.0,0.26,0.26,0.0,0.26,0.0,0.0,0.4,0.4,0.01,0.1,0.11,0.01,0.11,Matches,3.8,8,6,0,7,1,1,7,14.3,6,104,27,26.0,13,59,32,6,0,0,6,6,14,3,0,,,,,,,,,,,,,,,103,150,68.7,2075,670,51,65,78.5,28,39,71.8,20,40,50.0,1,0.4,0.6,5,11,2,1,12,14230.76923076923,740000,7884.615384615385,410000,11857.26923076923,616578,6569.557692307692,341617,16110.98076923077,837771,8926.346153846154,464170,3-yrs,2220000,1230000,1849733,1024852,2513312,1392510,Reserve,M,CM,28,Kosovo,Reims
62,Paul Bernardoni,fr FRA,GK,Angers,24-336,1997,13,13,1170,13.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,2,11.0,1.1,33.0,23.0,69.7,4.0,3.0,3.0,3.0,30.0,1.0,0.0,0.0,0.0,263,337,78.0,7909,4249,46,46,100.0,109,113,96.5,107,177,60.5,0,0.0,0.0,0,0,0,0,0,23076.92307692308,1200000,12692.307692307691,660000,19228.0,999856,10575.403846153846,549921,26125.903846153848,1358547,14369.25,747201,1-yr,1200000,660000,999856,549921,1358547,747201,Starter,K,GK,24,France,St-Etienne
63,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24-336,1997,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,2,11.0,1.1,33.0,23.0,69.7,4.0,3.0,3.0,3.0,30.0,1.0,0.0,0.0,0.0,263,337,78.0,7909,4249,46,46,100.0,109,113,96.5,107,177,60.5,0,0.0,0.0,0,0,0,0,0,23076.92307692308,1200000,12692.307692307691,660000,19228.0,999856,10575.403846153846,549921,26125.903846153848,1358547,14369.25,747201,1-yr,1200000,660000,999856,549921,1358547,747201,Starter,K,GK,24,France,St-Etienne
64,Juan Bernat,es ESP,DF,Paris S-G,29-019,1993,11,9,718,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.02,0.07,0.09,0.02,0.09,Matches,8.0,22,14,7,10,5,10,17,58.8,7,87,28,32.2,32,33,22,13,0,0,13,6,28,14,0,,,,,,,,,,,,,,,487,531,91.7,6849,1740,296,315,94.0,165,179,92.2,15,21,71.4,0,0.5,-0.5,4,29,4,1,22,161538.46153846153,8400000,88846.15384615384,4620000,134595.9423076923,6998989,74027.76923076923,3849444,182881.28846153847,9509827,100584.71153846152,5230405,4-yrs,33600000,18480000,27995956,15397776,38039309,20921620,Reserve,D,LB,28,Spain,PSG
65,Dimitry Bertaud,fr FRA,GK,Montpellier,23-287,1998,6,5,472,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,12.0,2.29,29.0,18.0,58.6,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,,125,181,69.1,4078,2846,27,27,100.0,47,47,100.0,51,107,47.7,0,0.0,0.0,0,1,1,0,0,1923.076923076923,100000,1153.8461538461538,60000,1602.326923076923,83321,961.4038461538462,49993,2177.153846153846,113212,1306.2884615384614,67927,1-yr,100000,60000,83321,49993,113212,67927,Reserve,K,GK,23,France,Montpellier
66,Jason Berthomier,fr FRA,MF,Clermont Foot,32-073,1990,27,21,1651,18.3,1,5,1,0,0,0,0,0.05,0.27,0.33,0.05,0.33,1.7,1.7,4.0,5.7,0.09,0.22,0.31,0.09,0.31,Matches,18.3,29,23,4,19,6,11,32,34.4,21,308,120,39.0,67,168,73,18,2,0,16,12,41,5,0,,,,,,,,,,,,,,,1090,1337,81.5,19362,5241,553,604,91.6,388,444,87.4,135,246,54.9,5,4.0,1.0,46,93,20,8,98,2884.6153846153848,150000,1538.4615384615386,80000,2403.5,124982,1281.8653846153843,66657,3265.730769230769,169818,1741.7307692307693,90570,1-yr,150000,80000,124982,66657,169818,90570,Reserve,F,AM,32,France,Clermont
67,Giulian Biancone,fr FRA,DF,Troyes,21-354,2000,24,18,1585,17.6,0,2,0,0,0,9,0,0.0,0.11,0.11,0.0,0.11,1.6,1.6,0.9,2.5,0.09,0.05,0.14,0.09,0.14,Matches,17.6,42,22,24,13,5,18,40,45.0,22,285,84,29.5,140,110,35,33,5,0,28,44,86,46,1,,,,,,,,,,,,,,,665,917,72.5,11931,5069,300,362,82.9,282,375,75.2,71,147,48.3,2,0.9,1.1,13,40,17,12,65,576.9230769230769,30000,384.61538461538464,20000,480.6923076923077,24996,320.46153846153845,16664,653.1538461538462,33964,435.4230769230769,22642,5-yrs,150000,100000,124982,83321,169818,113212,Reserve,D,RB,21,France,Troyes
68,El Bilal Touré,ml MLI,FW,Reims,20-168,2001,15,11,840,9.3,1,2,0,1,1,2,0,0.11,0.21,0.32,0.0,0.21,3.2,2.4,0.7,3.1,0.34,0.07,0.41,0.26,0.33,Matches,9.3,15,9,2,8,5,2,5,40.0,3,156,40,25.6,28,80,48,15,3,0,12,5,20,12,0,,,,,,,,,,,,,,,169,233,72.5,2201,304,110,138,79.7,48,67,71.6,2,9,22.2,2,0.7,1.3,8,10,4,1,7,4807.692307692308,250000,2692.3076923076924,140000,4005.826923076923,208303,2243.269230769231,116650,5442.903846153846,283031,3048.019230769231,158497,3-yrs,750000,420000,624910,349949,849092,475491,Starter,F,CF,20,Mali,Reims
69,Jean-Claude Billong,cm CMR,DF,Clermont Foot,28-082,1993,8,4,433,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches,4.8,8,6,6,2,0,1,2,50.0,1,41,19,46.3,24,15,2,7,2,0,5,10,18,18,0,,,,,,,,,,,,,,,200,230,87.0,3900,1147,71,79,89.9,104,115,90.4,23,31,74.2,0,0.0,0.0,0,8,0,0,6,2884.6153846153848,150000,1538.4615384615386,80000,2403.5,124982,1281.8653846153843,66657,3265.730769230769,169818,1741.7307692307693,90570,2-yrs,300000,160000,249964,133314,339637,181140,Reserve,D,CB,28,Cameroon,Clermont
