Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
25,Sardar Azmoun,ir IRN,FW,Leverkusen,27-078,1995,2,0,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.27,0.08,1.35,1.27,1.35,Matches,0.3,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,10,10,100.0,155,41,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,1,1,0,0,0,61538.46153846154,3200000,32692.30769230769,1700000,51274.65384615384,2666282,27239.653846153848,1416462,69669.05769230769,3622791,37011.69230769231,1924608,6-yrs,19200000,10200000,15997689,8498772,21736748,11547647,Reserve,F,CF,27,Iran,Bayer Leverkusen
26,Mitchel Bakker,nl NED,DF,Leverkusen,21-273,2000,17,15,1366,15.2,0,3,0,0,0,6,0,0.0,0.2,0.2,0.0,0.2,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07,Matches,15.2,33,21,17,13,3,16,32,50.0,16,184,60,32.6,85,70,29,27,2,0,25,37,70,34,1,,,,,,,,,,,,,,,762,906,84.1,12654,4709,375,415,90.4,309,351,88.0,64,106,60.4,3,0.7,2.3,7,48,17,8,58,30961.53846153846,1610000,16346.153846153846,850000,25797.55769230769,1341473,13619.826923076924,708231,35052.25,1822717,18505.846153846152,962304,4-yrs,6440000,3400000,5365892,2832924,7290868,3849216,Starter,D,LB,21,Netherlands,Bayer Leverkusen
27,Ridle Baku,de GER,DFFW,Wolfsburg,23-346,1998,26,22,1889,21.0,2,3,2,0,0,3,0,0.1,0.14,0.24,0.1,0.24,2.0,2.0,3.2,5.1,0.09,0.15,0.24,0.09,0.24,Matches,21.0,40,21,22,14,4,13,46,28.3,33,380,110,28.9,127,152,101,47,0,0,47,27,67,33,1,,,,,,,,,,,,,,,738,967,76.3,13903,4709,316,377,83.8,317,398,79.6,98,157,62.4,3,3.2,-0.2,26,49,23,10,86,11538.46153846154,600000,6153.846153846154,320000,9614.0,499928,5127.461538461538,266628,13062.942307692309,679273,6966.903846153846,362279,4-yrs,2400000,1280000,1999711,1066513,2717094,1449117,Starter,M,RM,23,Germany,Wolfsburg
28,Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,23-303,1998,4,1,103,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.1,5,3,3,2,0,1,3,33.3,2,34,10,29.4,12,14,8,3,0,0,3,3,8,5,0,,,,,,,,,,,,,,,30,43,69.8,515,295,15,17,88.2,10,17,58.8,3,6,50.0,0,0.0,0.0,0,2,0,0,8,4038.4615384615386,210000,2115.3846153846152,110000,3364.903846153846,174975,1762.5576923076924,91653,4572.038461538462,237746,2394.8653846153848,124533,1-yr,210000,110000,174975,91653,237746,124533,Reserve,F,AM,23,Morocco,Eintracht Frankfurt
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-076,2000,24,16,1418,15.8,0,2,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,1.9,1.9,1.6,3.5,0.12,0.1,0.22,0.12,0.22,Matches,15.8,59,30,24,24,11,19,36,52.8,17,376,108,28.7,98,197,81,29,6,0,23,32,91,27,0,,,,,,,,,,,,,,,304,425,71.5,4609,1550,161,202,79.7,117,162,72.2,16,30,53.3,2,1.6,0.4,10,28,12,2,39,2500.0,130000,1346.1538461538462,70000,2083.038461538461,108318,1121.6346153846157,58325,2830.3076923076924,147176,1524.0192307692307,79249,3-yrs,390000,210000,324953,174975,441528,237746,Starter,M,CM,22,Luxembourg,Mainz
30,Jacob Barrett Laursen,dk DEN,DF,Arminia,27-123,1994,18,16,1262,14.0,2,0,2,0,0,1,0,0.14,0.0,0.14,0.14,0.14,0.3,0.3,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches,14.0,20,13,12,6,2,6,14,42.9,8,167,56,33.5,72,65,30,30,7,0,23,22,42,35,1,,,,,,,,,,,,,,,439,623,70.5,8199,3513,191,223,85.7,186,242,76.9,58,123,47.2,0,0.5,-0.5,5,27,3,1,41,5384.615384615385,280000,2884.6153846153848,150000,4486.538461538462,233300,2403.5,124982,6096.038461538462,316994,3265.730769230769,169818,2-yrs,560000,300000,466599,249964,633988,339637,Reserve,D,LB,27,Denmark,Arminia Bielefeld
31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,22-027,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches,2.3,9,3,6,2,1,6,8,75.0,2,40,11,27.5,15,21,4,6,2,0,4,6,15,0,1,,,,,,,,,,,,,,,88,115,76.5,1685,743,37,41,90.2,33,41,80.5,13,22,59.1,0,0.1,-0.1,2,8,2,2,10,2884.6153846153848,150000,1538.4615384615386,80000,2403.5,124982,1281.8653846153843,66657,3265.730769230769,169818,1741.7307692307693,90570,1-yr,150000,80000,124982,66657,169818,90570,Reserve,D,CB,21,France,Furth
32,Maximilian Bauer,de GER,DF,Greuther Fürth,22-039,2000,21,15,1427,15.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches,15.9,30,21,23,6,1,10,20,50.0,10,196,77,39.3,112,80,4,25,13,0,12,38,68,93,1,,,,,,,,,,,,,,,588,714,82.4,13633,3973,137,161,85.1,318,345,92.2,129,194,66.5,0,0.0,0.0,1,18,0,0,17,3653.846153846154,190000,1923.076923076923,100000,3044.423076923077,158310,1602.326923076923,83321,4136.596153846154,215103,2177.153846153846,113212,1-yr,190000,100000,158310,83321,215103,113212,Reserve,D,CB,21,Germany,Furth
33,Oliver Baumann,de GER,GK,Hoffenheim,31-291,1990,26,26,2340,26.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,26.0,0,0,0,0,0,0,1,0.0,1,4,3,75.0,4,0,0,0,0,0,0,0,0,1,0,37.0,1.42,114.0,79.0,68.4,12.0,5.0,9.0,7.0,26.9,1.0,1.0,1.0,50.0,956,1210,79.0,23621,12541,260,263,98.9,433,438,98.9,247,492,50.2,0,0.0,0.0,0,10,0,0,0,60576.92307692308,3150000,32115.384615384617,1670000,50473.480769230766,2624621,26758.96153846154,1391466,68580.48076923077,3566185,36358.53846153846,1890644,3-yrs,9450000,5010000,7873863,4174397,10698556,5671933,Starter,K,GK,31,Germany,Hoffenheim
34,Timo Baumgartl,de GER,DF,Union Berlin,26-016,1996,22,22,1896,21.1,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.3,1.3,0.1,1.4,0.06,0.01,0.07,0.06,0.07,Matches,21.1,63,32,44,18,1,33,47,70.2,14,336,131,39.0,172,137,27,42,11,0,31,38,101,75,0,,,,,,,,,,,,,,,853,1054,80.9,18852,6653,233,271,86.0,453,507,89.3,160,259,61.8,1,0.1,0.9,3,64,4,2,69,28269.23076923077,1470000,15000.0,780000,23554.28846153846,1224823,12498.192307692309,649906,32004.23076923077,1664220,16981.826923076922,883055,1-yr,1470000,780000,1224823,649906,1664220,883055,Starter,D,CB,25,Germany,Union Berlin
