,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
535,Aurélien Tchouaméni,fr FRA,MF,Monaco,22-052,2000,23.6,77,49,33,39,5,22,46,47.8,24,415,148,35.7,126,231,58,16,4,0,12,83,160,31,0,Matches
536,Mathys Tel,fr FRA,FWMF,Rennes,16-327,2005,0.5,3,2,3,0,0,0,0,,0,17,5,29.4,9,3,5,1,0,0,1,3,6,2,0,Matches
537,Jordan Tell,fr FRA,FW,Clermont Foot,24-283,1997,3.2,6,3,0,4,2,0,0,,0,63,14,22.2,9,21,33,2,0,0,2,1,7,1,0,Matches
538,Martin Terrier,fr FRA,FWMF,Rennes,25-016,1997,21.5,32,23,10,9,13,6,24,25.0,18,414,125,30.2,69,165,180,25,2,0,23,14,46,15,0,Matches
539,Sada Thioub,sn SEN,MF,Angers,26-292,1995,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
540,Sada Thioub,sn SEN,DF,Saint-Étienne,26-292,1995,6.7,12,9,2,9,1,3,7,42.9,4,120,37,30.8,36,56,28,7,0,0,7,10,22,7,0,Matches
541,Romain Thomas,fr FRA,DF,Angers,33-281,1988,20.8,49,33,31,18,0,22,45,48.9,23,227,84,37.0,136,82,9,33,12,0,21,30,79,91,1,Matches
542,Adrien Thomasson,fr FRA,MF,Strasbourg,28-100,1993,21.1,54,28,18,22,14,25,78,32.1,53,619,166,26.8,150,269,200,52,5,0,47,40,94,13,0,Matches
543,Thuler,br BRA,DF,Montpellier,23-010,1999,8.3,23,16,16,7,0,8,12,66.7,4,113,34,30.1,75,36,2,11,6,0,5,16,39,29,0,Matches
544,Khéphren Thuram-Ulie,fr FRA,MF,Nice,20-359,2001,14.9,29,19,8,15,6,7,20,35.0,13,212,67,31.6,67,114,31,28,6,1,22,33,62,14,0,Matches
545,Cheikh Tidiane Sabaly,sn SEN,FWMF,Metz,23-016,1999,1.7,3,2,0,2,1,0,1,0.0,1,39,14,35.9,7,14,18,3,0,0,3,1,4,0,0,Matches
546,Jean-Clair Todibo,fr FRA,DF,Nice,22-080,1999,24.7,54,34,39,14,1,23,47,48.9,24,254,107,42.1,152,92,10,41,18,0,23,56,110,101,0,Matches
547,Karl Toko Ekambi,cm CMR,FW,Lyon,29-187,1992,18.3,12,6,2,7,3,4,19,21.1,15,186,46,24.7,37,83,66,22,0,0,22,22,34,9,0,Matches
548,Yoann Touzghar,tn TUN,FW,Troyes,35-112,1986,12.6,4,4,1,1,2,2,4,50.0,2,129,36,27.9,9,67,53,5,1,0,4,3,7,8,0,Matches
549,Amadou Traore,fr FRA,FW,Bordeaux,20-013,2002,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,1,2,1,0,0,0,0,0,0,0,0,Matches
550,Boubacar Traoré,ml MLI,MF,Metz,20-212,2001,12.7,37,28,11,18,8,7,21,33.3,14,376,99,26.3,95,234,47,27,6,0,21,23,60,11,0,Matches
551,Charles Traore,ml MLI,DF,Nantes,30-078,1992,8.0,27,16,18,7,2,4,17,23.5,13,148,48,32.4,69,62,17,21,4,0,17,22,49,30,0,Matches
552,Hamari Traoré,ml MLI,DF,Rennes,30-052,1992,22.3,49,26,23,15,11,24,43,55.8,19,246,85,34.6,83,98,65,46,8,0,38,44,93,48,0,Matches
553,Ismaël Traoré,ci CIV,DF,Angers,35-214,1986,26.7,26,21,16,9,1,8,23,34.8,15,206,86,41.7,137,61,8,38,14,0,24,58,84,90,1,Matches
554,Miguel Trauco,pe PER,DF,Saint-Étienne,29-207,1992,8.3,26,16,15,9,2,9,23,39.1,14,89,27,30.3,42,31,16,17,4,0,13,16,42,12,0,Matches
555,Adrien Truffert,fr FRA,DF,Rennes,20-120,2001,10.7,18,9,10,6,2,8,23,34.8,15,169,45,26.6,61,76,32,32,4,0,28,18,36,16,0,Matches
556,Matthieu Udol,fr FRA,DF,Metz,26-000,1996,11.2,33,23,19,12,2,14,26,53.8,12,146,65,44.5,70,63,13,26,7,1,19,39,72,32,0,Matches
557,Ike Ugbo,ca CAN,FW,Troyes,23-180,1998,4.5,1,0,0,0,1,0,0,,0,116,31,26.7,3,60,53,6,0,0,6,0,1,2,0,Matches
558,Chimuanya Ugochukwu,fr FRA,MF,Rennes,17-359,2004,4.1,8,3,4,2,2,4,9,44.4,5,70,17,24.3,21,37,12,7,2,0,5,2,10,2,0,Matches
559,Hwang Ui-jo,kr KOR,FW,Bordeaux,29-204,1992,20.6,4,3,0,3,1,0,9,0.0,9,250,62,24.8,22,121,107,13,2,0,11,5,9,12,0,Matches
560,Cengiz Ünder,tr TUR,FWMF,Marseille,24-249,1997,17.5,15,8,5,3,7,5,17,29.4,12,161,43,26.7,25,64,72,16,2,0,14,15,30,6,0,Matches
561,Jere Uronen,fi FIN,DF,Brest,27-250,1994,7.6,21,16,13,5,3,6,16,37.5,10,100,38,38.0,57,30,13,14,2,0,12,14,35,20,0,Matches
562,Vanderson,br BRA,DFMF,Monaco,20-272,2001,5.3,13,9,6,6,1,5,13,38.5,8,123,34,27.6,42,50,31,7,2,0,5,10,23,13,0,Matches
563,Jonathan Varane,fr FRA,MF,Lens,20-192,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
564,Marco Verratti,it ITA,MF,Paris S-G,29-135,1992,13.9,43,31,6,25,12,13,37,35.1,24,323,81,25.1,68,158,97,25,8,0,17,19,62,5,0,Matches
565,Kevin Volland,de GER,FWMF,Monaco,29-233,1992,19.5,21,16,5,11,5,7,31,22.6,24,371,110,29.6,30,197,144,11,0,0,11,8,29,4,0,Matches
566,Timothy Weah,us USA,MFFW,Lille,22-026,2000,11.8,12,10,4,4,4,5,12,41.7,7,131,36,27.5,28,55,48,13,0,0,13,10,22,3,0,Matches
567,Georginio Wijnaldum,nl NED,MF,Paris S-G,31-129,1990,14.8,15,12,4,8,3,7,9,77.8,2,176,55,31.3,46,71,59,17,4,0,13,11,26,4,0,Matches
568,Christopher Wooh,fr FRA,DF,Lens,20-183,2001,7.7,25,16,15,9,1,9,16,56.3,7,100,39,39.0,55,40,5,17,9,1,8,14,39,28,1,Matches
569,Xeka,pt POR,MF,Lille,27-130,1994,16.4,47,31,18,23,6,18,44,40.9,26,367,110,30.0,106,208,53,24,4,0,20,34,81,39,1,Matches
570,Sekou Yansané,gn GUI,FW,Paris S-G,18-326,2003,0.2,0,0,0,0,0,0,0,,0,5,0,0.0,0,4,1,1,0,0,1,0,0,1,0,Matches
571,Yusuf Yazıcı,tr TUR,MFFW,Lille,25-050,1997,5.7,11,4,3,7,1,2,8,25.0,6,101,28,27.7,13,58,30,6,0,0,6,3,14,4,0,Matches
572,Burak Yılmaz,tr TUR,FW,Lille,36-248,1985,19.0,3,2,1,1,1,0,12,0.0,12,183,46,25.1,8,83,92,11,5,0,6,5,8,9,0,Matches
573,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,22-252,1999,14.1,44,32,17,26,1,13,29,44.8,16,244,93,38.1,87,123,34,19,3,0,16,23,67,12,0,Matches
574,Akim Zedadka,fr FRA,DF,Clermont Foot,26-294,1995,28.9,63,35,28,26,9,29,50,58.0,21,325,119,36.6,115,149,61,43,7,0,36,74,137,35,1,Matches
575,Arber Zeneli,xk KVX,FW,Reims,27-023,1995,1.1,1,1,1,0,0,0,2,0.0,2,13,4,30.8,3,4,6,1,0,0,1,0,1,0,0,Matches
576,Mehdi Zerkane,dz ALG,MFDF,Bordeaux,22-248,1999,0.9,2,2,0,0,2,1,3,33.3,2,20,2,10.0,3,13,4,2,2,0,0,2,4,0,0,Matches
577,Edon Zhegrova,xk KVX,MF,Lille,22-354,1999,0.6,2,2,1,1,0,0,1,0.0,1,13,4,30.8,2,5,6,1,1,0,0,2,4,1,0,Matches
578,Banhie Zoukrou,fr FRA,DF,Troyes,18-317,2003,0.9,1,0,1,0,0,1,2,50.0,1,9,2,22.2,8,1,0,0,0,0,0,2,3,1,0,Matches
