Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
355,Yohann Magnin,fr FRA,MFDF,Clermont Foot,24-272,1997,15,11,1025,11.4,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.5,1.1,0.05,0.04,0.10,0.05,0.10,Matches
356,Habib Maïga,ci CIV,MFFW,Metz,26-078,1996,17,16,1267,14.1,2,0,2,0,0,6,0,0.14,0.00,0.14,0.14,0.14,1.2,1.2,0.6,1.8,0.09,0.04,0.13,0.09,0.13,Matches
357,Josh Maja,ng NGA,FW,Bordeaux,23-083,1998,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.99,0.99,0.00,0.99,Matches
358,Abdul Majeed Waris,gh GHA,MFFW,Strasbourg,30-182,1991,15,2,327,3.6,2,0,2,0,0,1,0,0.55,0.00,0.55,0.55,0.55,1.2,1.2,0.6,1.8,0.32,0.16,0.49,0.32,0.49,Matches
359,Lovro Majer,hr CRO,MF,Rennes,24-062,1998,19,12,1099,12.2,3,7,3,0,0,1,0,0.25,0.57,0.82,0.25,0.82,3.1,3.1,4.2,7.2,0.25,0.34,0.59,0.25,0.59,Matches
360,Béni Makouana,cg CGO,FWMF,Montpellier,19-173,2002,18,0,207,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.25,0.09,0.34,0.25,0.34,Matches
361,Hianga Mananga Mbock,fr FRA,MF,Brest,22-082,1999,13,8,737,8.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
362,Vincent Manceau,fr FRA,DF,Angers,32-253,1989,23,22,2062,22.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.00,0.01,0.02,0.00,0.02,Matches
363,Steve Mandanda,fr FRA,GK,Marseille,36-357,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
364,Reinildo Mandava,mz MOZ,DF,Lille,28-058,1994,18,18,1524,16.9,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.2,0.8,0.04,0.01,0.05,0.04,0.05,Matches
365,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,31-035,1991,6,6,491,5.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
366,Thomas Mangani,fr FRA,MF,Angers,34-325,1987,24,23,1922,21.4,6,2,1,5,5,5,0,0.28,0.09,0.37,0.05,0.14,4.2,0.4,1.0,1.4,0.20,0.05,0.24,0.02,0.07,Matches
367,Ricardo Mangas,pt POR,DF,Bordeaux,24-001,1998,20,19,1645,18.3,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,1.7,1.7,0.2,1.8,0.09,0.01,0.10,0.09,0.10,Matches
368,Myziane Maolida,fr FRA,MFFW,Nice,23-034,1999,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,Matches
369,Sekou Mara,fr FRA,FW,Bordeaux,19-233,2002,17,4,489,5.4,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,1.2,1.2,0.1,1.3,0.23,0.01,0.24,0.23,0.24,Matches
370,Marcelo,br BRA,DF,Bordeaux,34-304,1987,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
