,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
376,Pape Matar Sarr,sn SEN,MF,Metz,19-187,2002,16.4,604,733,82.4,11775,2530,246,284,86.6,255,288,88.5,92,139,66.2,1,0.6,+0.4,14,54,7,0,51,Matches
377,Eliot Matazo,be BEL,MF,Monaco,20-033,2002,7.8,329,370,88.9,6106,1212,130,141,92.2,160,168,95.2,32,47,68.1,0,0.1,-0.1,4,35,5,0,34,Matches
378,Chrislain Matsima,fr FRA,DF,Monaco,19-309,2002,1.4,70,81,86.4,1542,535,17,20,85.0,41,47,87.2,12,12,100.0,0,0.0,0.0,0,5,0,0,4,Matches
379,Azor Matusiwa,nl NED,MF,Reims,23-326,1998,18.8,674,799,84.4,13704,2946,272,318,85.5,263,292,90.1,130,167,77.8,1,0.7,+0.3,10,64,5,1,56,Matches
380,Stephy Mavididi,eng ENG,FWMF,Montpellier,23-293,1998,18.8,343,432,79.4,4641,904,216,254,85.0,92,115,80.0,16,23,69.6,3,2.8,+0.2,18,6,11,5,13,Matches
381,Derek Mazou-Sacko,fr FRA,FW,Troyes,17-165,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
382,Kylian Mbappé,fr FRA,FW,Paris S-G,23-090,1998,23.6,771,976,79.0,11638,2325,460,539,85.3,203,249,81.5,65,108,60.2,11,7.0,+4.0,46,41,39,9,59,Matches
383,Amadou Mbengue,sn SEN,DFMF,Metz,20-074,2002,5.4,181,219,82.6,4111,1480,49,53,92.5,102,110,92.7,29,52,55.8,0,0.0,0.0,1,15,0,0,10,Matches
384,Jason Mbock,fr FRA,FW,Angers,22-139,1999,0.2,3,5,60.0,32,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
385,Moustapha Mbow,sn SEN,DF,Reims,22-012,2000,1.0,22,27,81.5,534,176,8,9,88.9,7,10,70.0,6,7,85.7,0,0.0,0.0,0,0,0,0,0,Matches
386,Nathanael Mbuku,fr FRA,FWMF,Reims,20-004,2002,13.4,231,313,73.8,3747,894,118,137,86.1,85,113,75.2,18,32,56.3,1,0.7,+0.3,9,27,7,1,22,Matches
387,Facundo Medina,ar ARG,DF,Lens,22-296,1999,22.8,1631,1812,90.0,31879,12151,628,664,94.6,749,805,93.0,231,300,77.0,0,0.1,-0.1,2,142,3,0,136,Matches
388,Farid El Melali,dz ALG,FW,Angers,24-250,1997,0.2,2,5,40.0,36,0,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
389,Birger Meling,no NOR,DF,Rennes,27-093,1994,17.7,835,974,85.7,15396,4630,366,405,90.4,353,403,87.6,102,127,80.3,4,1.3,+2.7,13,38,13,4,79,Matches
390,Houboulang Mendes,fr FRA,DF,Lorient,23-320,1998,26.8,899,1076,83.6,16988,5394,361,388,93.0,415,467,88.9,111,184,60.3,0,1.0,-1.0,10,34,8,7,57,Matches
391,Nuno Mendes,pt POR,DF,Paris S-G,19-274,2002,12.2,700,804,87.1,11662,2903,348,380,91.6,288,322,89.4,54,75,72.0,1,1.9,-0.9,12,43,9,4,36,Matches
392,Thiago Mendes,br BRA,MFDF,Lyon,30-005,1992,14.0,941,1065,88.4,19401,5052,336,361,93.1,427,456,93.6,162,220,73.6,0,0.9,-0.9,8,80,4,0,68,Matches
