name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Alessandro Florenzi,106923.07692307692,5560000,57692.307692307695,3000000,89089.69230769231,4632664,48069.980769230766,2499639,121050,6294600,65314.75,3396367,1-yr,5560000,3000000,4632664,2499639,6294600,3396367,Reserve,D,RB,30,Italy,AC Milan
Mattia De Sciglio,106923.07692307692,5560000,57692.307692307695,3000000,89089.69230769231,4632664,48069.980769230766,2499639,121050,6294600,65314.75,3396367,1-yr,5560000,3000000,4632664,2499639,6294600,3396367,Starter,D,RB,29,Italy,Juventus
Stephan El Shaarawy,106923.07692307692,5560000,57692.307692307695,3000000,89089.69230769231,4632664,48069.980769230766,2499639,121050,6294600,65314.75,3396367,2-yrs,11120000,6000000,9265328,4999278,12589200,6792734,Reserve,F,LW,29,Italy,Roma
Pablo Marí,101730.76923076923,5290000,79423.07692307692,4130000,84763.40384615384,4407697,66176.34615384616,3441170,115171.67307692308,5988927,89916.63461538461,4675665,1-yr,5290000,4130000,4407697,3441170,5988927,4675665,Starter,D,CB,28,Spain,Udinese
Alessandro Bastoni,99807.69230769231,5190000,53846.153846153844,2800000,83161.05769230769,4324375,44865.307692307695,2332996,112994.51923076923,5875715,60960.42307692308,3169942,3-yrs,15570000,8400000,12973126,6998989,17627144,9509827,Starter,D,CB,22,Italy,Inter Milan
Danilo,98653.84615384616,5130000,76923.07692307692,4000000,82199.67307692308,4274383,64093.307692307695,3332852,111688.21153846153,5807787,87086.32692307692,4528489,3-yrs,15390000,12000000,12823148,9998556,17423362,13585468,Reserve,D,RB,30,Brazil,Juventus
Theo Hernández,98653.84615384616,5130000,76923.07692307692,4000000,82199.67307692308,4274383,64093.307692307695,3332852,111688.21153846153,5807787,87086.32692307692,4528489,5-yrs,25650000,20000000,21371913,16664259,29038937,22642446,Starter,D,LB,24,France,AC Milan
Chris Smalling,93653.84615384616,4870000,73076.92307692308,3800000,78033.59615384616,4057747,60888.63461538462,3166209,106027.61538461539,5513436,82732.01923076923,4302065,2-yrs,9740000,7600000,8115494,6332419,11026871,8604129,Starter,D,CB,32,England,Roma
Francesco Acerbi,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Reserve,D,CB,33,Italy,Lazio
Luis Alberto,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Starter,M,CM,29,Spain,Lazio
Amadou Diawara,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,3-yrs,13890000,7500000,11573328,6249097,15725179,8490917,Reserve,M,DM,24,Guinea,Roma
Nicolò Zaniolo,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,3-yrs,13890000,7500000,11573328,6249097,15725179,8490917,Starter,F,RW,22,Italy,Roma
