Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
342,Vitaliy Mykolenko,ua UKR,DF,Everton,22-295,1999,2.0,5,3,2,3,0,4,6,66.7,2,37,6,16.2,18,15,4,5,0,0,5,5,10,5,1,Matches
343,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-060,1994,8.4,23,16,13,9,1,10,28,35.7,18,155,45,29.0,75,65,15,14,4,0,10,18,41,12,0,Matches
344,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-094,1996,18.0,70,47,39,28,3,21,47,44.7,26,410,137,33.4,155,214,41,32,6,0,26,45,115,70,0,Matches
345,Tanguy Ndombele,fr FRA,MF,Tottenham,25-082,1996,5.4,13,10,4,8,1,1,6,16.7,5,88,26,29.5,24,45,19,2,1,0,1,3,16,3,0,Matches
346,Reiss Nelson,eng ENG,FW,Arsenal,22-100,1999,0.2,1,0,0,1,0,0,0,,0,8,2,25.0,2,5,1,0,0,0,0,1,2,0,0,Matches
347,Pedro Neto,pt POR,MFFW,Wolves,22-011,2000,1.5,4,4,2,1,1,0,5,0.0,5,30,12,40.0,7,11,12,0,0,0,0,3,7,0,0,Matches
348,Rúben Neves,pt POR,MF,Wolves,25-007,1997,25.2,62,41,30,26,6,22,83,26.5,61,475,135,28.4,176,255,44,37,5,0,32,49,111,47,1,Matches
349,Jeremy Ngakia,eng ENG,DF,Watford,21-194,2000,7.0,32,19,27,3,2,16,29,55.2,13,155,44,28.4,100,41,14,11,1,0,10,21,53,12,0,Matches
350,Saúl Ñíguez,es ESP,DFMF,Chelsea,27-119,1994,3.8,9,5,6,1,2,4,9,44.4,5,75,20,26.7,32,33,10,8,2,0,6,12,21,5,1,Matches
351,Eddie Nketiah,eng ENG,FWMF,Arsenal,22-294,1999,1.4,5,3,0,3,2,1,1,100.0,0,41,12,29.3,4,13,24,3,0,0,3,2,7,1,0,Matches
352,Nicolas Nkoulou,cm CMR,DF,Watford,31-358,1990,1.9,1,0,0,1,0,0,0,,0,7,5,71.4,5,2,0,5,2,0,3,1,2,10,0,Matches
353,Mark Noble,eng ENG,MF,West Ham,34-316,1987,1.4,1,1,0,1,0,0,0,,0,16,4,25.0,4,8,4,0,0,0,0,1,2,1,0,Matches
354,Mathias Normann,no NOR,MF,Norwich City,25-296,1996,11.9,28,18,17,8,3,6,19,31.6,13,195,37,19.0,80,103,12,18,7,1,11,20,48,28,0,Matches
355,Christian Nørgaard,dk DEN,MF,Brentford,28-010,1994,27.2,108,72,42,56,10,44,87,50.6,43,559,182,32.6,198,311,50,50,7,1,43,71,179,38,1,Matches
356,Angelo Ogbonna,it ITA,DF,West Ham,33-301,1988,10.2,13,8,8,5,0,2,7,28.6,5,50,16,32.0,32,15,3,7,4,0,3,13,26,38,0,Matches
357,Michael Olise,fr FRA,FWMF,Crystal Palace,20-098,2001,10.8,19,12,9,6,4,7,16,43.8,9,216,59,27.3,67,103,46,16,0,0,16,11,30,8,0,Matches
358,Andrew Omobamidele,ie IRL,DF,Norwich City,19-270,2002,4.2,8,3,5,3,0,6,12,50.0,6,49,14,28.6,37,12,0,10,10,0,0,10,18,17,0,Matches
359,Tyler Onyango,eng ENG,MFFW,Everton,19-016,2003,0.3,1,0,1,0,0,0,1,0.0,1,10,2,20.0,6,3,1,0,0,0,0,1,2,0,0,Matches
360,Frank Onyeka,ng NGA,MF,Brentford,24-078,1998,11.6,30,16,14,12,4,5,20,25.0,15,253,69,27.3,109,106,38,20,2,0,18,15,45,13,0,Matches
361,Divock Origi,be BEL,FW,Liverpool,26-336,1995,0.8,0,0,0,0,0,0,0,,0,17,4,23.5,1,9,7,2,0,0,2,2,2,0,0,Matches
362,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,28-217,1993,8.7,17,14,3,7,7,5,13,38.5,8,171,63,36.8,26,75,70,11,3,0,8,8,25,7,0,Matches
363,Cole Palmer,eng ENG,FWMF,Manchester City,19-318,2002,1.4,2,2,1,1,0,0,1,0.0,1,29,6,20.7,3,11,15,2,0,0,2,2,4,0,0,Matches
364,Emerson Palmieri,it ITA,DF,Chelsea,27-229,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
