,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
166,Keita Baldé,sn SEN,FWMF,Inter,it Serie A,23,1995,9.9,10,7,3,1,6,3,10,30.0,7,194,42,21.6,29,83,82,10,0,0,10,2,12,2,0,Matches
167,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,29,1989,19.8,14,12,5,6,3,2,19,10.5,17,241,58,24.1,26,116,99,27,3,0,24,5,19,9,0,Matches
168,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,11,9,7,2,2,4,10,40.0,6,108,16,14.8,62,41,5,10,2,0,8,7,18,17,0,Matches
169,Andrija Balić,hr CRO,MFFW,Udinese,it Serie A,20,1997,0.3,1,0,0,0,1,1,1,100.0,0,11,1,9.1,4,6,1,1,0,0,1,1,2,0,0,Matches
170,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,21,1997,17.7,46,26,29,15,2,29,40,72.5,11,238,77,32.4,129,87,22,43,5,0,38,15,61,34,2,Matches
171,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,21,1997,17.7,56,32,36,15,5,23,54,42.6,31,316,86,27.2,148,134,34,39,3,0,36,14,70,50,1,Matches
172,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,12.0,28,21,15,11,2,6,36,16.7,30,234,75,32.1,84,121,29,14,2,0,12,4,32,8,0,Matches
173,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,13,6,11,2,0,6,11,54.5,5,54,20,37.0,40,12,2,7,3,0,4,25,38,26,0,Matches
174,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,8.4,0,0,0,0,0,0,3,0.0,3,78,19,24.4,4,32,42,5,0,0,5,4,4,6,0,Matches
175,Mario Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,10.4,9,8,2,6,1,5,13,38.5,8,111,28,25.2,10,50,51,5,2,0,3,3,12,6,0,Matches
176,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,28.6,47,30,30,11,6,22,54,40.7,32,430,133,30.9,278,114,38,47,4,0,43,31,78,79,0,Matches
177,Jonathan Bamba,fr FRA,FWMF,Lille,fr Ligue 1,22,1996,33.4,28,20,5,15,8,10,48,20.8,38,576,134,23.3,158,288,130,50,3,0,47,25,53,10,0,Matches
178,Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,27.5,74,31,46,28,0,25,55,45.5,30,390,126,32.3,233,148,9,81,36,2,45,113,187,165,1,Matches
179,Yacine Bammou,ma MAR,FWMF,Caen,fr Ligue 1,26,1991,10.3,12,6,6,4,2,2,6,33.3,4,145,39,26.9,44,65,36,20,3,0,17,7,19,15,0,Matches
180,Éver Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,29.6,64,44,32,28,4,16,70,22.9,54,574,141,24.6,224,295,55,31,4,0,27,31,95,32,0,Matches
181,Mattia Bani,it ITA,DF,Chievo,it Serie A,24,1993,29.0,65,39,45,20,0,25,45,55.6,20,389,114,29.3,257,116,16,59,36,0,23,36,101,174,2,Matches
182,Léo Baptistão,br BRA,FWMF,Espanyol,es La Liga,25,1992,13.7,23,14,12,5,6,10,31,32.3,21,336,72,21.4,78,152,106,17,0,0,17,11,34,11,0,Matches
183,Antonín Barák,cz CZE,MFFW,Udinese,it Serie A,23,1994,3.7,10,8,5,5,0,1,8,12.5,7,87,19,21.8,24,47,16,3,0,0,3,4,14,1,0,Matches
184,Federico Barba,it ITA,DF,Chievo,it Serie A,24,1993,27.6,36,28,25,10,1,11,23,47.8,12,319,93,29.2,188,111,20,54,13,0,41,46,82,124,0,Matches
185,Danilo Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,17.2,33,20,11,16,6,9,27,33.3,18,364,97,26.6,113,190,61,23,3,0,20,12,45,24,0,Matches
186,Enis Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,31.5,65,45,24,33,8,21,84,25.0,63,732,175,23.9,217,383,132,44,3,0,41,26,91,31,0,Matches
187,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,33,1985,18.6,37,17,19,15,3,10,28,35.7,18,201,54,26.9,98,77,26,30,13,1,17,38,75,78,2,Matches
189,Nicolò Barella,it ITA,MFFW,Cagliari,it Serie A,21,1997,34.5,101,61,43,30,28,30,90,33.3,60,752,208,27.7,219,356,177,65,3,0,62,26,127,30,0,Matches
190,Philipp Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,12.0,18,14,6,11,1,6,27,22.2,21,141,38,27.0,53,80,8,35,11,0,24,20,38,45,1,Matches
191,Antonino Barillà,it ITA,MF,Parma,it Serie A,30,1988,29.1,62,48,39,20,3,16,67,23.9,51,767,186,24.3,352,342,73,66,12,0,54,27,89,37,0,Matches
192,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,13.8,15,12,4,10,1,6,16,37.5,10,230,67,29.1,45,118,67,15,1,0,14,14,29,18,1,Matches
193,Aymen Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,5.7,11,7,4,7,0,1,17,5.9,16,174,51,29.3,45,112,17,8,2,0,6,3,14,3,0,Matches
194,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,28,1989,26.5,30,17,4,17,9,7,37,18.9,30,580,149,25.7,59,278,243,31,10,0,21,6,36,26,1,Matches
195,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,20,1997,11.2,8,4,4,4,0,3,10,30.0,7,158,42,26.6,43,78,37,11,3,0,8,1,9,4,0,Matches
196,Antonio Barragán,es ESP,DFMF,Betis,es La Liga,31,1987,10.4,17,8,13,3,1,3,16,18.8,13,130,36,27.7,62,49,19,17,1,0,16,9,26,17,3,Matches
197,Antonio Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
198,Antonio Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,6.6,9,3,6,3,0,4,8,50.0,4,71,15,21.1,37,27,7,7,2,0,5,4,13,6,0,Matches
199,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1.0,5,4,2,1,2,2,2,100.0,0,24,5,20.8,5,14,5,0,0,0,0,1,6,1,0,Matches
200,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,4.4,8,6,3,0,5,2,8,25.0,6,115,26,22.6,28,52,35,11,0,0,11,2,10,3,0,Matches
201,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,8.7,20,12,9,5,6,9,32,28.1,23,145,38,26.2,37,71,37,19,2,0,17,6,26,5,0,Matches
202,Musa Barrow,gm GAM,FWMF,Atalanta,it Serie A,19,1998,6.7,10,6,7,2,1,2,6,33.3,4,135,38,28.1,12,54,69,5,2,0,3,2,12,1,0,Matches
203,Fin Bartels,de GER,FW,Werder Bremen,de Bundesliga,31,1987,0.3,0,0,0,0,0,0,1,0.0,1,8,2,25.0,4,2,2,1,0,0,1,0,0,0,0,Matches
204,Marc Bartra,es ESP,DF,Betis,es La Liga,27,1991,32.5,86,55,50,32,4,24,67,35.8,43,393,123,31.3,223,147,23,60,23,1,37,38,124,156,3,Matches
205,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,2.9,3,3,1,2,0,1,4,25.0,3,20,5,25.0,13,7,0,3,3,0,0,1,4,6,0,Matches
206,Daniele Baselli,it ITA,MF,Torino,it Serie A,26,1992,26.4,65,44,27,30,8,14,59,23.7,45,514,138,26.8,143,258,113,48,8,0,40,33,98,28,0,Matches
207,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,14.8,29,17,5,18,6,9,38,23.7,29,442,123,27.8,115,252,75,16,3,0,13,7,36,21,0,Matches
208,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,1.0,2,2,1,1,0,0,0,,0,11,3,27.3,9,2,0,2,1,0,1,1,3,8,0,Matches
209,Borja Bastón,es ESP,FW,Alavés,es La Liga,25,1992,16.0,15,9,1,12,2,2,28,7.1,26,441,69,15.6,35,248,158,18,5,0,13,1,16,8,0,Matches
210,Alessandro Bastoni,it ITA,DF,Parma,it Serie A,19,1999,18.8,32,18,22,9,1,7,16,43.8,9,180,56,31.1,125,46,9,44,18,0,26,12,44,116,0,Matches
