,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1154,Nicolas Janvier,fr FRA,MF,Rennes,fr Ligue 1,19,1998,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
1155,Paweł Jaroszyński,pl POL,DFMF,Chievo,it Serie A,23,1994,15.0,39,27,25,10,4,13,32,40.6,19,267,76,28.5,140,92,35,31,3,0,28,18,57,34,0,Matches
1156,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,30.5,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches
1157,Jason,es ESP,MFDF,Levante,es La Liga,24,1994,25.9,42,25,20,15,7,22,75,29.3,53,513,108,21.1,160,234,119,41,2,0,39,40,82,29,0,Matches
1158,Dennis Jastrzembski,pl POL,DFMF,Hertha BSC,de Bundesliga,18,2000,0.7,0,0,0,0,0,0,2,0.0,2,16,3,18.8,5,4,7,0,0,0,0,0,0,0,0,Matches
1159,Assil Jaziri,tn TUN,FWMF,Nice,fr Ligue 1,18,1999,0.4,2,2,0,2,0,0,2,0.0,2,24,4,16.7,8,9,7,1,0,0,1,1,3,0,0,Matches
1160,Corentin Jean,fr FRA,FWMF,Toulouse,fr Ligue 1,23,1995,7.0,11,6,3,7,1,3,16,18.8,13,138,44,31.9,30,67,41,12,1,0,11,5,16,5,0,Matches
1161,Benjamin Jeannot,fr FRA,FW,Dijon,fr Ligue 1,26,1992,16.0,23,12,7,10,6,8,22,36.4,14,308,53,17.2,38,176,94,15,3,0,12,7,30,18,0,Matches
1162,Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,22,1995,12.5,18,11,9,6,3,8,20,40.0,12,148,51,34.5,69,66,13,37,2,0,35,14,32,52,0,Matches
1163,Jemerson,br BRA,DFMF,Monaco,fr Ligue 1,25,1992,24.7,56,36,40,15,1,15,41,36.6,26,292,101,34.6,171,110,11,40,16,0,24,20,76,123,2,Matches
1164,Carl Jenkinson,eng ENG,DF,Arsenal,eng Premier League,26,1992,1.8,5,4,2,1,2,1,1,100.0,0,23,6,26.1,10,10,3,3,2,0,1,2,7,2,0,Matches
1165,Fredrik Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,20,1997,2.3,6,3,4,1,1,1,2,50.0,1,65,20,30.8,26,33,6,5,1,0,4,0,6,3,0,Matches
1166,Mathias Jensen,dk DEN,MFFW,Celta Vigo,es La Liga,22,1996,2.6,7,3,3,3,1,2,9,22.2,7,123,28,22.8,36,66,21,1,0,0,1,3,10,2,0,Matches
1167,Jesé,es ESP,FWMF,Betis,es La Liga,25,1993,8.7,10,9,3,4,3,3,10,30.0,7,198,44,22.2,28,87,83,4,0,0,4,2,12,0,0,Matches
1168,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,21,1997,11.5,9,6,5,4,0,0,4,0.0,4,180,53,29.4,19,80,81,13,3,0,10,5,14,3,0,Matches
1169,Juan Jesus,br BRA,DF,Roma,it Serie A,27,1991,15.6,37,24,29,6,2,15,28,53.6,13,177,62,35.0,129,41,7,38,16,0,22,14,51,48,0,Matches
1170,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,27,1991,34.6,34,21,5,18,11,7,25,28.0,18,561,140,25.0,57,267,237,29,3,0,26,31,65,39,0,Matches
1171,Joaquín,es ESP,FWDF,Betis,es La Liga,37,1981,18.8,12,8,6,4,2,5,11,45.5,6,233,61,26.2,56,121,56,19,1,0,18,10,22,25,0,Matches
1172,Joelinton,br BRA,FWMF,Hoffenheim,de Bundesliga,21,1996,23.7,38,20,10,22,6,17,36,47.2,19,469,109,23.2,45,219,205,32,5,0,27,15,53,6,0,Matches
1173,Aron Jóhannsson,us USA,MF,Werder Bremen,de Bundesliga,27,1990,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
1174,Stefan Johansen,no NOR,MF,Fulham,eng Premier League,27,1991,4.6,10,9,4,6,0,2,6,33.3,4,102,25,24.5,26,65,11,4,0,0,4,3,13,8,0,Matches
1175,Jakob Johansson,se SWE,MF,Rennes,fr Ligue 1,28,1990,7.9,17,13,5,12,0,7,20,35.0,13,83,31,37.3,25,49,9,7,2,0,5,5,22,24,0,Matches
1176,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,18,2000,0.7,1,1,1,0,0,0,1,0.0,1,19,1,5.3,17,1,1,3,0,0,3,2,3,1,0,Matches
1177,Fabian Johnson,us USA,DFFW,M'Gladbach,de Bundesliga,30,1987,11.2,13,6,3,10,0,5,8,62.5,3,128,32,25.0,45,63,20,17,4,0,13,7,20,16,1,Matches
1178,Tyreke Johnson,eng ENG,FW,Southampton,eng Premier League,19,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1179,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1180,Jonathas,br BRA,FW,Hannover 96,de Bundesliga,29,1989,6.7,4,3,3,1,0,1,6,16.7,5,122,28,23.0,13,61,48,9,0,0,9,4,8,5,0,Matches
1181,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,26,1992,14.0,26,19,18,8,0,8,9,88.9,1,125,59,47.2,77,47,1,28,9,0,19,30,56,75,1,Matches
1182,Jony,es ESP,MFFW,Alavés,es La Liga,27,1991,33.0,27,12,9,10,8,7,46,15.2,39,491,98,20.0,152,221,118,42,0,0,42,24,51,7,1,Matches
1183,Joan Jordán,es ESP,MF,Eibar,es La Liga,24,1994,31.9,69,51,16,45,8,32,91,35.2,59,613,179,29.2,119,364,130,60,4,0,56,32,101,27,0,Matches
1184,Bruno Jordão,pt POR,MF,Lazio,it Serie A,19,1998,1.0,4,2,3,1,0,1,4,25.0,3,21,4,19.0,7,12,2,2,0,0,2,1,5,0,0,Matches
1185,Jorginho,it ITA,MF,Chelsea,eng Premier League,26,1991,35.1,79,56,27,40,12,31,94,33.0,63,664,221,33.3,205,353,106,50,7,0,43,61,140,33,0,Matches
1186,Willian José,br BRA,FW,Real Sociedad,es La Liga,26,1991,26.3,5,3,0,4,1,3,4,75.0,1,337,98,29.1,11,149,177,13,6,0,7,5,10,28,0,Matches
1187,Joselu,es ESP,FW,Newcastle Utd,eng Premier League,28,1990,6.6,12,9,5,4,3,5,12,41.7,7,104,20,19.2,17,36,51,8,0,0,8,2,14,12,0,Matches
1188,Evens Joseph,fr FRA,FWMF,Caen,fr Ligue 1,19,1999,3.8,4,4,0,3,1,1,4,25.0,3,106,26,24.5,24,57,25,5,1,0,4,2,6,6,0,Matches
1189,Diogo Jota,pt POR,FWMF,Wolves,eng Premier League,21,1996,26.2,35,20,13,15,7,11,47,23.4,36,502,135,26.9,109,255,138,20,2,0,18,12,47,10,0,Matches
1190,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,1992,12.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
1191,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,15.3,25,13,20,5,0,6,15,40.0,9,124,31,25.0,88,34,2,21,12,0,9,24,49,129,1,Matches
1192,Stevan Jovetić,me MNE,MFFW,Monaco,fr Ligue 1,28,1989,4.4,2,2,1,1,0,0,3,0.0,3,43,7,16.3,0,21,22,4,1,0,3,0,2,2,0,Matches
1193,Luka Jović,rs SRB,FWMF,Eint Frankfurt,de Bundesliga,20,1997,24.9,14,11,1,8,5,2,10,20.0,8,332,90,27.1,16,142,174,12,1,0,11,7,21,26,0,Matches
1194,Jozabed,es ESP,MF,Celta Vigo,es La Liga,27,1991,12.8,20,17,6,10,4,8,34,23.5,26,300,68,22.7,99,159,42,18,2,0,16,8,28,8,0,Matches
1195,Miguel Juan Llambrich,es ESP,DF,Villarreal,es La Liga,22,1996,6.0,24,13,17,6,1,11,19,57.9,8,115,32,27.8,61,37,17,15,3,0,12,8,32,19,0,Matches
1196,Juanfran,es ESP,DF,Atlético Madrid,es La Liga,33,1985,17.9,38,28,29,7,2,22,41,53.7,19,176,67,38.1,93,57,26,23,3,0,20,23,61,28,1,Matches
1197,Juanfran,es ESP,DF,Leganés,es La Liga,29,1988,16.2,21,14,12,7,2,7,25,28.0,18,184,53,28.8,76,70,38,32,4,0,28,12,33,24,0,Matches
1198,Juanmi,es ESP,FWMF,Real Sociedad,es La Liga,25,1993,16.9,17,8,4,9,4,4,26,15.4,22,382,69,18.1,58,194,130,20,0,0,20,12,29,6,1,Matches
1199,Juanpe,es ESP,DF,Girona,es La Liga,27,1991,30.7,41,26,25,13,3,20,35,57.1,15,241,83,34.4,133,95,13,48,17,0,31,33,74,173,2,Matches
1200,Juanpi,ve VEN,MFFW,Huesca,es La Liga,24,1994,7.4,16,11,8,7,1,4,12,33.3,8,195,42,21.5,61,100,34,20,0,0,20,2,18,8,0,Matches
1201,Nathaël Julan,fr FRA,FWMF,Guingamp,fr Ligue 1,22,1996,4.8,3,2,0,2,1,0,4,0.0,4,61,11,18.0,1,29,31,8,1,0,7,0,3,2,0,Matches
1202,Christopher Jullien,fr FRA,DF,Toulouse,fr Ligue 1,25,1993,33.5,39,26,29,7,3,15,36,41.7,21,252,89,35.3,178,59,15,54,30,2,24,27,66,223,2,Matches
1203,David Juncà,es ESP,DF,Celta Vigo,es La Liga,24,1993,19.5,50,26,34,15,1,23,47,48.9,24,242,71,29.3,152,72,18,53,7,0,46,18,68,70,0,Matches
1204,Sebastian Jung,de GER,DF,Wolfsburg,de Bundesliga,28,1990,0.6,1,1,0,1,0,1,1,100.0,0,7,2,28.6,4,2,1,0,0,0,0,0,1,0,0,Matches
1205,Hamed Junior Traorè,ci CIV,MF,Empoli,it Serie A,18,2000,25.1,73,43,31,27,15,26,74,35.1,48,647,158,24.4,245,298,104,39,6,1,33,30,103,16,0,Matches
1206,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,18,2000,9.7,14,7,4,5,5,1,12,8.3,11,204,45,22.1,46,71,87,7,1,0,6,6,20,0,0,Matches
1207,Musa Juwara,gm GAM,FW,Chievo,it Serie A,16,2001,0.1,0,0,0,0,0,0,0,,0,7,2,28.6,0,5,2,0,0,0,0,1,1,0,0,Matches
1208,Mathias Jørgensen,dk DEN,DF,Huddersfield,eng Premier League,28,1990,23.9,43,19,28,14,1,20,47,42.6,27,272,91,33.5,165,94,13,35,15,0,20,76,119,124,2,Matches
1209,Sory Kaba,gn GUI,FWMF,Dijon,fr Ligue 1,23,1995,2.6,1,1,1,0,0,0,3,0.0,3,64,13,20.3,5,33,26,2,0,0,2,0,1,0,0,Matches
1210,Ozan Kabak,tr TUR,DF,Stuttgart,de Bundesliga,18,2000,15.0,46,32,34,7,5,11,23,47.8,12,158,54,34.2,95,52,11,27,14,0,13,17,63,55,2,Matches
1211,Christian Kabasele,be BEL,DF,Watford,eng Premier League,27,1991,17.6,30,18,22,7,1,9,23,39.1,14,188,78,41.5,127,57,4,37,19,0,18,39,69,114,0,Matches
1212,Elias Kachunga,cd COD,FWMF,Huddersfield,eng Premier League,26,1992,13.1,26,7,11,12,3,10,27,37.0,17,279,61,21.9,73,133,73,14,0,0,14,8,34,15,0,Matches
1213,Pavel Kadeřábek,cz CZE,DFMF,Hoffenheim,de Bundesliga,26,1992,27.9,31,15,10,16,5,10,31,32.3,21,297,83,27.9,115,121,61,50,9,0,41,19,50,77,0,Matches
1214,Shinji Kagawa,jp JPN,MF,Dortmund,de Bundesliga,29,1989,1.1,0,0,0,0,0,0,0,,0,9,3,33.3,3,5,1,0,0,0,0,0,0,0,0,Matches
1215,Florian Kainz,at AUT,FW,Werder Bremen,de Bundesliga,25,1992,4.1,8,6,6,2,0,3,5,60.0,2,55,14,25.5,12,29,14,5,2,0,3,2,10,4,0,Matches
1216,Gaël Kakuta,cd COD,MFFW,Rayo Vallecano,es La Liga,27,1991,8.0,12,8,6,4,2,3,12,25.0,9,145,37,25.5,46,77,22,7,1,0,6,8,20,4,0,Matches
1217,Nikola Kalinić,hr CRO,FW,Atlético Madrid,es La Liga,30,1988,7.1,3,0,1,2,0,0,4,0.0,4,127,28,22.0,13,57,57,1,0,0,1,2,5,2,0,Matches
1218,Salomon Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,32,1985,25.7,19,13,5,12,2,4,21,19.0,17,461,91,19.7,72,250,139,33,4,0,29,7,26,20,0,Matches
1219,Samuel Kalu,ng NGA,FW,Bordeaux,fr Ligue 1,20,1997,14.2,24,14,13,7,4,4,22,18.2,18,185,67,36.2,54,76,55,14,1,0,13,12,36,2,0,Matches
1220,François Kamano,gn GUI,FWMF,Bordeaux,fr Ligue 1,22,1996,28.5,42,27,12,19,11,12,41,29.3,29,539,115,21.3,119,265,155,32,1,0,31,18,60,9,0,Matches
1221,Aboubakar Kamara,mr MTN,FWMF,Fulham,eng Premier League,23,1995,7.7,10,6,1,9,0,3,9,33.3,6,151,38,25.2,35,75,41,12,0,0,12,6,16,6,0,Matches
1222,Boubacar Kamara,fr FRA,DF,Marseille,fr Ligue 1,18,1999,26.8,62,33,38,21,3,18,46,39.1,28,325,129,39.7,188,115,22,44,15,1,29,24,86,106,1,Matches
1223,Hassane Kamara,ci CIV,DFFW,Reims,fr Ligue 1,23,1994,10.3,27,13,24,2,1,11,22,50.0,11,183,54,29.5,106,54,23,16,2,0,14,15,42,37,0,Matches
1224,Marcin Kamiński,pl POL,DF,Düsseldorf,de Bundesliga,26,1992,27.0,17,12,12,4,1,6,16,37.5,10,152,62,40.8,108,41,3,34,9,1,25,37,54,125,4,Matches
1225,Patrick Kammerbauer,de GER,FW,Freiburg,de Bundesliga,21,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
1226,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,27,1990,23.5,37,25,11,22,4,7,35,20.0,28,410,131,32.0,109,231,70,44,2,0,42,27,64,16,0,Matches
1227,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,25,1993,26.9,14,8,2,9,3,3,12,25.0,9,248,63,25.4,21,95,132,18,7,0,11,8,22,14,0,Matches
1228,Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,20,1998,5.5,1,1,0,0,1,0,2,0.0,2,104,14,13.5,4,72,28,4,0,0,4,1,2,1,0,Matches
1229,Lee Kangin,kr KOR,FWMF,Valencia,es La Liga,17,2001,0.3,2,0,1,0,1,1,3,33.3,2,17,1,5.9,4,9,4,0,0,0,0,1,3,0,0,Matches
1230,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,27,1991,34.4,81,62,27,41,13,26,66,39.4,40,782,260,33.2,209,383,190,66,6,0,60,58,139,31,0,Matches
1231,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1232,Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,22,1996,8.6,12,5,4,6,2,4,10,40.0,6,165,32,19.4,49,92,24,9,1,0,8,4,16,5,0,Matches
1233,Kenan Karaman,tr TUR,FWMF,Düsseldorf,de Bundesliga,24,1994,10.2,13,8,2,10,1,3,8,37.5,5,276,47,17.0,24,189,63,6,2,0,4,2,15,5,0,Matches
1234,Yann Karamoh,fr FRA,FWMF,Bordeaux,fr Ligue 1,20,1998,13.6,7,6,1,5,1,1,19,5.3,18,298,82,27.5,40,138,120,11,1,0,10,4,11,2,0,Matches
1235,Yann Karamoh,fr FRA,MF,Inter,it Serie A,20,1998,0.1,0,0,0,0,0,0,0,,0,4,1,25.0,0,2,2,0,0,0,0,0,0,0,0,Matches
1236,Ibrahim Karamoko,fr FRA,MF,Chievo,it Serie A,17,2001,0.7,1,1,1,0,0,0,0,,0,14,5,35.7,3,7,4,1,0,0,1,0,1,1,0,Matches
1237,Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1238,Rick Karsdorp,nl NED,DF,Roma,it Serie A,23,1995,6.6,9,5,6,2,1,4,12,33.3,8,107,26,24.3,50,41,16,7,2,0,5,6,15,14,0,Matches
1239,Grigoris Kastanos,cy CYP,MF,Juventus,it Serie A,20,1998,0.7,3,1,3,0,0,0,0,,0,8,3,37.5,6,2,0,1,1,0,0,2,5,0,0,Matches
1240,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1241,Beram Kayal,il ISR,MF,Brighton,eng Premier League,30,1988,10.4,35,25,18,16,1,9,34,26.5,25,316,94,29.7,153,129,34,20,9,0,11,9,44,20,0,Matches
1242,Moise Kean,it ITA,FWMF,Juventus,it Serie A,18,2000,6.0,1,1,0,1,0,0,1,0.0,1,65,12,18.5,5,23,37,4,2,0,2,3,4,2,0,Matches
1243,Michael Keane,eng ENG,DF,Everton,eng Premier League,25,1993,33.0,44,29,26,16,2,15,29,51.7,14,222,77,34.7,130,84,8,51,25,0,26,58,102,256,4,Matches
1244,Neeskens Kebano,cd COD,FWMF,Fulham,eng Premier League,26,1992,1.2,4,2,2,2,0,1,1,100.0,0,27,6,22.2,7,13,7,2,0,0,2,1,5,4,0,Matches
1245,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,21,1996,21.1,71,44,39,27,5,24,54,44.4,30,332,101,30.4,153,141,38,47,19,1,28,18,89,72,1,Matches
1246,Jules Keita,gn GUI,FWMF,Dijon,fr Ligue 1,20,1998,5.1,9,4,0,2,7,4,13,30.8,9,82,20,24.4,12,32,38,3,0,0,3,1,10,0,0,Matches
1247,Naby Keïta,gn GUI,MFFW,Liverpool,eng Premier League,23,1995,15.4,39,23,12,18,9,10,40,25.0,30,412,138,33.5,118,193,101,37,4,0,33,7,46,15,0,Matches
1248,Keko,es ESP,MFFW,Valladolid,es La Liga,26,1991,17.0,35,19,17,13,5,12,51,23.5,39,492,120,24.4,174,246,72,32,2,0,30,10,45,15,0,Matches
1249,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,28,1990,12.3,21,15,18,2,1,12,18,66.7,6,109,32,29.4,83,24,2,26,15,0,11,14,35,104,3,Matches
1250,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,23,1995,22.5,40,18,31,8,1,10,24,41.7,14,174,59,33.9,123,46,5,42,20,1,22,41,81,169,0,Matches
1251,Kenedy,br BRA,MFDF,Newcastle Utd,eng Premier League,22,1996,15.0,34,23,14,17,3,9,25,36.0,16,227,72,31.7,71,101,55,32,0,0,32,28,62,17,0,Matches
1252,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,21,1997,8.8,23,12,16,4,3,8,20,40.0,12,110,34,30.9,64,31,15,19,2,0,17,17,40,38,0,Matches
1253,Christophe Kerbrat,fr FRA,DF,Guingamp,fr Ligue 1,31,1986,23.3,46,24,36,10,0,18,35,51.4,17,165,53,32.1,115,45,5,29,8,0,21,44,90,148,2,Matches
1254,Sebastian Kerk,de GER,MFFW,Nürnberg,de Bundesliga,24,1994,13.1,18,7,7,7,4,8,33,24.2,25,299,62,20.7,131,123,45,20,3,1,17,7,25,19,1,Matches
1255,Franck Kessié,ci CIV,MF,Milan,it Serie A,21,1996,33.5,63,50,26,28,9,24,56,42.9,32,635,175,27.6,180,325,130,44,12,0,32,27,90,55,0,Matches
1256,Saîf-Eddine Khaoui,tn TUN,MFFW,Caen,fr Ligue 1,23,1995,15.0,17,7,4,9,4,6,22,27.3,16,312,63,20.2,47,197,68,16,1,0,15,15,32,7,0,Matches
1257,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,27,1991,31.3,41,27,8,12,21,7,42,16.7,35,578,136,23.5,57,285,236,32,3,1,29,17,58,3,0,Matches
1258,Rani Khedira,de GER,DFMF,Augsburg,de Bundesliga,24,1994,29.2,56,44,22,29,5,15,44,34.1,29,388,116,29.9,171,172,45,54,21,0,33,33,89,106,1,Matches
1259,Sami Khedira,de GER,MF,Juventus,it Serie A,31,1987,7.8,13,8,8,3,2,6,11,54.5,5,138,42,30.4,31,70,37,8,3,0,5,5,18,4,0,Matches
1260,Isaac Kiese Thelin,se SWE,FWMF,Leverkusen,de Bundesliga,26,1992,2.0,3,2,0,3,0,2,3,66.7,1,54,10,18.5,2,30,22,3,1,0,2,0,3,2,0,Matches
1261,Kike,es ESP,FW,Eibar,es La Liga,28,1989,14.4,6,4,1,3,2,1,9,11.1,8,288,79,27.4,21,102,165,24,2,0,22,5,11,3,0,Matches
1262,Max Kilman,eng ENG,DF,Wolves,eng Premier League,21,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1263,Joshua Kimmich,de GER,DFMF,Bayern Munich,de Bundesliga,23,1995,34.0,48,34,20,21,7,22,57,38.6,35,405,122,30.1,139,165,101,60,8,2,52,19,67,32,2,Matches
1264,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,22,1995,22.3,49,26,25,20,4,15,35,42.9,20,223,70,31.4,118,94,11,28,9,0,19,24,73,51,1,Matches
1265,Joshua King,no NOR,FWMF,Bournemouth,eng Premier League,26,1992,32.9,35,28,6,22,7,8,27,29.6,19,679,154,22.7,96,323,260,41,5,0,36,10,45,12,0,Matches
1266,Sofian Kiyine,ma MAR,MFDF,Chievo,it Serie A,20,1997,9.1,28,22,11,14,3,16,34,47.1,18,287,53,18.5,94,144,49,16,0,0,16,9,37,6,0,Matches
1267,Simon Kjær,dk DEN,DF,Sevilla,es La Liga,29,1989,22.3,35,20,28,7,0,14,24,58.3,10,159,53,33.3,103,53,3,42,31,0,11,19,54,153,0,Matches
1268,Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,25,1993,31.3,70,52,25,33,12,25,73,34.2,48,608,162,26.6,141,350,117,65,13,1,52,35,105,52,1,Matches
1269,Felix Klaus,de GER,FWMF,Wolfsburg,de Bundesliga,25,1992,4.9,12,5,4,7,1,6,11,54.5,5,134,33,24.6,27,67,40,4,0,0,4,3,15,2,0,Matches
1270,Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,32,1985,13.7,12,8,8,3,1,7,17,41.2,10,94,33,35.1,66,19,9,22,13,1,9,3,15,85,0,Matches
1271,Tim Kleindienst,de GER,FW,Freiburg,de Bundesliga,22,1995,2.2,5,3,1,3,1,0,4,0.0,4,38,6,15.8,6,20,12,3,0,0,3,1,6,5,0,Matches
1272,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,22,1996,22.3,50,25,31,16,3,21,49,42.9,28,315,127,40.3,164,115,36,45,5,2,40,24,74,77,0,Matches
1273,Justin Kluivert,nl NED,FW,Roma,it Serie A,19,1999,14.9,28,19,15,8,5,11,27,40.7,16,296,76,25.7,69,141,86,24,0,0,24,4,32,5,0,Matches
1274,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,22,1996,6.6,10,7,4,5,1,2,7,28.6,5,89,22,24.7,45,29,15,12,2,0,10,11,21,19,0,Matches
1275,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,26,1992,31.0,25,20,18,3,4,14,27,51.9,13,173,61,35.3,130,34,9,53,23,1,30,26,51,163,1,Matches
1276,Anthony Knockaert,fr FRA,MFFW,Brighton,eng Premier League,26,1991,20.4,31,21,11,12,8,9,38,23.7,29,354,83,23.4,129,160,65,18,0,0,18,26,57,9,0,Matches
1277,Törles Knöll,de GER,FWMF,Nürnberg,de Bundesliga,20,1997,4.1,5,3,1,3,1,1,5,20.0,4,101,24,23.8,19,45,37,5,2,0,3,1,6,2,0,Matches
1278,Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1279,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,15.4,1,0,1,0,0,1,1,100.0,0,0,0,,0,0,0,1,0,0,1,0,1,1,1,Matches
1280,Robin Koch,de GER,MFDF,Freiburg,de Bundesliga,22,1996,21.1,25,12,18,6,1,7,35,20.0,28,198,46,23.2,99,93,6,29,15,0,14,21,46,73,2,Matches
1281,Kenan Kodro,ba BIH,FWMF,Athletic Club,es La Liga,24,1993,1.8,3,2,1,2,0,1,2,50.0,1,34,13,38.2,6,14,14,1,0,0,1,0,3,0,0,Matches
1282,Dominik Kohr,de GER,MF,Leverkusen,de Bundesliga,24,1994,10.8,34,24,23,10,1,11,32,34.4,21,210,58,27.6,77,111,22,26,8,0,18,10,44,16,0,Matches
1283,Djégui Koita,fr FRA,DF,Guingamp,fr Ligue 1,18,1999,1.9,8,3,8,0,0,3,5,60.0,2,21,2,9.5,13,8,0,5,3,0,2,1,9,12,0,Matches
1284,Koke,es ESP,MF,Atlético Madrid,es La Liga,26,1992,28.7,75,46,32,34,9,28,95,29.5,67,725,167,23.0,277,320,128,47,5,0,42,24,99,33,0,Matches
1285,Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,32,1985,32.3,45,27,20,19,6,18,42,42.9,24,256,67,26.2,110,96,50,45,15,0,30,34,79,74,1,Matches
1286,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,25,1993,21.0,35,18,23,9,3,10,27,37.0,17,283,86,30.4,116,113,54,23,3,0,20,24,59,32,2,Matches
1287,Randal Kolo Muani,fr FRA,FWMF,Nantes,fr Ligue 1,19,1998,1.4,1,1,1,0,0,0,2,0.0,2,27,5,18.5,2,16,9,0,0,0,0,0,1,3,0,Matches
1288,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,26,1991,35.4,43,26,26,14,3,16,48,33.3,32,354,91,25.7,204,117,33,42,9,0,33,30,73,140,1,Matches
1289,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,32,1986,13.6,13,9,8,4,1,5,7,71.4,2,63,22,34.9,34,24,5,14,9,0,5,12,25,68,0,Matches
1290,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,22,1995,20.0,41,28,27,10,4,18,45,40.0,27,294,90,30.6,171,101,22,44,5,1,39,25,66,54,0,Matches
1291,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,19,1999,27.0,44,34,35,9,0,10,22,45.5,12,239,93,38.9,149,83,7,43,18,2,25,41,85,155,2,Matches
1292,Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,25,1993,20.8,12,9,3,3,6,2,18,11.1,16,358,82,22.9,30,181,147,23,3,0,20,5,17,9,0,Matches
1293,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,25,1993,13.8,46,35,19,22,5,8,23,34.8,15,336,75,22.3,121,182,33,27,7,0,20,24,70,27,2,Matches
1294,Kouadio Koné,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,0.8,3,3,1,2,0,1,1,100.0,0,18,4,22.2,5,11,2,0,0,0,0,0,3,0,0,Matches
