Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
236,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,28,1990,11.7,342,493,69.4,5588,1806,193,238,81.1,107,167,64.1,38,63,60.3,4,4.5,-0.5,23,13,32,14,48,Matches
237,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,23,1995,17.0,780,931,83.8,13374,4425,369,404,91.3,345,407,84.8,56,85,65.9,5,2.3,+2.7,8,44,24,6,85,Matches
238,Andrea Belotti,it ITA,FW,Torino,it Serie A,24,1993,36.7,529,809,65.4,7762,1922,303,421,72.0,160,245,65.3,38,67,56.7,3,4.0,-1.0,34,42,25,2,69,Matches
239,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,19,1999,16.9,798,884,90.3,14720,2870,334,368,90.8,348,375,92.8,104,122,85.2,0,0.7,-0.7,11,53,6,0,52,Matches
240,Hatem Ben Arfa,fr FRA,MFFW,Rennes,fr Ligue 1,31,1987,22.6,747,926,80.7,13215,3314,382,431,88.6,262,299,87.6,95,172,55.2,2,3.1,-1.1,35,77,28,2,89,Matches
241,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,27,1990,31.2,578,788,73.4,8198,1877,360,439,82.0,167,233,71.7,34,66,51.5,9,6.6,+2.4,41,47,27,6,56,Matches
242,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,22.9,459,618,74.3,13523,8579,63,63,100.0,248,250,99.2,148,304,48.7,0,0.0,0.0,0,2,0,0,0,Matches
243,Marco Benassi,it ITA,MF,Fiorentina,it Serie A,23,1994,25.4,632,837,75.5,11015,3655,299,372,80.4,256,317,80.8,71,113,62.8,1,1.7,-0.7,25,74,22,11,97,Matches
244,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,31,1987,5.0,292,324,90.1,6707,2286,66,73,90.4,172,181,95.0,53,68,77.9,0,0.0,0.0,0,17,0,0,16,Matches
245,Lars Bender,de GER,DFMF,Leverkusen,de Bundesliga,29,1989,15.1,785,944,83.2,13043,5018,398,448,88.8,304,354,85.9,66,100,66.0,4,1.3,+2.7,12,67,11,2,84,Matches
