,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
235,Bebé,pt POR,MFFW,Eibar,es La Liga,27,1990,4.1,88,149,59.1,1694,349,38,49,77.6,33,56,58.9,14,33,42.4,1,1.0,0.0,9,2,5,5,3,Matches
236,Ihlas Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,23,1994,23.8,462,652,70.9,7383,2599,254,318,79.9,149,203,73.4,42,81,51.9,2,5.8,-3.8,40,34,26,13,66,Matches
237,Andreas Beck,de GER,DFMF,Stuttgart,de Bundesliga,30,1987,21.4,820,1161,70.6,16528,6612,301,374,80.5,383,502,76.3,133,238,55.9,1,1.5,-0.5,12,62,15,8,91,Matches
238,Henri Bedimo,cm CMR,DFMF,Marseille,fr Ligue 1,33,1984,0.5,19,24,79.2,351,92,7,8,87.5,10,12,83.3,2,4,50.0,0,0.0,0.0,0,2,0,0,1,Matches
239,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,139,179,77.7,2979,969,47,49,95.9,67,80,83.8,24,47,51.1,0,0.0,0.0,0,6,0,0,13,Matches
240,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,689,1152,59.8,24248,15925,68,69,98.6,301,305,98.7,319,776,41.1,0,0.0,0.0,1,4,0,0,0,Matches
241,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,419,513,81.7,6747,1726,205,238,86.1,161,188,85.6,34,53,64.2,0,0.2,-0.2,9,23,1,0,31,Matches
242,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,235,361,65.1,7723,4686,26,27,96.3,112,114,98.2,97,220,44.1,0,0.0,0.0,1,3,0,0,0,Matches
243,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,70,86,81.4,1540,927,29,29,100.0,30,30,100.0,11,27,40.7,0,0.0,0.0,0,2,0,0,0,Matches
244,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,273,443,61.6,4057,1112,164,219,74.9,87,159,54.7,17,36,47.2,1,2.1,-1.1,19,19,15,3,40,Matches
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,679,892,76.1,16049,5840,170,206,82.5,350,407,86.0,156,265,58.9,0,0.7,-0.7,8,52,5,0,61,Matches
246,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,27,1990,12.7,389,530,73.4,6227,2063,216,254,85.0,129,175,73.7,37,82,45.1,3,4.8,-1.8,29,25,31,12,48,Matches
247,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,33.9,1834,2184,84.0,29089,8838,967,1076,89.9,733,843,87.0,97,162,59.9,3,3.6,-0.6,32,78,55,11,141,Matches
248,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,772,975,79.2,15196,3666,285,339,84.1,351,401,87.5,119,196,60.7,0,0.3,-0.3,7,59,5,1,66,Matches
249,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,441,610,72.3,6518,1009,248,326,76.1,153,199,76.9,24,35,68.6,5,4.7,+0.3,28,27,12,1,26,Matches
250,Chaouki Ben Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,3.8,150,196,76.5,2798,823,73,80,91.3,53,68,77.9,23,38,60.5,0,0.9,-0.9,8,15,9,2,24,Matches
