,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1141,Jules Iloki,fr FRA,MFFW,Nantes,fr Ligue 1,25,1992,15.8,345,517,66.7,5983,2150,175,238,73.5,115,170,67.6,44,79,55.7,0,2.8,-2.8,30,18,33,23,44,Matches
1142,Stefan Ilsanker,at AUT,DFMF,RB Leipzig,de Bundesliga,28,1989,14.3,762,924,82.5,14964,5331,291,329,88.4,352,402,87.6,113,177,63.8,1,0.9,+0.1,12,75,14,4,93,Matches
1143,Giannelli Imbula,cd COD,MF,Toulouse,fr Ligue 1,24,1992,24.9,1034,1214,85.2,19099,4875,414,450,92.0,473,520,91.0,130,210,61.9,1,2.0,-1.0,25,117,12,2,109,Matches
1144,Ciro Immobile,it ITA,FW,Lazio,it Serie A,27,1990,29.8,615,783,78.5,9274,1332,361,425,84.9,192,242,79.3,45,66,68.2,6,6.7,-0.7,37,31,21,2,40,Matches
1145,Emmanuel Imorou,bj BEN,DF,Caen,fr Ligue 1,28,1988,0.4,15,19,78.9,239,110,8,8,100.0,7,9,77.8,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
1146,Tom Ince,eng ENG,MFFW,Huddersfield,eng Premier League,25,1992,27.2,571,753,75.8,9507,1857,290,338,85.8,210,244,86.1,55,122,45.1,0,0.9,-0.9,14,34,12,4,32,Matches
1147,Svante Ingelsson,se SWE,MF,Udinese,it Serie A,19,1998,3.6,65,95,68.4,1033,320,39,46,84.8,17,29,58.6,8,14,57.1,1,0.2,+0.8,4,6,1,1,3,Matches
1148,Roberto Inglese,it ITA,FW,Chievo,it Serie A,25,1991,30.9,362,563,64.3,5309,786,212,292,72.6,122,184,66.3,20,55,36.4,1,1.5,-0.5,21,14,14,3,28,Matches
1149,Danny Ings,eng ENG,FWMF,Liverpool,eng Premier League,25,1992,3.0,51,76,67.1,865,184,25,34,73.5,17,21,81.0,6,9,66.7,0,0.2,-0.2,3,3,2,0,5,Matches
1150,Andrés Iniesta,es ESP,MF,Barcelona,es La Liga,33,1984,20.3,1327,1537,86.3,23071,6432,677,735,92.1,477,539,88.5,150,213,70.4,2,1.8,+0.2,17,179,62,6,155,Matches
1151,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,26,1991,34.3,2110,2532,83.3,29758,6122,1391,1546,90.0,581,698,83.2,101,209,48.3,11,9.1,+1.9,99,104,90,13,164,Matches
1152,Emiliano Insúa,ar ARG,DF,Stuttgart,de Bundesliga,28,1989,23.4,769,1072,71.7,14173,5463,330,371,88.9,337,448,75.2,91,206,44.2,2,1.8,+0.2,23,47,23,13,69,Matches
1153,Pablo Insua,es ESP,DF,Schalke 04,de Bundesliga,23,1993,0.3,5,5,100.0,101,65,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
1154,Takashi Inui,jp JPN,MFFW,Eibar,es La Liga,29,1988,29.2,729,959,76.0,12164,2203,376,447,84.1,274,350,78.3,70,136,51.5,2,1.6,+0.4,25,49,22,9,53,Matches
1155,Artur Ioniță,md MDA,MF,Cagliari,it Serie A,26,1990,29.7,723,969,74.6,11467,2985,404,509,79.4,241,318,75.8,62,99,62.6,2,1.1,+0.9,14,64,10,5,71,Matches
1156,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,8.5,131,212,61.8,5207,4035,13,14,92.9,36,36,100.0,82,162,50.6,0,0.0,0.0,0,8,0,0,1,Matches
1157,Stephen Ireland,ie IRL,MF,Stoke City,eng Premier League,30,1986,1.5,55,67,82.1,852,194,33,34,97.1,17,21,81.0,4,8,50.0,0,0.0,0.0,1,5,0,0,6,Matches
1158,Carlos Isaac,es ESP,DF,Atlético Madrid,es La Liga,19,1998,0.7,35,43,81.4,602,186,17,21,81.0,16,19,84.2,2,3,66.7,0,0.0,0.0,0,1,1,0,2,Matches
1159,Alexander Isak,se SWE,FWMF,Dortmund,de Bundesliga,17,1999,1.3,21,28,75.0,244,32,14,16,87.5,5,7,71.4,0,0,,0,0.2,-0.2,1,0,1,0,2,Matches
1160,Isco,es ESP,MF,Real Madrid,es La Liga,25,1992,19.7,1361,1599,85.1,23117,6224,726,791,91.8,504,571,88.3,121,203,59.6,7,5.5,+1.5,48,151,63,12,150,Matches
1161,Tatsuya Ito,jp JPN,MFFW,Hamburger SV,de Bundesliga,20,1997,11.2,295,391,75.4,4467,1439,164,191,85.9,109,149,73.2,17,35,48.6,2,1.1,+0.9,12,16,22,5,38,Matches
1162,Gian-Luca Itter,de GER,DF,Wolfsburg,de Bundesliga,18,1999,4.6,136,187,72.7,2491,908,55,65,84.6,67,82,81.7,13,37,35.1,0,0.1,-0.1,2,7,2,1,10,Matches
1163,Manuel Iturra,cl CHI,MF,Málaga,es La Liga,33,1984,17.6,476,610,78.0,9558,2754,185,226,81.9,210,256,82.0,74,118,62.7,0,0.7,-0.7,9,53,7,2,42,Matches
1164,Ander Iturraspe,es ESP,MF,Athletic Club,es La Liga,28,1989,21.2,971,1221,79.5,20981,5681,336,397,84.6,416,491,84.7,212,316,67.1,0,2.2,-2.2,26,100,12,2,102,Matches
1165,Ivi,es ESP,MFFW,Levante,es La Liga,23,1994,19.6,447,683,65.4,8449,2550,222,293,75.8,147,217,67.7,70,154,45.5,3,2.6,+0.4,24,43,32,9,69,Matches
1166,Alex Iwobi,ng NGA,FWMF,Arsenal,eng Premier League,21,1996,20.3,1000,1161,86.1,16669,4571,505,549,92.0,382,445,85.8,86,114,75.4,5,3.6,+1.4,37,97,31,2,116,Matches
1167,José Izquierdo,co COL,MF,Brighton,eng Premier League,25,1992,22.0,428,545,78.5,5945,1737,249,302,82.5,144,180,80.0,13,31,41.9,3,2.2,+0.8,19,20,17,6,44,Matches
1168,Armando Izzo,it ITA,DF,Genoa,it Serie A,25,1992,15.4,635,847,75.0,13286,4553,221,247,89.5,299,368,81.3,111,219,50.7,0,0.1,-0.1,1,48,9,1,45,Matches
1169,Koo Ja-cheol,kr KOR,MFFW,Augsburg,de Bundesliga,28,1989,22.7,632,789,80.1,9708,2304,368,427,86.2,193,229,84.3,49,79,62.0,0,1.1,-1.1,12,58,7,0,57,Matches
1170,Paul Jaeckel,de GER,DF,Wolfsburg,de Bundesliga,19,1998,3.0,111,137,81.0,2521,724,22,27,81.5,72,78,92.3,17,31,54.8,0,0.2,-0.2,2,6,5,2,8,Matches
1171,Phil Jagielka,eng ENG,DF,Everton,eng Premier League,34,1982,22.9,750,972,77.2,18367,5400,182,204,89.2,359,411,87.3,200,339,59.0,0,0.0,0.0,2,57,5,0,47,Matches
1172,Kilian Jakob,de GER,FW,Augsburg,de Bundesliga,19,1998,0.6,4,12,33.3,68,37,2,5,40.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,1,0,2,Matches
1173,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2.0,36,56,64.3,1620,1191,0,0,,15,15,100.0,21,41,51.2,0,0.0,0.0,0,1,0,0,0,Matches
1174,Christophe Jallet,fr FRA,DF,Nice,fr Ligue 1,33,1983,13.0,684,821,83.3,11739,4374,322,357,90.2,294,351,83.8,55,83,66.3,0,1.1,-1.1,11,53,7,4,79,Matches
1175,Ablie Jallow,gm GAM,MFFW,Metz,fr Ligue 1,18,1998,1.4,34,44,77.3,617,136,16,19,84.2,13,17,76.5,5,8,62.5,0,0.1,-0.1,1,1,2,1,3,Matches
1176,Matty James,eng ENG,MF,Leicester City,eng Premier League,26,1991,11.0,372,451,82.5,6393,1377,168,195,86.2,153,177,86.4,36,56,64.3,0,0.1,-0.1,2,24,2,0,21,Matches
1177,Vasilije Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,18,1998,3.6,122,151,80.8,2043,646,61,65,93.8,49,64,76.6,9,16,56.3,0,0.2,-0.2,3,12,3,0,12,Matches
1178,Christoph Janker,de GER,DF,Augsburg,de Bundesliga,32,1985,0.9,7,12,58.3,153,70,1,1,100.0,6,7,85.7,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches
1179,Saidy Janko,gm GAM,DFMF,Saint-Étienne,fr Ligue 1,21,1995,15.8,583,767,76.0,9347,3446,290,337,86.1,245,312,78.5,35,71,49.3,0,0.7,-0.7,6,46,9,5,43,Matches
1180,Jakub Jankto,cz CZE,MFFW,Udinese,it Serie A,21,1996,29.5,819,1146,71.5,15297,4882,341,415,82.2,372,476,78.2,100,224,44.6,4,6.4,-2.4,58,74,47,10,119,Matches
1181,Daryl Janmaat,nl NED,DF,Watford,eng Premier League,28,1989,20.2,734,1022,71.8,13540,6017,349,386,90.4,284,397,71.5,94,217,43.3,0,1.2,-1.2,11,80,29,13,95,Matches
1182,Vincent Janssen,nl NED,DF,Tottenham,eng Premier League,23,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1183,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,27,1990,8.1,328,440,74.5,6264,2830,119,143,83.2,172,216,79.6,34,65,52.3,1,0.2,+0.8,3,36,3,1,43,Matches
1184,Adnan Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,22,1995,17.5,413,555,74.4,7274,2385,216,250,86.4,140,172,81.4,52,110,47.3,5,4.2,+0.8,36,38,27,10,52,Matches
1185,Nicolas Janvier,fr FRA,MFFW,Rennes,fr Ligue 1,18,1998,0.8,36,43,83.7,634,162,18,20,90.0,11,14,78.6,5,7,71.4,0,0.0,0.0,0,5,0,0,1,Matches
1186,Paweł Jaroszyński,pl POL,DFMF,Chievo,it Serie A,22,1994,9.0,244,409,59.7,4975,2180,89,120,74.2,107,160,66.9,46,115,40.0,0,0.2,-0.2,5,19,10,7,26,Matches
1187,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31.0,600,1093,54.9,24402,17799,41,43,95.3,188,190,98.9,368,857,42.9,0,0.0,0.0,0,18,0,0,0,Matches
1188,Jason,es ESP,MFFW,Levante,es La Liga,23,1994,19.8,374,566,66.1,5884,1691,218,275,79.3,118,181,65.2,30,74,40.5,2,2.6,-0.6,26,12,28,14,40,Matches
1189,Bakery Jatta,gm GAM,MFFW,Hamburger SV,de Bundesliga,19,1998,3.3,66,102,64.7,1012,371,38,58,65.5,22,26,84.6,4,10,40.0,1,0.1,+0.9,2,4,2,0,9,Matches
1190,Corentin Jean,fr FRA,MFFW,Toulouse,fr Ligue 1,22,1995,18.8,348,515,67.6,6201,2099,174,211,82.5,110,163,67.5,52,105,49.5,2,3.0,-1.0,28,23,20,13,40,Matches
1191,Benjamin Jeannot,fr FRA,FWMF,Dijon,fr Ligue 1,25,1992,15.6,228,323,70.6,3644,584,127,173,73.4,72,99,72.7,20,33,60.6,1,0.9,+0.1,11,11,7,1,19,Matches
1192,Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,21,1995,6.7,287,358,80.2,5837,2366,106,123,86.2,121,141,85.8,56,80,70.0,0,0.4,-0.4,3,35,5,0,33,Matches
1193,Jemerson,br BRA,DF,Monaco,fr Ligue 1,24,1992,31.7,1174,1371,85.6,26010,8396,294,316,93.0,624,685,91.1,245,344,71.2,0,0.1,-0.1,2,49,1,0,54,Matches
1194,Jesé,es ESP,FWMF,Stoke City,eng Premier League,24,1993,6.8,121,164,73.8,1957,454,70,84,83.3,34,47,72.3,13,23,56.5,1,1.0,0.0,8,6,7,0,13,Matches
1195,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,20,1997,18.5,470,577,81.5,6517,903,302,351,86.0,130,160,81.3,20,27,74.1,3,2.2,+0.8,18,20,16,1,33,Matches
1196,Juan Jesus,br BRA,DF,Roma,it Serie A,26,1991,18.4,1030,1188,86.7,21022,7845,323,345,93.6,539,577,93.4,159,245,64.9,0,0.1,-0.1,4,71,6,1,68,Matches
1197,Álvaro Jiménez,es ESP,MFFW,Getafe,es La Liga,22,1995,5.9,88,148,59.5,1468,539,43,60,71.7,37,59,62.7,6,17,35.3,1,0.5,+0.5,6,8,5,2,17,Matches
1198,Joaquín,es ESP,FWMF,Betis,es La Liga,36,1981,27.5,1092,1327,82.3,19741,4645,526,595,88.4,416,490,84.9,135,209,64.6,7,5.2,+1.8,50,73,35,8,95,Matches
1199,Aron Jóhannsson,us USA,MFFW,Werder Bremen,de Bundesliga,26,1990,3.1,79,104,76.0,1371,472,38,45,84.4,32,40,80.0,9,14,64.3,0,0.9,-0.9,7,6,4,1,15,Matches
1200,Fabian Johnson,us USA,MFFW,M'Gladbach,de Bundesliga,29,1987,5.2,78,114,68.4,1165,559,43,53,81.1,33,46,71.7,2,9,22.2,0,0.6,-0.6,3,7,4,2,10,Matches
1201,Glen Johnson,eng ENG,DF,Stoke City,eng Premier League,32,1984,6.1,157,241,65.1,3422,1738,63,77,81.8,55,81,67.9,38,76,50.0,0,0.4,-0.4,3,15,9,2,16,Matches
1202,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38.0,551,928,59.4,20406,13157,53,54,98.1,212,214,99.1,286,660,43.3,0,0.0,0.0,1,12,1,0,0,Matches
1203,Miloš Jojić,rs SRB,MFFW,Köln,de Bundesliga,25,1992,16.2,503,692,72.7,9162,2756,217,269,80.7,217,262,82.8,57,136,41.9,5,5.3,-0.3,31,37,22,4,65,Matches
1204,Jonathas,br BRA,FW,Hannover 96,de Bundesliga,28,1989,7.0,105,169,62.1,1614,386,64,96,66.7,30,48,62.5,10,16,62.5,3,1.8,+1.2,11,8,6,0,13,Matches
1205,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,25,1992,21.9,1009,1097,92.0,21653,5254,275,288,95.5,524,550,95.3,198,240,82.5,0,0.0,0.0,1,40,1,0,24,Matches
1206,Nigel de Jong,nl NED,MF,Mainz 05,de Bundesliga,32,1984,8.2,306,365,83.8,6043,1707,104,121,86.0,155,173,89.6,44,62,71.0,0,0.2,-0.2,4,26,2,0,26,Matches
1207,Jony,es ESP,MFFW,Málaga,es La Liga,26,1991,2.4,52,105,49.5,1025,428,23,27,85.2,18,36,50.0,10,29,34.5,0,0.4,-0.4,6,5,7,2,7,Matches
1208,Joan Jordán,es ESP,MF,Eibar,es La Liga,23,1994,27.0,1006,1289,78.0,20406,4412,401,469,85.5,408,497,82.1,182,291,62.5,4,2.7,+1.3,37,106,22,6,103,Matches
1209,Jorge,br BRA,DF,Monaco,fr Ligue 1,21,1996,21.3,715,997,71.7,13006,4944,297,342,86.8,324,440,73.6,81,160,50.6,2,2.0,0.0,17,60,23,13,82,Matches
1210,Jorginho,it ITA,MF,Napoli,it Serie A,25,1991,29.4,2864,3229,88.7,44080,13864,1638,1745,93.9,977,1116,87.5,194,293,66.2,3,3.6,-0.6,48,442,51,1,316,Matches
1211,Willian José,br BRA,FW,Real Sociedad,es La Liga,25,1991,30.8,641,864,74.2,10547,1785,342,408,83.8,192,272,70.6,72,121,59.5,4,5.0,-1.0,38,41,18,1,51,Matches
1212,Joselu,es ESP,FW,Newcastle Utd,eng Premier League,27,1990,19.0,370,580,63.8,4907,1125,245,345,71.0,85,164,51.8,17,31,54.8,1,1.2,-0.2,17,29,7,0,32,Matches
1213,Yann Jouffre,fr FRA,MFFW,Metz,fr Ligue 1,33,1984,3.1,153,189,81.0,2989,1030,72,80,90.0,51,59,86.4,26,44,59.1,0,0.7,-0.7,6,15,3,1,12,Matches
1214,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,16.0,632,721,87.7,13832,3656,173,188,92.0,322,354,91.0,129,168,76.8,0,0.3,-0.3,4,39,4,0,32,Matches
1215,Stevan Jovetić,me MNE,FW,Monaco,fr Ligue 1,27,1989,8.4,170,253,67.2,2756,722,86,122,70.5,66,85,77.6,13,27,48.1,1,0.7,+0.3,8,16,11,0,26,Matches
1216,Luka Jović,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1997,10.4,178,241,73.9,2789,408,106,131,80.9,49,67,73.1,17,30,56.7,1,1.5,-0.5,5,10,4,1,9,Matches
1217,Jozabed,es ESP,MF,Celta Vigo,es La Liga,26,1991,16.4,770,891,86.4,14535,3477,317,361,87.8,347,382,90.8,100,130,76.9,4,2.5,+1.5,19,71,14,1,82,Matches
1218,Juanfran,es ESP,DF,La Coruña,es La Liga,28,1988,34.0,1301,1824,71.3,24334,11256,590,709,83.2,534,717,74.5,160,347,46.1,1,3.5,-2.5,34,116,42,26,132,Matches
1219,Juanfran,es ESP,DF,Atlético Madrid,es La Liga,32,1985,14.5,524,653,80.2,8434,3588,269,306,87.9,228,274,83.2,24,58,41.4,1,0.8,+0.2,7,29,14,7,54,Matches
1220,Juankar,es ESP,DF,Málaga,es La Liga,27,1990,8.7,318,433,73.4,6097,2908,133,160,83.1,146,194,75.3,38,69,55.1,0,0.8,-0.8,11,27,11,6,31,Matches
1221,Juanmi,es ESP,FWMF,Real Sociedad,es La Liga,24,1993,16.5,286,354,80.8,4410,649,159,194,82.0,101,119,84.9,21,25,84.0,2,2.0,0.0,10,17,7,3,12,Matches
1222,Juanpe,es ESP,DF,Girona,es La Liga,26,1991,34.1,1033,1383,74.7,25860,10344,212,261,81.2,555,641,86.6,264,465,56.8,1,1.5,-0.5,8,87,5,1,88,Matches
1223,Juanpi,ve VEN,MFFW,Málaga,es La Liga,23,1994,6.8,173,221,78.3,2912,749,94,108,87.0,55,71,77.5,19,31,61.3,2,1.1,+0.9,7,11,5,2,16,Matches
1224,Mariano Julio Izco,ar ARG,MFFW,Crotone,it Serie A,34,1983,2.0,57,70,81.4,954,277,28,35,80.0,24,27,88.9,3,4,75.0,0,0.0,0.0,0,7,1,0,6,Matches
1225,Christopher Jullien,fr FRA,DF,Toulouse,fr Ligue 1,24,1993,28.9,962,1248,77.1,24400,9701,193,232,83.2,457,540,84.6,302,449,67.3,2,0.6,+1.4,6,102,3,1,84,Matches
1226,David Juncà,es ESP,DF,Eibar,es La Liga,23,1993,10.0,442,633,69.8,9667,3931,121,151,80.1,222,287,77.4,92,175,52.6,2,1.5,+0.5,14,59,24,9,66,Matches
1227,Gideon Jung,de GER,MFDF,Hamburger SV,de Bundesliga,22,1994,28.6,832,1058,78.6,17402,6150,243,285,85.3,450,525,85.7,130,216,60.2,1,0.9,+0.1,8,88,10,1,92,Matches
1228,Sebastian Jung,de GER,DF,Wolfsburg,de Bundesliga,27,1990,0.9,18,27,66.7,338,222,9,10,90.0,7,10,70.0,2,6,33.3,0,0.0,0.0,0,2,1,0,2,Matches
1229,Zlatko Junuzović,at AUT,MFFW,Werder Bremen,de Bundesliga,29,1987,18.1,548,791,69.3,9343,3475,269,331,81.3,202,270,74.8,59,137,43.1,4,3.8,+0.2,40,55,35,11,91,Matches
1230,Mathias Jørgensen,dk DEN,DF,Huddersfield,eng Premier League,27,1990,38.0,1220,1531,79.7,26045,9780,383,435,88.0,588,688,85.5,234,377,62.1,2,0.9,+1.1,7,93,3,0,113,Matches
1231,Christian Kabasele,be BEL,DF,Watford,eng Premier League,26,1991,25.9,668,862,77.5,15032,6339,178,202,88.1,332,383,86.7,147,251,58.6,0,0.2,-0.2,3,49,6,1,56,Matches
1232,Younès Kaboul,fr FRA,DF,Watford,eng Premier League,31,1986,1.7,52,72,72.2,1327,519,12,13,92.3,22,29,75.9,18,28,64.3,0,0.0,0.0,0,7,0,0,4,Matches
1233,Alexander Kačaniklić,se SWE,MFFW,Nantes,fr Ligue 1,25,1991,3.5,64,96,66.7,928,290,34,48,70.8,22,33,66.7,1,7,14.3,1,0.0,+1.0,1,2,3,1,8,Matches
1234,Gojko Kačar,rs SRB,DF,Augsburg,de Bundesliga,30,1987,2.5,59,80,73.8,1255,411,15,19,78.9,35,43,81.4,9,17,52.9,0,0.0,0.0,0,1,0,0,2,Matches
1235,Elias Kachunga,cd COD,FWMF,Huddersfield,eng Premier League,25,1992,14.8,233,355,65.6,3050,570,160,200,80.0,59,97,60.8,6,18,33.3,1,0.9,+0.1,11,11,6,2,18,Matches
1236,Pavel Kadeřábek,cz CZE,DFMF,Hoffenheim,de Bundesliga,25,1992,24.4,801,1093,73.3,14234,5407,348,430,80.9,367,462,79.4,78,160,48.8,3,3.7,-0.7,22,41,21,10,82,Matches
1237,Shinji Kagawa,jp JPN,MF,Dortmund,de Bundesliga,28,1989,13.0,645,762,84.6,11258,2582,314,346,90.8,242,275,88.0,76,119,63.9,2,2.1,-0.1,22,70,22,0,58,Matches
1238,Sullay Kaikai,sl SLE,MF,Crystal Palace,eng Premier League,21,1995,0.2,4,8,50.0,76,16,2,3,66.7,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1239,Florian Kainz,at AUT,MFFW,Werder Bremen,de Bundesliga,24,1992,19.0,548,785,69.8,10626,4033,236,287,82.2,225,295,76.3,76,163,46.6,3,3.4,-0.4,38,57,31,10,97,Matches
1240,Dominik Kaiser,de GER,MFDF,RB Leipzig,de Bundesliga,28,1988,3.1,116,167,69.5,1963,787,59,72,81.9,44,60,73.3,11,31,35.5,0,0.3,-0.3,3,7,5,1,11,Matches
1241,Gaël Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,26,1991,34.3,889,1378,64.5,15336,5659,437,582,75.1,301,435,69.2,112,266,42.1,6,7.1,-1.1,66,105,37,9,148,Matches
1242,Nikola Kalinić,hr CRO,FW,Milan,it Serie A,29,1988,20.1,295,366,80.6,4135,515,176,215,81.9,97,112,86.6,11,16,68.8,3,2.1,+0.9,34,17,8,0,18,Matches
1243,Salomon Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,31,1985,24.5,446,635,70.2,6705,2107,251,321,78.2,152,221,68.8,29,50,58.0,3,2.5,+0.5,17,36,12,2,62,Matches
1244,Daichi Kamada,jp JPN,FWMF,Eint Frankfurt,de Bundesliga,20,1996,1.6,27,33,81.8,445,93,14,14,100.0,10,11,90.9,2,5,40.0,0,0.1,-0.1,1,1,1,0,2,Matches
1245,François Kamano,gn GUI,FWMF,Bordeaux,fr Ligue 1,21,1996,22.4,542,684,79.2,8348,1727,297,344,86.3,203,239,84.9,29,59,49.2,4,4.9,-0.9,32,15,22,7,47,Matches
1246,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,18.8,297,463,64.1,10438,6670,22,23,95.7,128,130,98.5,146,309,47.2,0,0.0,0.0,0,3,0,0,0,Matches
1247,Boubacar Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,17,1999,5.1,249,288,86.5,4317,1430,113,123,91.9,107,122,87.7,23,34,67.6,1,0.1,+0.9,1,7,3,0,10,Matches
1248,Marcin Kamiński,pl POL,DF,Stuttgart,de Bundesliga,25,1992,12.6,704,837,84.1,14487,5200,228,243,93.8,359,406,88.4,113,173,65.3,0,0.6,-0.6,4,59,7,3,60,Matches
1249,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,26,1990,22.4,1036,1262,82.1,18387,5970,477,538,88.7,428,503,85.1,115,189,60.8,3,3.9,-0.9,46,124,29,3,127,Matches
1250,Kevin Kampl,si SVN,MF,Leverkusen,de Bundesliga,26,1990,0.3,28,33,84.8,589,189,11,15,73.3,11,12,91.7,6,6,100.0,0,0.0,0.0,1,5,0,0,7,Matches
1251,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,24,1993,34.2,489,691,70.8,9359,2243,227,295,76.9,163,220,74.1,77,126,61.1,2,2.8,-0.8,30,52,22,2,68,Matches
1252,Wilfried Kanga,fr FRA,FWMF,Angers,fr Ligue 1,19,1998,1.9,26,32,81.3,369,43,16,17,94.1,9,13,69.2,1,1,100.0,0,0.0,0.0,1,1,0,0,0,Matches
1253,Mamadou Kanouté,sn SEN,FWMF,Benevento,it Serie A,23,1993,0.4,13,15,86.7,260,25,3,4,75.0,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,1,0,1,Matches
1254,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,26,1991,33.3,1926,2161,89.1,35039,8377,804,877,91.7,882,944,93.4,198,260,76.2,1,2.4,-1.4,37,192,40,3,210,Matches
1255,Bartosz Kapustka,pl POL,FWMF,Freiburg,de Bundesliga,20,1996,2.6,46,77,59.7,713,188,28,34,82.4,14,23,60.9,3,10,30.0,0,0.0,0.0,0,5,0,0,4,Matches
1256,Kenan Karaman,tr TUR,MFFW,Hannover 96,de Bundesliga,23,1994,9.5,196,274,71.5,3208,773,94,122,77.0,78,104,75.0,16,27,59.3,0,1.2,-1.2,8,12,5,1,23,Matches
1257,Yann Karamoh,fr FRA,FWMF,Inter,it Serie A,19,1998,5.4,194,251,77.3,3091,657,106,127,83.5,73,88,83.0,12,27,44.4,0,0.2,-0.2,2,11,8,2,20,Matches
1258,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19.0,445,620,71.8,12678,8362,63,63,100.0,234,235,99.6,147,320,45.9,0,0.0,0.0,0,3,0,0,0,Matches
1259,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,14.4,188,398,47.2,9028,7237,8,8,100.0,43,43,100.0,137,346,39.6,0,0.0,0.0,0,10,0,0,0,Matches
1260,Rick Karsdorp,nl NED,DF,Roma,it Serie A,22,1995,0.9,49,62,79.0,995,256,15,20,75.0,27,29,93.1,7,13,53.8,0,0.0,0.0,0,5,1,0,3,Matches
1261,Aleksandar Katai,rs SRB,FW,Alavés,es La Liga,26,1991,0.6,10,12,83.3,146,51,6,7,85.7,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,2,Matches
1262,Florian Kath,de GER,FWMF,Freiburg,de Bundesliga,22,1994,7.5,143,208,68.8,2403,610,74,95,77.9,57,75,76.0,8,25,32.0,0,0.2,-0.2,5,17,5,1,19,Matches
1263,Ole Käuper,de GER,MF,Werder Bremen,de Bundesliga,20,1997,0.8,21,32,65.6,370,53,9,13,69.2,10,12,83.3,2,5,40.0,0,0.0,0.0,0,0,0,0,1,Matches
1264,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,28.5,369,680,54.3,14209,10625,34,34,100.0,149,152,98.0,185,491,37.7,0,0.0,0.0,1,11,1,0,1,Matches
1265,Beram Kayal,il ISR,MF,Brighton,eng Premier League,29,1988,8.3,191,237,80.6,3418,848,84,95,88.4,74,90,82.2,27,43,62.8,0,0.6,-0.6,10,18,4,2,19,Matches
1266,Joris Kayembe,be BEL,FWMF,Nantes,fr Ligue 1,22,1994,1.0,17,24,70.8,235,75,10,13,76.9,3,7,42.9,2,2,100.0,0,0.1,-0.1,1,0,1,0,1,Matches
1267,Olarenwaju Kayode,ng NGA,FW,Girona,es La Liga,24,1993,4.3,35,59,59.3,606,54,22,36,61.1,8,12,66.7,5,8,62.5,0,0.9,-0.9,4,0,1,0,1,Matches
1268,Moise Kean,it ITA,FW,Hellas Verona,it Serie A,17,2000,12.6,157,209,75.1,2279,362,94,109,86.2,48,62,77.4,9,17,52.9,0,0.8,-0.8,7,4,3,1,10,Matches
1269,Michael Keane,eng ENG,DF,Everton,eng Premier League,24,1993,28.4,905,1132,79.9,21053,7474,226,263,85.9,477,541,88.2,196,303,64.7,1,0.3,+0.7,3,70,4,0,70,Matches
1270,Thilo Kehrer,de GER,DF,Schalke 04,de Bundesliga,20,1996,26.3,1026,1233,83.2,21190,7866,297,343,86.6,585,661,88.5,139,218,63.8,0,0.4,-0.4,10,70,5,2,59,Matches
