,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
720,Josip Drmić,ch SUI,FW,M'Gladbach,de Bundesliga,24,1992,5.2,0,0,0,0,0,0,4,0.0,4,69,18,26.1,5,37,27,2,0,0,2,2,2,1,0,Matches
721,Rick van Drongelen,nl NED,DF,Hamburger SV,de Bundesliga,18,1998,16.0,29,20,22,7,0,18,37,48.6,19,190,72,37.9,128,48,14,32,10,0,22,13,42,75,1,Matches
722,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,28,1989,11.0,9,6,6,3,0,3,9,33.3,6,46,19,41.3,32,12,2,10,7,0,3,7,16,37,0,Matches
723,Rubén Duarte,es ESP,DF,Alavés,es La Liga,21,1995,23.8,57,32,33,21,3,19,52,36.5,33,337,88,26.1,201,101,35,78,11,1,67,39,96,60,0,Matches
724,Leo Dubois,fr FRA,DF,Nantes,fr Ligue 1,22,1994,33.6,50,24,32,16,2,19,48,39.6,29,328,94,28.7,170,110,48,74,12,1,62,47,97,55,0,Matches
725,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,1,Matches
726,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,22,1994,8.3,14,11,6,7,1,3,17,17.6,14,209,54,25.8,31,131,47,14,0,0,14,6,20,5,0,Matches
727,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,25,1992,36.6,40,24,29,11,0,12,31,38.7,19,185,59,31.9,132,48,5,81,60,3,21,55,95,368,6,Matches
728,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,25,1991,17.8,34,18,29,5,0,16,27,59.3,11,201,61,30.3,124,63,14,43,11,0,32,31,65,126,1,Matches
729,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,24,1993,21.6,39,31,15,18,6,15,44,34.1,29,503,152,30.2,130,265,108,43,2,0,41,18,57,25,1,Matches
730,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,25,1991,38.0,75,46,55,19,1,27,57,47.4,30,353,133,37.7,260,83,10,94,62,2,32,95,170,267,2,Matches
731,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
732,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,28,1989,11.4,12,6,4,4,4,3,10,30.0,7,142,34,23.9,37,65,40,9,0,0,9,13,25,4,0,Matches
733,Riza Durmisi,dk DEN,DFMF,Betis,es La Liga,23,1994,23.1,34,20,22,9,3,8,22,36.4,14,256,81,31.6,123,100,33,47,7,0,40,20,54,38,2,Matches
734,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,0.2,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,2,3,1,0,0,1,0,0,0,0,Matches
735,Noë Dussenne,be BEL,DF,Crotone,it Serie A,25,1992,0.9,0,0,0,0,0,0,0,,0,11,0,0.0,9,2,0,2,0,0,2,1,1,2,0,Matches
736,Paulo Dybala,ar ARG,MFFW,Juventus,it Serie A,23,1993,26.1,20,16,5,10,5,6,35,17.1,29,408,102,25.0,44,193,171,26,0,0,26,13,33,4,0,Matches
737,Nathan Dyer,eng ENG,MFFW,Swansea City,eng Premier League,29,1987,14.5,17,11,5,9,3,6,27,22.2,21,388,82,21.1,99,179,110,18,0,0,18,15,32,2,0,Matches
738,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,33.5,19,10,1,8,10,5,18,27.8,13,419,111,26.5,14,141,264,16,5,0,11,2,21,35,0,Matches
739,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,31,1986,13.3,30,19,9,16,5,11,33,33.3,22,243,66,27.2,75,121,47,19,3,0,16,4,34,13,0,Matches
740,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,20,1997,16.9,18,8,10,8,0,7,18,38.9,11,132,46,34.8,84,43,5,31,11,0,20,34,52,63,1,Matches
741,Éder,it ITA,FWMF,Inter,it Serie A,30,1986,8.9,9,4,1,3,5,1,7,14.3,6,182,36,19.8,14,66,102,6,2,0,4,5,14,3,0,Matches
742,Simone Edera,it ITA,FW,Torino,it Serie A,20,1997,3.6,6,5,4,2,0,3,11,27.3,8,105,23,21.9,27,47,31,2,0,0,2,3,9,2,0,Matches
743,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,35.5,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,0,0,0,0,0,0,1,5,Matches
744,Tom Edwards,eng ENG,DF,Stoke City,eng Premier League,18,1999,5.3,14,10,10,4,0,9,11,81.8,2,77,23,29.9,46,28,3,6,3,0,3,7,21,19,0,Matches
745,Mandela Egbo,eng ENG,MF,M'Gladbach,de Bundesliga,19,1997,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
746,Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,19,1998,1.1,0,0,0,0,0,0,2,0.0,2,43,6,14.0,8,18,17,3,1,0,2,1,1,1,0,Matches
747,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,20,1996,29.9,56,38,28,23,5,17,51,33.3,34,695,185,26.6,180,364,151,43,5,0,38,21,77,55,0,Matches
748,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,28,1989,12.3,31,25,16,14,1,9,25,36.0,16,225,86,38.2,89,116,20,17,4,0,13,13,44,26,0,Matches
749,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,23,1994,8.6,17,14,14,1,2,4,14,28.6,10,96,39,40.6,67,26,3,16,7,0,9,9,26,41,0,Matches
750,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,1,1,2,0,Matches
751,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,9.6,13,6,5,6,2,5,13,38.5,8,150,42,28.0,53,72,25,13,2,1,11,11,24,13,0,Matches
752,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,17.7,25,11,13,9,3,16,26,61.5,10,181,57,31.5,110,62,9,34,7,0,27,41,66,66,1,Matches
753,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,32.4,59,30,40,13,6,15,27,55.6,12,339,110,32.4,203,103,33,61,13,0,48,30,89,120,1,Matches
754,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,29.9,26,15,22,4,0,9,26,34.6,17,167,48,28.7,129,30,8,61,38,0,23,30,56,150,0,Matches
755,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,10.2,19,14,3,7,9,1,8,12.5,7,264,75,28.4,28,111,125,17,1,0,16,3,22,6,0,Matches
756,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,17.7,17,11,7,6,4,2,15,13.3,13,461,105,22.8,41,226,194,19,3,0,16,5,22,27,0,Matches
757,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,14.8,11,12,2,4,5,2,13,15.4,11,346,113,32.7,13,126,207,20,1,0,19,6,17,7,0,Matches
758,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,28.1,29,16,7,17,5,8,30,26.7,22,825,213,25.8,116,465,244,34,5,0,29,25,54,6,0,Matches
759,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,35.8,57,37,15,31,11,20,69,29.0,49,572,169,29.5,123,258,191,41,0,0,41,36,93,13,0,Matches
760,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,17.4,43,33,18,21,4,15,38,39.5,23,342,105,30.7,65,205,72,31,2,0,29,28,71,9,0,Matches
761,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,25.9,68,42,40,23,5,26,74,35.1,48,386,121,31.3,186,137,63,53,6,1,47,49,117,42,1,Matches
762,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,31.9,32,24,26,4,2,10,23,43.5,13,179,63,35.2,114,59,6,27,17,1,10,45,77,154,1,Matches
763,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
764,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,6.9,19,10,13,5,1,6,20,30.0,14,221,50,22.6,64,104,53,7,0,0,7,7,26,8,0,Matches
765,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,13.5,17,13,6,8,3,10,18,55.6,8,251,67,26.7,57,145,49,24,4,0,20,19,36,8,0,Matches
766,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,12.4,27,16,9,16,2,11,31,35.5,20,245,61,24.9,57,145,43,15,2,0,13,29,56,9,0,Matches
767,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,4.2,4,2,4,0,0,1,3,33.3,2,32,11,34.4,17,13,2,6,4,0,2,4,8,23,0,Matches
768,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,25.2,28,19,18,8,2,8,31,25.8,23,200,63,31.5,147,47,6,29,17,0,12,65,93,166,1,Matches
769,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,1.2,2,2,2,0,0,1,2,50.0,1,13,4,30.8,1,5,7,5,0,0,5,0,2,0,0,Matches
770,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,3.9,5,3,4,1,0,4,6,66.7,2,37,6,16.2,24,11,2,4,3,0,1,6,11,4,0,Matches
771,Patrice Evra,fr FRA,DF,West Ham,eng Premier League,36,1981,2.5,6,4,5,1,0,4,6,66.7,2,25,8,32.0,15,8,2,4,2,0,2,6,12,9,1,Matches
772,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,1.1,1,0,0,0,1,0,0,,0,27,4,14.8,10,12,5,2,0,0,2,0,1,1,0,Matches
773,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,5.2,1,0,0,0,1,1,10,10.0,9,99,24,24.2,5,34,60,5,0,0,5,2,3,4,0,Matches
774,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,7.8,19,13,9,5,5,9,21,42.9,12,156,46,29.5,34,75,47,10,1,0,9,7,26,4,0,Matches
775,Valentin Eysseric,fr FRA,MFFW,Nice,fr Ligue 1,25,1992,1.0,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,2,0,0,2,6,6,0,0,Matches
776,Imoh Ezekiel,ng NGA,FWMF,Las Palmas,es La Liga,23,1993,5.2,7,6,2,2,3,1,2,50.0,1,51,10,19.6,12,21,18,2,0,0,2,1,8,0,0,Matches
777,Marco Fabián,mx MEX,FWMF,Eint Frankfurt,de Bundesliga,28,1989,4.7,6,4,1,3,2,1,7,14.3,6,110,33,30.0,15,58,37,3,0,0,3,1,7,1,0,Matches
778,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,2,2,Matches
779,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34.0,96,61,33,50,13,29,97,29.9,68,545,159,29.2,171,309,65,50,10,0,40,39,135,37,0,Matches
780,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,25.6,72,49,29,33,10,19,67,28.4,48,509,170,33.4,191,235,83,32,5,0,27,27,99,17,1,Matches
781,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,33.5,1,1,1,0,0,1,2,50.0,1,5,0,0.0,5,0,0,2,0,0,2,0,1,0,1,Matches
782,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,26.5,53,40,18,29,6,14,57,24.6,43,591,139,23.5,150,358,83,35,4,0,31,30,83,29,0,Matches
783,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,23.7,7,7,1,5,1,3,15,20.0,12,346,90,26.0,9,150,187,18,5,0,13,13,20,11,1,Matches
784,Diego Falcinelli,it ITA,FWMF,Fiorentina,it Serie A,26,1991,4.9,3,2,1,2,0,1,3,33.3,2,94,31,33.0,6,40,48,3,0,0,3,1,4,3,0,Matches
785,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,14.6,7,5,2,3,2,2,15,13.3,13,281,70,24.9,29,115,137,17,3,0,14,1,8,4,1,Matches
786,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,24.6,39,28,27,11,1,14,31,45.2,17,217,73,33.6,129,81,7,48,14,0,34,42,81,137,1,Matches
787,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1.0,1,0,0,1,0,0,1,0.0,1,7,0,0.0,5,2,0,1,0,0,1,3,4,5,0,Matches
788,Cesar Falletti,uy URU,FWMF,Bologna,it Serie A,24,1992,3.6,11,8,5,5,1,5,9,55.6,4,65,20,30.8,17,32,16,9,0,0,9,0,11,0,0,Matches
789,Iago Falque,es ESP,FW,Torino,it Serie A,27,1990,31.3,45,25,19,16,10,11,55,20.0,44,572,157,27.4,136,263,173,29,1,0,28,17,62,14,1,Matches
790,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,24,1993,27.3,103,69,55,34,14,25,71,35.2,46,515,197,38.3,226,201,88,56,3,0,53,15,118,77,1,Matches
791,Imad Faraj,ma MAR,DFMF,Lille,fr Ligue 1,18,1999,1.8,5,4,3,1,1,2,5,40.0,3,22,5,22.7,6,13,3,1,0,0,1,2,7,3,0,Matches
792,Davide Faraoni,it ITA,DF,Crotone,it Serie A,25,1991,19.5,57,35,35,19,3,26,58,44.8,32,283,84,29.7,150,100,33,51,9,1,42,27,84,62,0,Matches
793,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,28.9,58,33,34,20,4,21,50,42.0,29,512,151,29.5,175,236,101,68,6,0,62,28,86,117,1,Matches
794,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,17.9,24,10,2,11,11,4,26,15.4,22,322,79,24.5,62,128,132,16,0,0,16,9,33,3,0,Matches
795,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,32.5,48,28,32,14,2,23,34,67.6,11,220,82,37.3,117,89,14,44,27,2,17,23,71,148,2,Matches
796,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,14.0,18,11,11,6,1,5,11,45.5,6,102,32,31.4,68,33,1,25,14,2,11,41,59,83,1,Matches
797,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,27.5,38,34,10,19,9,7,30,23.3,23,735,179,24.4,109,359,267,23,1,0,22,11,49,0,0,Matches
798,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,5.1,7,4,6,1,0,0,4,0.0,4,52,15,28.8,32,18,2,8,3,0,5,7,14,24,0,Matches
799,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,13.0,39,23,22,17,0,9,23,39.1,14,146,43,29.5,83,57,6,39,15,0,24,18,57,33,0,Matches
800,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,17.3,33,18,20,11,2,8,16,50.0,8,167,58,34.7,101,58,8,30,10,0,20,18,51,79,2,Matches
801,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,7.6,15,9,7,7,1,5,11,45.5,6,143,40,28.0,46,78,19,12,6,1,6,15,30,24,1,Matches
802,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,19.0,32,18,21,7,4,12,29,41.4,17,194,70,36.1,84,76,34,26,3,0,23,49,81,47,1,Matches
803,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,15.5,44,31,19,19,6,13,34,38.2,21,325,98,30.2,116,156,53,20,4,0,16,17,61,24,1,Matches
804,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,34.0,38,25,11,18,9,12,65,18.5,53,599,148,24.7,131,364,104,68,6,0,62,54,92,47,0,Matches
805,Edimilson Fernandes,ch SUI,MFFW,West Ham,eng Premier League,21,1996,9.4,18,10,14,4,0,9,23,39.1,14,164,52,31.7,66,73,25,16,2,0,14,18,36,8,0,Matches
806,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,11.5,53,31,25,25,3,13,47,27.7,34,394,122,31.0,143,211,40,23,4,0,19,9,62,20,0,Matches
807,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,2.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
808,Augusto Fernández,ar ARG,MFFW,Atlético Madrid,es La Liga,31,1986,1.2,3,1,1,2,0,1,3,33.3,2,17,6,35.3,4,10,3,4,3,0,1,1,4,1,0,Matches
809,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,1.4,1,0,0,1,0,0,1,0.0,1,14,4,28.6,0,5,9,0,0,0,0,0,1,0,0,Matches
810,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,1.5,1,1,1,0,0,0,2,0.0,2,42,12,28.6,1,19,22,0,0,0,0,0,1,0,0,Matches
811,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,0.8,2,2,2,0,0,1,1,100.0,0,17,5,29.4,7,10,0,0,0,0,0,1,3,1,0,Matches
812,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,29.7,39,21,30,7,2,22,40,55.0,18,229,77,33.6,165,53,11,49,31,0,18,38,77,234,0,Matches
813,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,Matches
814,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,32.0,68,49,25,33,10,23,66,34.8,43,460,184,40.0,139,242,79,48,6,1,42,59,127,102,2,Matches
815,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,23.7,77,53,45,22,10,41,80,51.3,39,353,113,32.0,215,108,30,58,18,2,40,30,107,101,1,Matches
816,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,7.1,17,13,9,6,2,4,14,28.6,10,203,51,25.1,78,95,30,10,1,0,9,9,26,9,0,Matches
817,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,6.0,16,10,9,5,2,4,14,28.6,10,121,35,28.9,41,64,16,10,2,0,8,11,27,8,0,Matches
818,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,2.5,1,1,1,0,0,0,2,0.0,2,18,5,27.8,4,10,4,3,0,0,3,2,3,3,0,Matches
819,Gian Filippo Felicioli,it ITA,FWDF,Hellas Verona,it Serie A,19,1997,3.1,11,5,5,3,3,5,9,55.6,4,62,14,22.6,27,23,12,2,0,0,2,5,16,0,0,Matches
820,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,20.2,14,9,4,6,4,3,12,25.0,9,381,102,26.8,27,160,194,16,2,1,14,12,26,8,0,Matches
821,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,30.7,62,48,12,35,15,10,46,21.7,36,730,230,31.5,48,373,309,41,2,1,39,25,87,10,0,Matches
822,Junior Firpo,es ESP,DFMF,Betis,es La Liga,20,1996,13.2,18,7,13,3,2,7,16,43.8,9,179,61,34.1,100,66,13,36,1,0,35,15,33,20,1,Matches
823,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,3.7,4,3,1,2,1,1,6,16.7,5,75,21,28.0,12,41,22,4,0,0,4,1,5,1,0,Matches
824,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,5.3,8,5,3,4,1,1,6,16.7,5,85,22,25.9,20,52,13,7,0,0,7,6,14,8,0,Matches
825,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,24.7,46,22,22,19,5,13,53,24.5,40,528,152,28.8,213,278,37,26,6,0,20,28,74,40,2,Matches
826,Sergio Floccari,it ITA,FWMF,SPAL,it Serie A,35,1981,9.8,17,15,10,6,1,5,12,41.7,7,150,46,30.7,24,73,53,7,2,0,5,2,19,7,0,Matches
827,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,26.5,37,25,20,13,4,16,52,30.8,36,320,84,26.3,149,107,64,46,7,1,39,24,61,43,3,Matches
828,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,17,2000,0.5,2,2,0,1,1,0,3,0.0,3,19,8,42.1,4,9,6,0,0,0,0,0,2,1,0,Matches
829,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,8.3,17,13,8,9,0,7,16,43.8,9,152,35,23.0,32,103,17,11,2,0,9,8,25,7,0,Matches
830,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,20.8,19,16,8,9,2,5,24,20.8,19,362,84,23.2,128,183,51,31,3,0,28,22,41,27,0,Matches
831,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,9.8,13,10,9,4,0,3,19,15.8,16,82,29,35.4,52,28,2,24,8,0,16,18,31,28,0,Matches
832,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,7.6,8,3,4,4,0,3,7,42.9,4,71,23,32.4,45,24,2,18,7,0,11,13,21,54,1,Matches
833,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,21,1996,29.1,50,37,18,27,5,15,55,27.3,40,569,139,24.4,116,300,153,34,2,0,32,19,69,22,0,Matches
834,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,25,1991,15.2,18,8,3,9,6,5,20,25.0,15,247,78,31.6,35,133,79,14,2,0,12,9,27,9,0,Matches
835,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,Matches
836,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,1.7,2,1,1,1,0,1,3,33.3,2,22,10,45.5,10,11,1,0,0,0,0,1,3,5,0,Matches
837,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,12.2,27,18,13,12,2,14,43,32.6,29,215,42,19.5,84,115,16,25,5,0,20,14,41,27,0,Matches
838,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,14.5,25,13,8,14,3,7,39,17.9,32,375,125,33.3,130,180,65,32,4,0,28,13,38,19,0,Matches
839,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37.0,0,0,0,0,0,0,9,0.0,9,12,2,16.7,12,0,0,0,0,0,0,0,0,0,0,Matches
840,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,17.7,46,29,37,8,1,20,39,51.3,19,177,59,33.3,119,47,11,35,11,0,24,30,76,84,1,Matches
841,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,13.8,21,16,17,3,1,7,15,46.7,8,177,55,31.1,94,65,18,27,4,1,23,19,40,16,1,Matches
842,Lilian Fournier,fr FRA,MF,Metz,fr Ligue 1,19,1998,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,1,1,0,0,Matches
843,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,7.7,14,9,7,5,2,8,17,47.1,9,110,44,40.0,44,41,25,11,2,0,9,10,24,23,0,Matches
844,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,30.1,56,35,27,19,10,17,44,38.6,27,341,90,26.4,160,126,55,53,21,0,32,56,112,243,0,Matches
845,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,11.6,20,15,8,11,1,3,19,15.8,16,178,48,27.0,64,80,34,15,4,0,11,9,29,13,0,Matches
846,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,22.3,14,4,8,2,4,7,21,33.3,14,226,60,26.5,73,102,51,32,4,0,28,14,28,40,0,Matches
847,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,8.9,16,10,3,10,3,2,13,15.4,11,167,44,26.3,46,102,19,6,0,0,6,11,27,19,0,Matches
848,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,33.4,96,54,37,41,18,21,96,21.9,75,754,233,30.9,228,388,138,65,12,0,53,30,126,24,0,Matches
849,Marco Friedl,at AUT,DF,Bayern Munich,de Bundesliga,19,1998,0.5,0,0,0,0,0,0,0,,0,4,0,0.0,3,0,1,1,0,0,1,0,0,3,0,Matches
850,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,19,1998,6.7,8,5,4,3,1,3,9,33.3,6,72,27,37.5,39,29,4,15,1,0,14,8,16,23,0,Matches
851,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,21.3,56,35,35,15,6,17,44,38.6,27,323,97,30.0,178,110,35,44,3,0,41,58,114,89,0,Matches
852,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,14.9,25,20,13,9,3,10,26,38.5,16,288,80,27.8,110,150,28,19,3,0,16,17,42,14,0,Matches
853,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,6.0,11,9,7,4,0,5,11,45.5,6,97,22,22.7,38,51,8,8,4,0,4,7,18,8,0,Matches
854,Chris Führich,de GER,MFFW,Köln,de Bundesliga,19,1998,1.1,4,2,1,2,1,4,9,44.4,5,30,7,23.3,11,13,6,2,0,0,2,0,4,0,0,Matches
855,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,20,1996,17.0,18,14,7,7,4,5,23,21.7,18,300,72,24.0,70,162,68,27,3,0,24,17,35,6,0,Matches
856,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,26.5,14,8,2,8,4,5,22,22.7,17,486,131,27.0,33,257,196,25,6,0,19,8,22,25,0,Matches
857,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,0.2,0,0,0,0,0,0,1,0.0,1,7,1,14.3,1,5,1,1,0,0,1,0,0,0,0,Matches
858,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,1.3,0,0,0,0,0,0,0,,0,13,2,15.4,7,3,3,1,1,0,0,5,5,11,0,Matches
859,Manolo Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,25,1991,12.0,11,7,1,6,4,1,11,9.1,10,187,61,32.6,14,72,101,4,0,0,4,6,17,5,0,Matches
860,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,26.1,61,43,29,27,5,26,96,27.1,70,588,169,28.7,201,308,79,36,9,0,27,46,107,28,1,Matches
861,Gabriel,br BRA,MF,Leganés,es La Liga,23,1993,26.4,78,63,29,43,6,20,69,29.0,49,811,215,26.5,167,493,151,45,5,0,40,47,125,28,0,Matches
862,Mijat Gaćinović,rs SRB,MF,Eint Frankfurt,de Bundesliga,22,1995,20.2,38,24,10,19,9,10,55,18.2,45,531,132,24.9,120,282,129,37,2,0,35,30,68,20,0,Matches
863,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,23,1994,22.1,66,45,30,29,7,18,59,30.5,41,476,135,28.4,151,232,93,18,1,0,17,34,100,37,0,Matches
