,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
115,Emmanuel Dennis,ng NGA,FWMF,Watford,24-124,1997,27,26,2174,24.2,9,5,9,0,0,9,1,0.37,0.21,0.58,0.37,0.58,6.8,6.8,2.5,9.3,0.28,0.10,0.39,0.28,0.39,Matches
116,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-194,1998,17,12,1155,12.8,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,1.6,2.6,0.07,0.13,0.20,0.07,0.20,Matches
117,Ibrahima Diallo,fr FRA,MF,Southampton,23-011,1999,19,7,755,8.4,0,2,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.4,0.4,0.9,1.4,0.05,0.11,0.16,0.05,0.16,Matches
118,Raphinha,br BRA,MFFW,Leeds United,25-095,1996,27,26,2247,25.0,9,3,6,3,3,6,0,0.36,0.12,0.48,0.24,0.36,9.2,6.9,6.2,13.0,0.37,0.25,0.61,0.28,0.52,Matches
119,Rúben Dias,pt POR,DF,Manchester City,24-309,1997,25,24,2132,23.7,2,3,2,0,0,5,0,0.08,0.13,0.21,0.08,0.21,1.5,1.5,2.1,3.6,0.06,0.09,0.15,0.06,0.15,Matches
120,Luis Díaz,co COL,FW,Liverpool,25-065,1997,6,6,496,5.5,2,0,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,2.3,2.3,1.0,3.4,0.42,0.19,0.61,0.42,0.61,Matches
121,Eric Dier,eng ENG,DF,Tottenham,28-063,1994,25,25,2171,24.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.3,2.2,0.04,0.05,0.09,0.04,0.09,Matches
122,Lucas Digne,fr FRA,DF,Aston Villa,28-242,1993,8,8,639,7.1,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.5,0.5,0.6,1.1,0.07,0.08,0.15,0.07,0.15,Matches
123,Lucas Digne,fr FRA,DF,Everton,28-242,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,Matches
124,Virgil van Dijk,nl NED,DF,Liverpool,30-254,1991,27,27,2430,27.0,3,1,3,0,0,2,0,0.11,0.04,0.15,0.11,0.15,2.0,2.0,0.3,2.3,0.08,0.01,0.09,0.08,0.09,Matches
125,Issa Diop,fr FRA,DF,West Ham,25-069,1997,11,9,811,9.0,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
126,Moussa Djenepo,ml MLI,MF,Southampton,23-277,1998,11,5,438,4.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7,0.30,0.05,0.35,0.30,0.35,Matches
127,Lewis Dobbin,eng ENG,FWMF,Everton,19-075,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
128,Matt Doherty,ie IRL,DF,Tottenham,30-062,1992,12,6,675,7.5,1,4,1,0,0,0,0,0.13,0.53,0.67,0.13,0.67,1.9,1.9,1.7,3.6,0.25,0.23,0.48,0.25,0.48,Matches
129,Gabriel Dos Santos,br BRA,DF,Arsenal,24-090,1997,24,24,2106,23.4,3,0,3,0,0,6,1,0.13,0.00,0.13,0.13,0.13,1.9,1.9,0.7,2.7,0.08,0.03,0.11,0.08,0.11,Matches
130,Abdoulaye Doucouré,fr FRA,MF,Everton,29-077,1993,20,20,1774,19.7,2,4,2,0,0,4,0,0.10,0.20,0.30,0.10,0.30,1.9,1.9,1.4,3.3,0.10,0.07,0.17,0.10,0.17,Matches
131,Kieran Dowell,eng ENG,FWMF,Norwich City,24-160,1997,11,4,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.7,0.04,0.15,0.19,0.04,0.19,Matches
132,Cody Drameh,eng ENG,DF,Leeds United,20-101,2001,3,1,128,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-063,1989,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
134,Shane Duffy,ie IRL,DF,Brighton,30-077,1992,18,15,1436,16.0,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.1,1.5,0.08,0.01,0.09,0.08,0.09,Matches
135,Paul Dummett,wls WAL,DF,Newcastle Utd,30-174,1991,3,2,198,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
136,Lewis Dunk,eng ENG,DF,Brighton,30-118,1991,20,20,1763,19.6,1,0,1,0,0,1,1,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
137,Ederson,br BRA,GK,Manchester City,28-214,1993,28,28,2520,28.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
138,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-062,1998,23,15,1271,14.1,6,3,5,1,1,2,0,0.42,0.21,0.64,0.35,0.57,6.5,5.7,2.1,7.8,0.46,0.15,0.61,0.40,0.55,Matches
139,Anthony Elanga,se SWE,FW,Manchester Utd,19-326,2002,12,6,550,6.1,2,0,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,2.2,2.2,0.6,2.8,0.37,0.09,0.46,0.37,0.46,Matches
140,Harvey Elliott,eng ENG,MF,Liverpool,18-349,2003,5,3,282,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.22,0.10,0.32,0.22,0.32,Matches
141,Mohamed Elneny,eg EGY,MF,Arsenal,29-251,1992,7,1,176,2.0,0,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51,0.0,0.0,0.2,0.2,0.01,0.08,0.09,0.01,0.09,Matches
142,Mohamed Elyounoussi,no NOR,MF,Southampton,27-227,1994,22,17,1509,16.8,4,1,4,0,0,3,0,0.24,0.06,0.30,0.24,0.30,4.7,4.7,1.9,6.6,0.28,0.11,0.39,0.28,0.39,Matches
143,Emerson,br BRA,DF,Tottenham,23-064,1999,21,17,1507,16.7,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.7,2.2,0.03,0.10,0.13,0.03,0.13,Matches
144,Christian Eriksen,dk DEN,MF,Brentford,30-033,1992,3,2,219,2.4,0,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.2,0.2,0.6,0.7,0.07,0.23,0.29,0.07,0.29,Matches
145,Oghenekaro Etebo,ng NGA,MF,Watford,26-130,1995,7,4,389,4.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
146,Jonny Evans,nir NIR,DF,Leicester City,34-075,1988,10,9,752,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,0.5,1.2,0.09,0.05,0.14,0.09,0.14,Matches
147,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23-263,1998,6,1,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.05,0.08,0.03,0.08,Matches
148,Łukasz Fabiański,pl POL,GK,West Ham,36-335,1985,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
149,Fabinho,br BRA,MF,Liverpool,28-147,1993,22,21,1882,20.9,4,1,3,1,1,5,0,0.19,0.05,0.24,0.14,0.19,2.5,1.8,0.7,2.5,0.12,0.04,0.16,0.08,0.12,Matches
150,Kiko Femenía,es ESP,DF,Watford,31-045,1991,21,20,1606,17.8,0,5,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,2.0,2.0,0.00,0.11,0.11,0.00,0.11,Matches
151,Evan Ferguson,ie IRL,MF,Brighton,17-151,2004,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
152,Nathan Ferguson,eng ENG,DF,Crystal Palace,21-164,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
153,Bruno Fernandes,pt POR,MF,Manchester Utd,27-192,1994,27,26,2308,25.6,9,6,9,0,1,7,0,0.35,0.23,0.58,0.35,0.58,7.2,6.5,7.9,14.3,0.28,0.31,0.59,0.25,0.56,Matches
154,Álvaro Fernández,es ESP,GK,Brentford,23-340,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
155,Federico Fernández,ar ARG,DF,Newcastle Utd,33-026,1989,7,5,523,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.07,0.06,0.13,0.07,0.13,Matches
156,Fernandinho,br BRA,MF,Manchester City,36-319,1985,13,6,610,6.8,1,1,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,0.8,2.1,0.20,0.11,0.32,0.20,0.32,Matches
157,Roberto Firmino,br BRA,FW,Liverpool,30-168,1991,16,8,790,8.8,5,3,5,0,0,3,0,0.57,0.34,0.91,0.57,0.91,4.6,4.6,2.0,6.6,0.53,0.22,0.75,0.53,0.75,Matches
158,Junior Firpo,es ESP,DF,Leeds United,25-209,1996,19,15,1334,14.8,0,1,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.7,2.4,0.05,0.11,0.16,0.05,0.16,Matches
159,Ashley Fletcher,eng ENG,FW,Watford,26-168,1995,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,1.16,0.00,1.16,1.16,1.16,Matches
160,Phil Foden,eng ENG,FW,Manchester City,21-295,2000,21,18,1608,17.9,7,3,7,0,0,1,0,0.39,0.17,0.56,0.39,0.56,7.8,7.8,4.6,12.4,0.43,0.26,0.69,0.43,0.69,Matches
161,Pablo Fornals,es ESP,FWMF,West Ham,26-025,1996,27,25,2129,23.7,6,2,6,0,0,4,0,0.25,0.08,0.34,0.25,0.34,4.1,4.1,3.5,7.6,0.17,0.15,0.32,0.17,0.32,Matches
162,Adam Forshaw,eng ENG,MF,Leeds United,30-162,1991,21,16,1440,16.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.1,1.4,0.02,0.07,0.09,0.02,0.09,Matches
163,Marcus Forss,fi FIN,FWMF,Brentford,22-274,1999,7,1,209,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
164,Fraser Forster,eng ENG,GK,Southampton,34-002,1988,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
165,Ben Foster,eng ENG,GK,Watford,38-350,1983,18,18,1620,18.0,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
166,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,28-023,1994,24,16,1349,15.0,2,3,2,0,0,3,0,0.13,0.20,0.33,0.13,0.33,2.4,2.4,2.0,4.3,0.16,0.13,0.29,0.16,0.29,Matches
167,Fred,br BRA,MF,Manchester Utd,29-014,1993,23,21,1764,19.6,3,4,3,0,0,5,0,0.15,0.20,0.36,0.15,0.36,1.0,1.0,1.5,2.4,0.05,0.08,0.12,0.05,0.12,Matches
168,Ryan Fredericks,eng ENG,DF,West Ham,29-160,1992,5,1,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
169,Leo Fuhr Hjelde,no NOR,DF,Leeds United,18-205,2003,2,0,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
170,Conor Gallagher,eng ENG,MF,Crystal Palace,22-041,2000,25,25,2200,24.4,8,3,8,0,0,8,0,0.33,0.12,0.45,0.33,0.45,5.0,5.0,3.2,8.2,0.20,0.13,0.33,0.20,0.33,Matches
171,Dwight Gayle,eng ENG,FW,Newcastle Utd,31-153,1990,5,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.14,0.05,0.18,0.14,0.18,Matches
172,Jean-Philippe Gbamin,ci CIV,MF,Everton,26-175,1995,3,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
173,David de Gea,es ESP,GK,Manchester Utd,31-132,1990,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
174,Joe Gelhardt,eng ENG,FWMF,Leeds United,19-319,2002,13,2,467,5.2,2,1,2,0,0,4,0,0.39,0.19,0.58,0.39,0.58,2.2,2.2,0.4,2.6,0.42,0.07,0.50,0.42,0.50,Matches
175,Anwar El Ghazi,nl NED,FW,Everton,26-320,1995,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
176,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26-320,1995,9,4,386,4.3,1,1,0,1,1,2,0,0.23,0.23,0.47,0.00,0.23,1.1,0.3,0.4,0.7,0.25,0.09,0.33,0.07,0.16,Matches
177,Saman Ghoddos,ir IRN,MFDF,Brentford,28-194,1993,15,3,434,4.8,1,1,1,0,0,2,0,0.21,0.21,0.41,0.21,0.41,0.6,0.6,1.2,1.9,0.13,0.25,0.38,0.13,0.38,Matches
178,Dimitris Giannoulis,gr GRE,DF,Norwich City,26-153,1995,11,7,546,6.1,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches
179,Morgan Gibbs-White,eng ENG,FWMF,Wolves,22-051,2000,2,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.22,0.00,1.22,1.22,1.22,Matches
180,Ben Gibson,eng ENG,DF,Norwich City,29-063,1993,24,24,2134,23.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.05,0.00,0.05,0.05,0.05,Matches
181,Billy Gilmour,sct SCO,MF,Norwich City,20-281,2001,18,16,1416,15.7,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,2.0,2.6,0.04,0.13,0.17,0.04,0.17,Matches
182,Ben Godfrey,eng ENG,DF,Everton,24-063,1998,19,19,1669,18.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,1.8,0.06,0.04,0.10,0.06,0.10,Matches
183,André Gomes,pt POR,MF,Everton,28-232,1993,12,5,503,5.6,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.6,0.6,0.2,0.8,0.11,0.04,0.15,0.11,0.15,Matches
184,Toti Gomes,pt POR,DF,Wolves,23-062,1999,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
185,Joe Gomez,eng ENG,DF,Liverpool,24-300,1997,5,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
186,Charlie Goode,eng ENG,DF,Brentford,26-228,1995,6,4,450,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.03,0.07,0.10,0.03,0.10,Matches
187,Anthony Gordon,eng ENG,MFFW,Everton,21-023,2001,24,16,1505,16.7,3,2,3,0,0,2,0,0.18,0.12,0.30,0.18,0.30,2.4,2.4,1.8,4.1,0.14,0.11,0.25,0.14,0.25,Matches
188,Kaide Gordon,eng ENG,FW,Liverpool,17-165,2004,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,4.48,0.00,4.48,4.48,4.48,Matches
189,Dan Gosling,eng ENG,MF,Watford,32-046,1990,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
190,Demarai Gray,eng ENG,MFFW,Everton,25-264,1996,23,21,1692,18.8,5,2,5,0,0,3,0,0.27,0.11,0.37,0.27,0.37,3.2,3.2,2.7,5.9,0.17,0.14,0.31,0.17,0.31,Matches
191,Jack Grealish,eng ENG,FW,Manchester City,26-190,1995,19,17,1446,16.1,2,2,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25,4.1,4.1,5.0,9.1,0.26,0.31,0.57,0.26,0.57,Matches
192,Mason Greenwood,eng ENG,FWMF,Manchester Utd,20-169,2001,18,16,1271,14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6.0,0.31,0.11,0.42,0.31,0.42,Matches
193,Sam Greenwood,eng ENG,FWMF,Leeds United,20-052,2002,2,0,81,0.9,0,1,0,0,0,0,0,0.00,1.11,1.11,0.00,1.11,0.1,0.1,0.2,0.3,0.08,0.22,0.30,0.08,0.30,Matches
194,Pascal Groß,de GER,MFDF,Brighton,30-277,1991,20,17,1376,15.3,0,3,0,0,1,0,0,0.00,0.20,0.20,0.00,0.20,2.1,1.3,3.2,4.5,0.14,0.21,0.35,0.09,0.30,Matches
195,Vicente Guaita,es ESP,GK,Crystal Palace,35-068,1987,24,24,2115,23.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
196,Marc Guéhi,eng ENG,DF,Crystal Palace,21-249,2000,28,28,2520,28.0,2,0,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.4,2.0,0.06,0.01,0.07,0.06,0.07,Matches
197,Bruno Guimarães,br BRA,MF,Newcastle Utd,24-123,1997,8,3,290,3.2,1,0,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.9,0.9,0.5,1.3,0.27,0.14,0.41,0.27,0.41,Matches
198,İlkay Gündoğan,de GER,MF,Manchester City,31-146,1990,20,15,1350,15.0,5,4,5,0,0,1,0,0.33,0.27,0.60,0.33,0.60,6.6,6.6,3.9,10.4,0.44,0.26,0.70,0.44,0.70,Matches
199,Angus Gunn,eng ENG,GK,Norwich City,26-056,1996,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
200,Grant Hanley,sct SCO,DF,Norwich City,30-119,1991,24,24,2087,23.2,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.05,0.01,0.06,0.05,0.06,Matches
201,Jack Harrison,eng ENG,FWMF,Leeds United,25-119,1996,27,24,1973,21.9,5,1,5,0,0,3,0,0.23,0.05,0.27,0.23,0.27,3.2,3.2,2.2,5.4,0.15,0.10,0.25,0.15,0.25,Matches
202,Kortney Hause,eng ENG,DF,Aston Villa,26-246,1995,7,4,397,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
203,Kai Havertz,de GER,FWMF,Chelsea,22-281,1999,20,16,1305,14.5,6,2,6,0,0,2,0,0.41,0.14,0.55,0.41,0.55,5.5,5.5,1.1,6.6,0.38,0.08,0.46,0.38,0.46,Matches
204,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26-362,1995,14,12,1002,11.1,1,0,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,Matches
205,Hwang Hee-chan,kr KOR,FWMF,Wolves,26-052,1996,22,16,1354,15.0,5,1,5,0,0,1,0,0.33,0.07,0.40,0.33,0.40,3.0,3.0,1.4,4.4,0.20,0.09,0.30,0.20,0.30,Matches
206,Jordan Henderson,eng ENG,MF,Liverpool,31-275,1990,26,23,2003,22.3,2,5,2,0,0,3,0,0.09,0.22,0.31,0.09,0.31,1.4,1.4,3.4,4.8,0.06,0.15,0.22,0.06,0.22,Matches
207,Jeff Hendrick,ie IRL,MF,Newcastle Utd,30-047,1992,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0.00,1.25,1.25,1.25,0.0,0.0,0.0,0.1,0.04,0.06,0.10,0.04,0.10,Matches
208,Wayne Hennessey,wls WAL,GK,Burnley,35-054,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
209,Rico Henry,eng ENG,DF,Brentford,24-254,1997,25,24,2014,22.4,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.6,2.1,0.07,0.03,0.09,0.07,0.09,Matches
210,Son Heung-min,kr KOR,FWMF,Tottenham,29-254,1992,25,25,2153,23.9,11,5,11,0,0,1,0,0.46,0.21,0.67,0.46,0.67,9.3,9.3,6.5,15.8,0.39,0.27,0.66,0.39,0.66,Matches
211,Ki-Jana Hoever,nl NED,DF,Wolves,20-060,2002,8,4,308,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
212,Rob Holding,eng ENG,DF,Arsenal,26-180,1995,8,4,431,4.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
213,Mason Holgate,eng ENG,DF,Everton,25-148,1996,16,14,1328,14.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
214,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,21-132,2000,15,11,962,10.7,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,2.1,2.1,2.3,4.4,0.20,0.21,0.41,0.20,0.41,Matches
215,Will Hughes,eng ENG,MF,Crystal Palace,26-336,1995,12,10,818,9.1,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,Matches
216,Pierre Højbjerg,dk DEN,MF,Tottenham,26-226,1995,26,26,2296,25.5,2,2,2,0,0,2,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,1.4,3.1,0.07,0.05,0.12,0.07,0.12,Matches
217,Adam Idah,ie IRL,FWMF,Norwich City,21-008,2001,17,6,625,6.9,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,2.0,2.0,0.6,2.6,0.28,0.09,0.37,0.28,0.37,Matches
218,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,25-167,1996,18,7,744,8.3,2,5,2,0,0,1,0,0.24,0.60,0.85,0.24,0.85,2.2,2.2,2.3,4.5,0.26,0.28,0.55,0.26,0.55,Matches
219,Danny Ings,eng ENG,FW,Aston Villa,29-239,1992,22,18,1515,16.8,5,5,4,1,1,2,0,0.30,0.30,0.59,0.24,0.53,4.5,3.8,1.6,5.3,0.27,0.09,0.36,0.22,0.32,Matches
220,Tim Iroegbunam,,MF,Aston Villa,,,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
221,Alex Iwobi,ng NGA,MFFW,Everton,25-320,1996,17,11,1045,11.6,2,1,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,1.5,1.5,1.4,2.9,0.13,0.12,0.25,0.13,0.25,Matches
222,Daniel James,wls WAL,FWMF,Leeds United,24-129,1997,26,24,2025,22.5,4,3,4,0,0,6,0,0.18,0.13,0.31,0.18,0.31,5.0,5.0,2.4,7.4,0.22,0.11,0.33,0.22,0.33,Matches
223,Daniel James,wls WAL,FW,Manchester Utd,24-129,1997,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.17,0.01,0.19,0.17,0.19,Matches
224,Reece James,eng ENG,DF,Chelsea,22-101,1999,17,15,1183,13.1,5,6,5,0,0,4,1,0.38,0.46,0.84,0.38,0.84,2.0,2.0,4.3,6.2,0.15,0.32,0.47,0.15,0.47,Matches
225,Vitaly Janelt,de GER,MF,Brentford,23-313,1998,23,20,1726,19.2,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.0,2.0,1.5,3.5,0.11,0.08,0.18,0.11,0.18,Matches
226,Pontus Jansson,se SWE,DF,Brentford,31-034,1991,29,29,2601,28.9,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,1.6,1.6,0.4,2.0,0.05,0.01,0.07,0.05,0.07,Matches
227,Mathias Jensen,dk DEN,MF,Brentford,26-077,1996,22,14,1133,12.6,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,2.8,4.0,0.09,0.22,0.32,0.09,0.32,Matches
228,Gabriel Jesus,br BRA,FW,Manchester City,24-350,1997,20,15,1338,14.9,2,7,2,0,0,0,0,0.13,0.47,0.61,0.13,0.61,5.3,5.3,3.4,8.7,0.36,0.23,0.59,0.36,0.59,Matches
229,Raúl Jiménez,mx MEX,FW,Wolves,30-318,1991,28,25,2155,23.9,6,3,5,1,1,9,2,0.25,0.13,0.38,0.21,0.33,6.1,5.6,2.0,7.6,0.26,0.08,0.34,0.23,0.32,Matches
230,Joelinton,br BRA,MFFW,Newcastle Utd,25-217,1996,26,21,1884,20.9,2,1,2,0,0,6,0,0.10,0.05,0.14,0.10,0.14,2.7,2.7,1.3,4.0,0.13,0.06,0.19,0.13,0.19,Matches
