Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
464,Ivan Rakitić,hr CRO,MF,Sevilla,34-010,1988,17.9,31,20,9,19,3,12,28,42.9,16,266,82,30.8,50,146,70,37,8,0,29,18,49,27,1,Matches
465,Jonás Ramalho,es ESP,DF,Osasuna,28-283,1993,1.0,2,2,1,1,0,2,3,66.7,1,13,5,38.5,3,8,2,4,1,0,3,7,9,4,0,Matches
466,Sandro Ramírez,es ESP,FW,Getafe,26-254,1995,13.7,9,7,1,5,3,2,6,33.3,4,211,50,23.7,21,98,92,12,3,0,9,5,14,1,0,Matches
467,Lluís Recasens,es ESP,DF,Espanyol,20-110,2001,0.5,2,1,2,0,0,0,1,0.0,1,6,2,33.3,5,1,0,0,0,0,0,1,3,3,0,Matches
468,Manolo Reina,es ESP,GK,Mallorca,36-353,1985,18.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
469,Karim Rekik,nl NED,DF,Sevilla,27-108,1994,10.6,19,13,9,9,1,6,10,60.0,4,106,47,44.3,47,47,12,13,6,0,7,12,31,31,0,Matches
470,Álex Remiro,es ESP,GK,Real Sociedad,26-361,1995,25.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,2,Matches
471,Nico Ribaudo,es ESP,MFFW,Espanyol,20-343,2001,9.6,16,13,9,6,1,6,22,27.3,16,142,40,28.2,58,54,30,9,2,0,7,5,21,6,0,Matches
472,Diego Rico,es ESP,DF,Real Sociedad,29-025,1993,8.5,24,16,14,8,2,7,17,41.2,10,118,50,42.4,57,44,17,28,4,0,24,22,46,19,0,Matches
473,Sergio Rico,es ESP,GK,Mallorca,28-200,1993,7.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
474,Luis Rioja,es ESP,MFFW,Alavés,28-155,1993,27.0,22,13,8,8,6,5,43,11.6,38,323,80,24.8,79,145,99,34,1,0,33,34,56,20,0,Matches
475,Rober,es ESP,DF,Levante,27-032,1995,14.5,27,15,17,7,3,12,22,54.5,10,145,53,36.6,78,54,13,23,11,0,12,32,59,76,1,Matches
476,Sergi Roberto,es ESP,MFDF,Barcelona,30-041,1992,4.4,10,6,4,3,3,2,5,40.0,3,41,11,26.8,9,20,12,3,0,0,3,2,12,4,0,Matches
477,Rubén Rochina,es ESP,MFFW,Granada,30-362,1991,8.3,25,12,9,11,5,9,29,31.0,20,179,41,22.9,44,97,38,13,1,0,12,12,37,4,0,Matches
478,Enzo Roco,cl CHI,DF,Elche,29-216,1992,21.6,28,15,21,6,1,10,25,40.0,15,213,70,32.9,130,74,9,47,26,1,21,38,66,108,4,Matches
479,Rodrigo,es ESP,FW,Betis,21-308,2000,8.4,9,7,5,3,1,1,10,10.0,9,115,35,30.4,35,51,29,15,0,0,15,3,12,2,0,Matches
480,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,28-015,1994,3.0,12,8,7,4,1,4,8,50.0,4,56,26,46.4,24,25,7,6,0,0,6,5,17,3,0,Matches
481,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,23-265,1998,4.6,10,9,2,4,4,2,4,50.0,2,61,17,27.9,10,37,14,5,0,0,5,9,19,5,0,Matches
482,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,23-265,1998,5.6,10,7,1,9,0,2,6,33.3,4,63,15,23.8,10,36,17,4,0,0,4,17,27,4,0,Matches
