Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
49,Mikel Balenziaga,es ESP,DF,Athletic Club,34-019,1988,23,21,1844,20.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.02,0.03,0.01,0.03,Matches
50,Iván Balliu,al ALB,DF,Rayo Vallecano,30-078,1992,27,27,2430,27.0,1,2,1,0,0,8,0,0.04,0.07,0.11,0.04,0.11,0.5,0.5,2.7,3.1,0.02,0.10,0.12,0.02,0.12,Matches
51,Barbero,es ESP,FWMF,Osasuna,23-215,1998,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
52,Enis Bardhi,mk MKD,MFFW,Levante,26-261,1995,23,15,1366,15.2,3,2,1,2,2,3,0,0.20,0.13,0.33,0.07,0.20,3.2,1.7,2.9,4.6,0.21,0.19,0.40,0.11,0.30,Matches
53,Keidi Bare,al ALB,MF,Espanyol,24-204,1997,20,13,1202,13.4,1,1,1,0,0,7,0,0.07,0.07,0.15,0.07,0.15,0.5,0.5,0.9,1.5,0.04,0.07,0.11,0.04,0.11,Matches
54,Kike Barja,es ESP,MFFW,Osasuna,24-353,1997,14,8,678,7.5,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.6,1.6,0.13,0.09,0.22,0.13,0.22,Matches
55,Antonio Barragán,es ESP,DF,Elche,34-281,1987,14,11,898,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
56,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,20-083,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches
57,Marc Bartra,es ESP,DF,Betis,31-064,1991,15,15,1273,14.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches
58,Álvaro Bastida,es ESP,MF,Cádiz,17-312,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
59,Rodrigo Battaglia,ar ARG,MF,Mallorca,30-251,1991,19,7,713,7.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
60,Jon Bautista,es ESP,FWMF,Real Sociedad,26-260,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
61,Bebé,pt POR,FWMF,Rayo Vallecano,31-251,1990,23,4,623,6.9,1,2,1,0,0,2,0,0.14,0.29,0.43,0.14,0.43,0.8,0.8,1.7,2.6,0.14,0.28,0.41,0.14,0.41,Matches
62,Héctor Bellerín,es ESP,DF,Betis,27-001,1995,18,18,1596,17.7,0,2,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11,0.2,0.2,2.1,2.3,0.01,0.12,0.13,0.01,0.13,Matches
63,Fran Beltrán,es ESP,MF,Celta Vigo,23-045,1999,28,22,1895,21.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.01,0.03,0.04,0.01,0.04,Matches
64,Darío Benedetto,ar ARG,FW,Elche,31-307,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches
65,Iker Benito,es ESP,MFFW,Osasuna,19-222,2002,4,1,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.10,0.17,0.07,0.17,Matches
66,Pedro Benito,es ESP,FW,Cádiz,21-358,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
67,Karim Benzema,fr FRA,FW,Real Madrid,34-091,1987,25,25,2056,22.8,22,11,17,5,6,0,0,0.96,0.48,1.44,0.74,1.23,17.2,12.6,7.1,19.7,0.75,0.31,1.06,0.55,0.86,Matches
68,Yuri Berchiche,es ESP,DF,Athletic Club,32-038,1990,6,4,378,4.2,1,1,1,0,0,2,0,0.24,0.24,0.48,0.24,0.48,0.2,0.2,0.4,0.6,0.06,0.08,0.14,0.06,0.14,Matches
69,Álex Berenguer,es ESP,MF,Athletic Club,26-259,1995,26,19,1653,18.4,1,6,1,0,1,7,0,0.05,0.33,0.38,0.05,0.38,4.0,3.3,4.7,7.9,0.22,0.25,0.47,0.18,0.43,Matches
70,Pedro Bigas,es ESP,DF,Elche,31-186,1990,13,13,1086,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,Matches
71,Blanco,es ESP,MF,Real Madrid,21-240,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Yassine Bounou,ma MAR,GK,Sevilla,30-349,1991,23,23,2070,23.0,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,Matches
73,Lucas Boyé,ar ARG,FW,Elche,26-020,1996,22,20,1639,18.2,7,3,7,0,0,3,0,0.38,0.16,0.55,0.38,0.55,4.9,4.9,1.8,6.7,0.27,0.10,0.37,0.27,0.37,Matches
74,Martin Braithwaite,dk DEN,FW,Barcelona,30-288,1991,4,3,235,2.6,2,1,2,0,0,0,0,0.77,0.38,1.15,0.77,1.15,1.0,1.0,1.3,2.3,0.40,0.48,0.88,0.40,0.88,Matches
75,Darko Brašanac,rs SRB,MF,Osasuna,30-036,1992,27,21,1891,21.0,1,2,1,0,0,5,0,0.05,0.10,0.14,0.05,0.14,1.3,1.3,1.3,2.6,0.06,0.06,0.12,0.06,0.12,Matches
76,Claudio Bravo,cl CHI,GK,Betis,38-341,1983,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
77,Yan Brice Eteki,cm CMR,MF,Granada,24-206,1997,7,1,138,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
78,Bryan,es ESP,MFFW,Valencia,21-037,2001,7,5,478,5.3,0,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,0.5,0.5,1.0,1.5,0.09,0.19,0.27,0.09,0.27,Matches
79,Ante Budimir,hr CRO,FW,Osasuna,30-241,1991,19,12,1014,11.3,3,1,2,1,1,1,0,0.27,0.09,0.36,0.18,0.27,4.3,3.7,0.6,4.4,0.39,0.06,0.44,0.33,0.39,Matches
