Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
61,Davide Biraschi,it ITA,DF,Genoa,27-261,1994,10.3,317,432,73.4,6405,2589,114,140,81.4,146,179,81.6,52,104,50.0,0,0.3,-0.3,3,36,6,3,30,Matches
62,Bjarki Bjarkason,is ISL,FW,Venezia,21-313,2000,0.0,1,2,50.0,8,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
63,Jeremie Boga,ci CIV,FWMF,Sassuolo,25-076,1997,7.4,221,271,81.5,3063,630,146,163,89.6,63,79,79.7,7,10,70.0,2,0.8,+1.2,7,6,4,1,17,Matches
64,Jeremie Boga,ci CIV,FWMF,Atalanta,25-076,1997,3.7,150,181,82.9,2023,413,102,116,87.9,40,47,85.1,3,6,50.0,0,0.1,-0.1,4,8,4,0,12,Matches
65,Luka Bogdan,hr CRO,DF,Salernitana,25-359,1996,5.4,88,123,71.5,1810,767,25,29,86.2,49,63,77.8,12,25,48.0,0,0.0,0.0,1,1,0,0,5,Matches
66,Emil Bohinen,no NOR,MF,Salernitana,23-008,1999,0.3,13,17,76.5,161,52,10,12,83.3,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches
67,Giacomo Bonaventura,it ITA,MF,Fiorentina,32-210,1989,21.5,874,1058,82.6,16389,3301,378,422,89.6,364,436,83.5,116,168,69.0,2,2.3,-0.3,28,65,19,0,84,Matches
68,Federico Bonazzoli,it ITA,FWMF,Salernitana,24-303,1997,14.7,278,378,73.5,5216,937,136,170,80.0,90,117,76.9,45,68,66.2,0,0.6,-0.6,5,20,8,0,30,Matches
69,Kevin Bonifazi,it ITA,DF,Bologna,25-305,1996,10.2,418,505,82.8,9227,3285,130,142,91.5,201,227,88.5,82,130,63.1,0,0.8,-0.8,4,37,3,1,39,Matches
70,Leonardo Bonucci,it ITA,DF,Juventus,34-323,1987,16.9,838,957,87.6,21331,7945,147,159,92.5,445,468,95.1,239,313,76.4,0,0.4,-0.4,4,54,4,0,46,Matches
71,Mehdi Bourabia,ma MAR,MF,Spezia,30-225,1991,3.1,93,116,80.2,1511,376,43,47,91.5,47,53,88.7,3,14,21.4,0,0.0,0.0,1,7,0,0,6,Matches
72,Edoardo Bove,it ITA,MF,Roma,19-308,2002,0.6,22,25,88.0,458,107,13,14,92.9,5,6,83.3,4,5,80.0,0,0.0,0.0,0,3,0,0,4,Matches
73,Josip Brekalo,hr CRO,MFFW,Torino,23-270,1998,18.7,615,874,70.4,11695,2818,274,339,80.8,221,290,76.2,100,185,54.1,1,3.7,-2.7,40,39,27,7,67,Matches
74,Gleison Bremer,br BRA,DF,Torino,25-002,1997,26.3,1052,1235,85.2,24036,6047,242,282,85.8,563,619,91.0,234,307,76.2,1,0.2,+0.8,7,48,2,0,46,Matches
75,Marcelo Brozović,hr CRO,MF,Inter,29-124,1992,24.0,1782,1947,91.5,36096,10283,664,712,93.3,799,852,93.8,301,351,85.8,1,1.5,-0.5,25,169,24,7,161,Matches
76,Aleksander Buksa,pl POL,FW,Genoa,19-064,2003,0.7,6,15,40.0,72,33,5,8,62.5,1,3,33.3,0,2,0.0,0,0.0,0.0,0,1,1,0,3,Matches
77,Alessandro Buongiorno,it ITA,DF,Torino,22-287,1999,10.0,353,435,81.1,6391,1883,162,180,90.0,142,173,82.1,42,69,60.9,1,0.7,+0.3,5,29,1,1,23,Matches
78,Gianluca Busio,us USA,MF,Venezia,19-296,2002,18.8,666,803,82.9,13584,3118,243,283,85.9,301,336,89.6,111,156,71.2,1,1.6,-0.6,17,55,11,1,49,Matches
79,Jovane Cabral,cv CPV,FW,Lazio,23-279,1998,0.7,14,15,93.3,260,47,8,8,100.0,4,5,80.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,Matches
80,Liberato Cacace,nz NZL,DF,Empoli,21-174,2000,1.8,99,115,86.1,1609,561,50,53,94.3,40,45,88.9,6,11,54.5,0,0.0,0.0,0,5,0,0,5,Matches
81,Martín Cáceres,uy URU,DF,Cagliari,34-347,1987,9.2,318,458,69.4,6934,2499,105,126,83.3,141,184,76.6,65,126,51.6,1,0.4,+0.6,5,31,4,1,26,Matches
82,Felipe Caicedo,ec ECU,FW,Genoa,33-196,1988,3.2,53,78,67.9,660,95,36,47,76.6,11,18,61.1,1,3,33.3,2,0.9,+1.1,6,2,3,0,4,Matches
83,Felipe Caicedo,ec ECU,FWMF,Inter,33-196,1988,0.1,2,5,40.0,22,6,0,3,0.0,1,1,100.0,0,0,,0,0.2,-0.2,1,0,1,0,1,Matches
84,Davide Calabria,it ITA,DF,Milan,25-104,1996,16.9,742,966,76.8,14133,5998,309,348,88.8,324,401,80.8,100,186,53.8,3,1.2,+1.8,14,76,19,12,86,Matches
85,Riccardo Calafiori,it ITA,DF,Roma,19-305,2002,1.9,67,83,80.7,1164,337,33,37,89.2,25,28,89.3,8,15,53.3,1,0.8,+0.2,1,0,2,1,3,Matches
86,Riccardo Calafiori,it ITA,DF,Genoa,19-305,2002,0.9,11,20,55.0,217,114,2,4,50.0,9,14,64.3,0,1,0.0,0,0.0,0.0,0,0,0,0,2,Matches
87,Mattia Caldara,it ITA,DF,Venezia,27-319,1994,22.0,703,851,82.6,15730,5635,211,228,92.5,338,379,89.2,152,233,65.2,0,0.0,0.0,1,39,2,0,38,Matches
88,Hakan Çalhanoğlu,tr TUR,MF,Inter,28-040,1994,20.3,1119,1383,80.9,22442,6311,460,508,90.6,441,503,87.7,196,327,59.9,8,5.7,+2.3,64,107,32,9,108,Matches
89,José Callejón,es ESP,FW,Fiorentina,35-037,1987,13.5,449,575,78.1,7949,2049,220,257,85.6,177,216,81.9,48,87,55.2,2,3.0,-1.0,21,23,19,6,42,Matches
90,Andrea Cambiaso,it ITA,DF,Genoa,22-028,2000,19.5,696,892,78.0,11649,3867,342,384,89.1,291,362,80.4,52,98,53.1,4,1.8,+2.2,18,33,18,8,51,Matches
91,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,20-036,2002,1.9,20,35,57.1,332,59,12,17,70.6,4,11,36.4,4,5,80.0,0,0.1,-0.1,2,4,1,0,1,Matches
92,Antonio Candreva,it ITA,MFFW,Sampdoria,35-020,1987,26.5,1000,1503,66.5,20539,7759,436,522,83.5,323,466,69.3,215,439,49.0,8,5.5,+2.5,68,106,60,20,150,Matches
93,Leonardo Capezzi,it ITA,MF,Salernitana,26-357,1995,1.9,41,48,85.4,714,210,19,23,82.6,17,18,94.4,4,5,80.0,0,0.0,0.0,0,2,1,0,3,Matches
94,Gianluca Caprari,it ITA,FWMF,Hellas Verona,28-233,1993,21.7,713,949,75.1,11114,3146,390,449,86.9,232,302,76.8,60,128,46.9,7,5.0,+2.0,48,45,53,5,98,Matches
95,Francesco Caputo,it ITA,FW,Sampdoria,34-226,1987,23.0,342,457,74.8,4938,651,205,264,77.7,104,132,78.8,20,32,62.5,3,2.9,+0.1,30,14,13,1,20,Matches
96,Francesco Caputo,it ITA,FW,Sassuolo,34-226,1987,1.7,28,35,80.0,367,35,16,20,80.0,10,11,90.9,0,0,,1,0.4,+0.6,3,1,1,0,2,Matches
97,Andrea Carboni,it ITA,DF,Cagliari,21-044,2001,19.9,661,872,75.8,13107,4587,245,270,90.7,317,380,83.4,92,195,47.2,0,0.0,0.0,2,57,8,3,60,Matches
98,Nicolò Casale,it ITA,DF,Hellas Verona,24-034,1998,20.3,688,848,81.1,13114,4636,245,288,85.1,330,385,85.7,92,137,67.2,1,1.2,-0.2,9,43,9,5,55,Matches
99,Francesco Cassata,it ITA,MF,Genoa,24-247,1997,0.1,1,1,100.0,50,4,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
