Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
380,Stefano Okaka,it ITA,FW,Udinese,32-223,1989,2,0,22,0.2,0,1,0,0,0,1,0,0.00,4.09,4.09,0.00,4.09,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
381,David Okereke,ng NGA,FWMF,Venezia,24-203,1997,23,18,1581,17.6,6,0,6,0,0,1,1,0.34,0.00,0.34,0.34,0.34,4.2,4.2,0.7,4.9,0.24,0.04,0.28,0.24,0.28,Matches
382,Christian Oliva,uy URU,MF,Cagliari,25-292,1996,4,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
383,Sérgio Oliveira,pt POR,MF,Roma,29-291,1992,7,6,401,4.5,2,0,1,1,1,2,0,0.45,0.00,0.45,0.22,0.22,1.4,0.7,1.2,1.8,0.31,0.26,0.57,0.15,0.41,Matches
384,Riccardo Orsolini,it ITA,FWDF,Bologna,25-055,1997,21,16,1277,14.2,4,2,3,1,1,1,0,0.28,0.14,0.42,0.21,0.35,3.3,2.5,1.5,4.1,0.23,0.11,0.34,0.18,0.29,Matches
385,Victor Osimhen,ng NGA,FW,Napoli,23-081,1998,20,17,1444,16.0,11,0,11,0,0,5,1,0.69,0.00,0.69,0.69,0.69,8.6,8.6,1.0,9.5,0.53,0.06,0.59,0.53,0.59,Matches
386,David Ospina,co COL,GK,Napoli,33-201,1988,26,26,2340,26.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
387,Adam Ounas,dz ALG,MFFW,Napoli,25-129,1996,14,1,320,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.0,1.9,0.26,0.27,0.53,0.26,0.53,Matches
388,Daniele Padelli,it ITA,GK,Udinese,36-146,1985,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
389,Goran Pandev,mk MKD,FWMF,Genoa,38-236,1983,20,7,843,9.4,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.3,1.9,0.07,0.14,0.21,0.07,0.21,Matches
390,Ivor Pandur,hr CRO,GK,Hellas Verona,21-360,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
391,Fabiano Parisi,it ITA,DF,Empoli,21-131,2000,17,10,948,10.5,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.5,1.0,0.04,0.05,0.09,0.04,0.09,Matches
392,Mario Pašalić,hr CRO,MFFW,Atalanta,27-039,1995,27,19,1524,16.9,9,5,9,0,0,2,0,0.53,0.30,0.83,0.53,0.83,7.0,7.0,5.4,12.4,0.41,0.32,0.73,0.41,0.73,Matches
393,Patric,es ESP,DF,Lazio,28-337,1993,17,12,1083,12.0,0,1,0,0,0,5,1,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.7,1.0,0.02,0.06,0.08,0.02,0.08,Matches
394,Rui Patrício,pt POR,GK,Roma,34-033,1988,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
395,Leonardo Pavoletti,it ITA,FW,Cagliari,33-114,1988,26,10,1165,12.9,5,1,5,0,0,7,0,0.39,0.08,0.46,0.39,0.46,5.9,5.9,0.7,6.6,0.46,0.05,0.51,0.46,0.51,Matches
396,Pedro,es ESP,FW,Lazio,34-235,1987,28,24,1842,20.5,8,3,8,0,0,4,0,0.39,0.15,0.54,0.39,0.54,4.2,4.2,2.9,7.1,0.21,0.14,0.35,0.21,0.35,Matches
397,João Pedro,br BRA,FW,Cagliari,30-011,1992,29,29,2607,29.0,10,3,7,3,4,8,0,0.35,0.10,0.45,0.24,0.35,10.5,7.5,2.8,10.3,0.36,0.10,0.46,0.26,0.35,Matches
398,Gianluca Pegolo,it ITA,GK,Sassuolo,40-360,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
399,Pietro Pellegri,it ITA,FW,Milan,21-003,2001,6,1,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.14,0.26,0.41,0.14,0.41,Matches
400,Pietro Pellegri,it ITA,FW,Torino,21-003,2001,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
401,Lorenzo Pellegrini,it ITA,MF,Roma,25-274,1996,20,20,1684,18.7,7,2,6,1,2,6,1,0.37,0.11,0.48,0.32,0.43,6.9,5.3,4.5,9.8,0.37,0.24,0.61,0.28,0.52,Matches
402,Luca Pellegrini,it ITA,DF,Juventus,23-013,1999,13,11,783,8.7,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,1.2,1.2,0.00,0.13,0.13,0.00,0.13,Matches
403,Federico Peluso,it ITA,DF,Sassuolo,38-059,1984,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
404,Gastón Pereiro,uy URU,FWMF,Cagliari,26-282,1995,22,8,820,9.1,4,0,4,0,0,0,0,0.44,0.00,0.44,0.44,0.44,1.3,1.3,1.3,2.6,0.15,0.15,0.29,0.15,0.29,Matches
405,Dor Peretz,il ISR,MF,Venezia,26-307,1995,11,2,351,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.17,0.05,0.22,0.17,0.22,Matches
406,Roberto Pereyra,ar ARG,MFFW,Udinese,31-072,1991,18,16,1346,15.0,2,4,1,1,1,6,1,0.13,0.27,0.40,0.07,0.33,2.2,1.4,2.3,3.7,0.14,0.15,0.30,0.09,0.24,Matches
407,Carles Pérez,es ESP,MFFW,Roma,24-032,1998,13,1,340,3.8,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,0.7,0.7,0.5,1.2,0.18,0.14,0.32,0.18,0.32,Matches
408,Nehuén Pérez,ar ARG,DF,Udinese,21-269,2000,12,11,1005,11.2,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.7,0.03,0.03,0.06,0.03,0.06,Matches
409,Mattia Perin,it ITA,GK,Juventus,29-130,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
410,Ivan Perišić,hr CRO,DF,Inter,33-046,1989,26,26,2062,22.9,5,2,4,1,1,3,0,0.22,0.09,0.31,0.17,0.26,3.8,3.0,3.7,6.8,0.17,0.16,0.33,0.13,0.30,Matches
411,Diego Perotti,ar ARG,FWMF,Salernitana,33-237,1988,6,0,173,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.12,0.09,0.21,0.12,0.21,Matches
