,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
291,Matthijs de Ligt,nl NED,DF,Juventus,22-220,1999,23.3,31,19,17,13,1,10,14,71.4,4,202,75,37.1,105,88,9,40,22,0,18,32,63,104,0,Matches
292,Anderson Lima,br BRA,MF,Lazio,22-178,1999,0.7,4,2,2,2,0,3,3,100.0,0,18,4,22.2,7,8,3,1,0,0,1,2,6,0,0,Matches
293,Karol Linetty,pl POL,MFFW,Torino,27-046,1995,9.4,12,8,3,4,5,4,14,28.6,10,178,52,29.2,38,86,54,9,1,0,8,7,19,3,0,Matches
294,Stanislav Lobotka,sk SVK,MF,Napoli,27-115,1994,14.9,33,23,9,21,3,10,26,38.5,16,253,98,38.7,92,128,33,16,2,0,14,26,59,11,0,Matches
295,Manuel Locatelli,it ITA,MF,Juventus,24-071,1998,22.0,42,29,20,14,8,9,31,29.0,22,328,102,31.1,127,165,36,50,22,1,28,35,77,38,0,Matches
296,Maxime Lopez,fr FRA,MF,Sassuolo,24-106,1997,26.8,54,35,32,18,4,25,63,39.7,38,447,132,29.5,185,224,38,33,4,2,29,49,103,37,3,Matches
297,Matteo Lovato,it ITA,DF,Cagliari,22-034,2000,8.6,13,9,7,4,2,3,8,37.5,5,91,34,37.4,47,44,0,17,7,0,10,33,46,32,0,Matches
298,Matteo Lovato,it ITA,DFMF,Atalanta,22-034,2000,3.4,6,3,5,1,0,2,4,50.0,2,42,13,31.0,27,13,2,3,2,0,1,6,12,6,0,Matches
299,Hirving Lozano,mx MEX,FW,Napoli,26-233,1995,13.1,18,8,9,4,5,9,24,37.5,15,223,55,24.7,56,98,69,22,0,0,22,10,28,4,0,Matches
300,José Luis Palomino,ar ARG,DF,Atalanta,32-074,1990,21.5,74,49,40,31,3,21,40,52.5,19,303,131,43.2,153,139,11,49,17,0,32,67,141,85,0,Matches
301,Saša Lukić,rs SRB,MF,Torino,25-219,1996,25.4,45,28,17,25,3,14,31,45.2,17,418,128,30.6,123,240,55,44,7,0,37,42,87,24,0,Matches
302,Sebastiano Luperto,it ITA,DF,Empoli,25-195,1996,15.1,26,18,16,8,2,5,9,55.6,4,152,53,34.9,74,68,10,33,21,1,12,40,66,97,0,Matches
303,Charalambos Lykogiannis,gr GRE,DF,Cagliari,28-149,1993,17.0,22,13,14,5,3,9,19,47.4,10,159,46,28.9,85,55,19,32,8,0,24,50,72,51,0,Matches
304,Niki Mäenpää,fi FIN,GK,Venezia,37-056,1985,6.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
305,Giulio Maggiore,it ITA,MF,Spezia,24-008,1998,24.9,49,34,20,27,2,19,53,35.8,34,510,138,27.1,140,263,107,34,4,1,30,36,85,24,0,Matches
306,Francesco Magnanelli,it ITA,MF,Sassuolo,37-128,1984,1.7,3,2,2,1,0,2,5,40.0,3,40,9,22.5,16,20,4,2,0,0,2,1,4,3,0,Matches
307,Giangiacomo Magnani,it ITA,DF,Sampdoria,26-167,1995,2.5,4,1,2,2,0,1,2,50.0,1,17,6,35.3,9,8,0,2,2,0,0,7,11,10,0,Matches
308,Giangiacomo Magnani,it ITA,DF,Hellas Verona,26-167,1995,5.9,16,12,8,8,0,7,15,46.7,8,68,26,38.2,38,29,1,8,3,0,5,15,31,46,0,Matches
309,Mike Maignan,fr FRA,GK,Milan,26-260,1995,24.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,1,Matches
310,Ainsley Maitland-Niles,eng ENG,DF,Roma,24-203,1997,4.3,2,1,1,0,1,1,9,11.1,8,63,24,38.1,25,25,13,17,0,0,17,10,12,7,0,Matches
311,Jean-Victor Makengo,fr FRA,MF,Udinese,23-281,1998,19.5,17,13,4,8,5,10,28,35.7,18,224,78,34.8,91,96,37,27,3,0,24,22,39,10,1,Matches
312,Nikola Maksimović,rs SRB,DF,Genoa,30-115,1991,10.4,15,11,9,5,1,2,4,50.0,2,81,31,38.3,47,33,1,23,11,0,12,17,32,56,0,Matches
313,Kévin Malcuit,ma MAR,DF,Napoli,30-232,1991,2.7,2,0,2,0,0,1,2,50.0,1,39,8,20.5,18,11,10,3,0,0,3,1,3,4,0,Matches
314,Daniel Maldini,it ITA,MF,Milan,20-160,2001,1.6,5,4,3,2,0,1,4,25.0,3,36,11,30.6,9,22,5,6,0,0,6,1,6,0,0,Matches
315,Youssef Maleh,it ITA,MF,Fiorentina,23-210,1998,7.7,20,14,7,9,4,6,9,66.7,3,194,53,27.3,51,102,41,14,0,0,14,5,25,2,0,Matches
316,Ruslan Malinovskyi,ua UKR,FWMF,Atalanta,28-320,1993,15.3,24,14,5,11,8,10,22,45.5,12,313,87,27.8,44,153,116,22,4,0,18,6,30,3,0,Matches
317,Rey Manaj,al ALB,FW,Spezia,25-024,1997,13.5,16,8,5,6,5,4,13,30.8,9,258,69,26.7,28,134,96,10,0,0,10,4,20,14,0,Matches
318,Gianluca Mancini,it ITA,DF,Roma,25-337,1996,25.1,46,32,27,16,3,16,29,55.2,13,307,105,34.2,169,119,19,31,17,1,14,42,88,74,0,Matches
319,Leonardo Mancuso,it ITA,FW,Empoli,29-298,1992,4.7,1,0,0,1,0,0,3,0.0,3,34,8,23.5,2,13,19,3,0,0,3,3,4,3,0,Matches
320,Rolando Mandragora,it ITA,MF,Torino,24-264,1997,12.9,15,6,3,9,3,4,14,28.6,10,164,48,29.3,35,81,48,18,3,0,15,12,27,18,0,Matches
321,Kostas Manolas,gr GRE,DF,Napoli,30-279,1991,3.5,2,2,1,1,0,2,3,66.7,1,18,6,33.3,9,6,3,2,0,0,2,8,10,9,0,Matches
322,Riccardo Marchizza,it ITA,DF,Empoli,23-359,1998,15.0,20,11,8,10,2,7,16,43.8,9,211,55,26.1,82,96,33,27,7,0,20,18,38,28,0,Matches
323,Gian Marco Ferrari,it ITA,DF,Sassuolo,30-033,1992,28.7,19,9,15,4,0,11,23,47.8,12,144,52,36.1,91,46,7,39,23,2,16,48,67,105,1,Matches
324,Pablo Marí,es ESP,DF,Udinese,28-201,1993,6.9,9,6,3,5,1,3,7,42.9,4,66,27,40.9,32,26,8,10,5,0,5,22,31,35,0,Matches
325,Răzvan Marin,ro ROU,MF,Cagliari,25-301,1996,26.2,42,29,15,24,3,15,47,31.9,32,464,125,26.9,142,237,85,27,3,0,24,23,65,12,0,Matches
326,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,25-314,1996,14.3,35,22,25,6,4,14,26,53.8,12,169,56,33.1,95,65,9,25,9,0,16,35,70,45,0,Matches
327,Lautaro Martínez,ar ARG,FW,Inter,24-210,1997,19.0,20,14,3,11,6,8,14,57.1,6,268,76,28.4,17,104,147,17,2,0,15,19,39,7,0,Matches
328,Adam Marušić,me MNE,DF,Lazio,29-154,1992,21.9,23,13,10,10,3,10,30,33.3,20,157,42,26.8,62,67,28,39,8,0,31,45,68,48,0,Matches
329,Andrea Masiello,it ITA,DF,Genoa,36-043,1986,5.7,8,8,8,0,0,4,8,50.0,4,43,14,32.6,27,16,0,11,4,0,7,12,20,21,0,Matches
330,Aleš Matějů,cz CZE,DF,Venezia,25-290,1996,1.5,1,0,0,1,0,1,8,12.5,7,30,7,23.3,17,11,2,2,0,0,2,4,5,3,0,Matches
331,Borja Mayoral,es ESP,FWDF,Roma,24-349,1997,1.1,0,0,0,0,0,0,0,,0,11,5,45.5,2,4,5,0,0,0,0,0,0,0,0,Matches
332,Pasquale Mazzocchi,it ITA,DF,Venezia,26-236,1995,13.8,17,12,13,1,3,7,22,31.8,15,193,58,30.1,84,79,30,27,8,0,19,41,58,35,0,Matches
333,Pasquale Mazzocchi,it ITA,DF,Salernitana,26-236,1995,4.7,5,3,4,1,0,2,6,33.3,4,63,23,36.5,27,30,6,5,0,0,5,13,18,16,0,Matches
334,Ibrahima Mbaye,sn SEN,DF,Bologna,27-121,1994,0.9,1,0,1,0,0,1,2,50.0,1,10,1,10.0,6,2,2,1,1,0,0,1,2,5,0,Matches
335,Weston McKennie,us USA,MF,Juventus,23-204,1998,15.0,28,17,12,10,6,7,20,35.0,13,272,89,32.7,99,118,55,26,6,0,20,25,53,17,0,Matches
336,Gary Medel,cl CHI,DF,Bologna,34-229,1987,23.8,24,11,19,5,0,10,22,45.5,12,201,69,34.3,122,71,8,35,16,0,19,41,65,98,0,Matches
337,Filippo Melegoni,it ITA,MFFW,Genoa,23-030,1999,6.9,8,5,3,1,4,2,10,20.0,8,158,50,31.6,38,74,46,16,1,0,15,5,13,6,0,Matches
338,Arthur Melo,br BRA,MF,Juventus,25-220,1996,8.1,17,13,8,8,1,8,23,34.8,15,190,57,30.0,89,82,19,13,2,0,11,11,28,7,1,Matches
339,Alex Meret,it ITA,GK,Napoli,24-363,1997,4.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
340,Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,25-078,1997,0.5,1,0,1,0,0,0,0,,0,6,1,16.7,2,3,1,2,0,0,2,0,1,2,0,Matches
341,Dries Mertens,be BEL,FWMF,Napoli,34-318,1987,10.3,8,8,1,4,3,2,14,14.3,12,193,56,29.0,13,78,102,5,1,0,4,7,15,3,0,Matches
342,Junior Messias,br BRA,FWMF,Milan,30-311,1991,12.5,30,20,11,12,7,10,26,38.5,16,225,60,26.7,50,77,98,16,2,0,14,25,55,10,0,Matches
343,Kingsley Michael,ng NGA,MF,Bologna,22-206,1999,0.8,2,2,2,0,0,1,2,50.0,1,19,6,31.6,9,9,1,4,1,0,3,1,3,1,0,Matches
344,Valentin Mihaila,ro ROU,MFFW,Atalanta,22-046,2000,0.3,0,0,0,0,0,0,0,,0,7,1,14.3,1,3,3,0,0,0,0,0,0,0,0,Matches
345,Mikael,br BRA,FW,Salernitana,22-296,1999,0.4,0,0,0,0,0,0,0,,0,7,0,0.0,0,3,4,0,0,0,0,0,0,1,0,Matches
346,Nikola Milenković,rs SRB,DF,Fiorentina,24-159,1997,24.0,36,20,23,8,5,19,28,67.9,9,216,82,38.0,105,92,19,30,12,0,18,62,98,74,0,Matches
347,Sergej Milinković-Savić,rs SRB,MF,Lazio,27-021,1995,25.5,44,34,12,23,9,10,46,21.7,36,425,119,28.0,100,211,114,38,6,0,32,37,81,36,0,Matches
348,Vanja Milinković-Savić,rs SRB,GK,Torino,25-028,1997,25.0,0,0,0,0,0,0,2,0.0,2,4,0,0.0,4,0,0,0,0,0,0,0,0,0,2,Matches
349,Aleksei Miranchuk,ru RUS,MFFW,Atalanta,26-154,1995,6.5,8,4,2,4,2,2,4,50.0,2,121,30,24.8,15,51,55,5,0,0,5,3,11,6,0,Matches
350,Henrikh Mkhitaryan,am ARM,MFFW,Roma,33-058,1989,23.2,39,26,14,19,6,12,44,27.3,32,474,140,29.5,114,246,114,37,2,0,35,36,75,16,0,Matches
351,Marco Modolo,it ITA,DF,Venezia,32-362,1989,3.4,1,1,1,0,0,0,3,0.0,3,23,8,34.8,13,9,1,10,6,0,4,3,4,18,0,Matches
352,Nahuel Molina,ar ARG,DF,Udinese,24-108,1997,22.2,32,18,14,13,5,13,31,41.9,18,302,73,24.2,104,127,71,38,4,0,34,33,65,25,1,Matches
353,Cristian Molinaro,it ITA,DF,Venezia,38-233,1983,6.1,13,9,8,5,0,5,7,71.4,2,63,17,27.0,39,17,7,13,2,0,11,9,22,23,0,Matches
354,Lorenzo Montipò,it ITA,GK,Hellas Verona,26-028,1996,26.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,2,Matches
355,Álvaro Morata,es ESP,FW,Juventus,29-148,1992,21.1,12,10,2,5,5,3,18,16.7,15,355,103,29.0,45,140,170,31,2,0,29,14,26,16,0,Matches
356,Raúl Moro,es ESP,FW,Lazio,19-105,2002,2.2,2,0,0,2,0,2,5,40.0,3,36,5,13.9,10,14,12,4,0,0,4,1,3,0,0,Matches
357,Andrei Motoc,ro ROU,DF,Salernitana,20-078,2002,1.0,2,2,1,1,0,1,1,100.0,0,9,2,22.2,5,3,1,3,2,0,1,3,5,2,0,Matches
358,Lys Mousset,fr FRA,FWMF,Salernitana,26-040,1996,1.7,0,0,0,0,0,0,2,0.0,2,48,9,18.8,6,12,30,1,1,0,0,1,1,1,0,Matches
359,Samuel Mráz,sk SVK,FW,Spezia,24-311,1997,0.6,0,0,0,0,0,0,0,,0,7,2,28.6,0,4,3,2,0,0,2,0,0,0,0,Matches
360,Mert Müldür,tr TUR,DF,Sassuolo,22-351,1999,16.1,35,20,28,4,3,21,35,60.0,14,183,52,28.4,93,51,39,34,6,0,28,23,58,38,1,Matches
361,Luis Muriel,co COL,FW,Atalanta,30-338,1991,10.3,9,4,2,1,6,3,12,25.0,9,131,40,30.5,10,42,79,9,1,0,8,7,16,4,0,Matches
362,Vedat Muriqi,xk KVX,FW,Lazio,27-330,1994,2.4,1,0,1,0,0,0,3,0.0,3,39,7,17.9,10,9,20,2,0,0,2,1,2,1,0,Matches
363,Nicola Murru,it ITA,DF,Sampdoria,27-094,1994,7.8,18,10,7,10,1,6,11,54.5,5,104,31,29.8,41,47,16,21,3,0,18,9,27,13,0,Matches
364,Juan Musso,ar ARG,GK,Atalanta,27-318,1994,23.6,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,0,0,0,Matches
365,Joakim Mæhle,dk DEN,DF,Atalanta,24-304,1997,14.4,19,12,8,8,3,6,20,30.0,14,156,49,31.4,51,61,44,33,3,0,30,18,37,11,0,Matches
366,Nahitan Nández,uy URU,MFDF,Cagliari,26-082,1995,14.9,32,23,13,11,8,17,31,54.8,14,292,84,28.8,87,124,81,17,1,0,16,11,43,15,0,Matches
367,Nani,pt POR,MFFW,Venezia,35-123,1986,2.2,3,2,1,1,1,1,3,33.3,2,33,5,15.2,6,16,11,1,0,0,1,4,7,0,0,Matches
368,Matija Nastasić,rs SRB,DF,Fiorentina,28-357,1993,2.4,3,2,2,1,0,3,3,100.0,0,22,10,45.5,9,11,2,4,2,0,2,6,9,10,0,Matches
369,Ilija Nestorovski,mk MKD,FW,Udinese,32-008,1990,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,1,0,2,0,0,0,0,0,0,0,0,Matches
370,Aurélien Nguiamba,fr FRA,MF,Spezia,23-061,1999,0.4,1,0,0,1,0,1,2,50.0,1,20,2,10.0,5,14,1,0,0,0,0,0,1,1,0,Matches
371,Dimitris Nikolaou,gr GRE,DF,Spezia,23-219,1998,28.0,44,26,33,11,0,14,25,56.0,11,295,109,36.9,177,107,11,55,22,0,33,57,101,115,1,Matches
372,Jean-Pierre Nsame,cm CMR,FW,Venezia,28-323,1993,1.5,1,1,0,0,1,0,0,,0,26,8,30.8,2,14,10,0,0,0,0,0,1,0,0,Matches
373,Bram Nuytinck,nl NED,DF,Udinese,31-320,1990,19.3,27,16,17,10,0,8,27,29.6,19,178,56,31.5,101,75,2,45,26,1,19,28,55,91,0,Matches
374,Simeon Nwankwo,ng NGA,FW,Salernitana,29-317,1992,9.4,6,4,0,5,1,3,9,33.3,6,119,30,25.2,11,51,57,8,4,0,4,4,10,7,0,Matches
375,M'Bala Nzola,ao ANG,FW,Spezia,25-214,1996,11.7,7,3,2,2,3,0,5,0.0,5,174,39,22.4,16,74,84,8,1,0,7,2,9,14,0,Matches
376,Adam Obert,sk SVK,DF,Cagliari,19-209,2002,2.9,6,4,4,2,0,3,3,100.0,0,49,16,32.7,28,17,4,6,5,0,1,5,11,10,0,Matches
377,Joel Obi,ng NGA,MF,Salernitana,30-302,1991,12.3,23,10,6,12,5,2,8,25.0,6,247,60,24.3,79,118,50,16,6,0,10,19,42,7,0,Matches
378,Brain Oddei,it ITA,FW,Sassuolo,19-183,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Álvaro Odriozola,es ESP,DF,Fiorentina,26-096,1995,17.6,25,15,12,8,5,8,24,33.3,16,261,85,32.6,95,91,75,32,9,0,23,26,51,18,1,Matches
380,Stefano Okaka,it ITA,FW,Udinese,32-223,1989,0.2,1,0,0,0,1,0,0,,0,5,2,40.0,0,2,3,1,0,0,1,0,1,1,1,Matches
381,David Okereke,ng NGA,FWMF,Venezia,24-203,1997,17.6,17,9,6,6,5,5,16,31.3,11,305,65,21.3,53,142,110,22,1,0,21,8,25,16,0,Matches
382,Christian Oliva,uy URU,MF,Cagliari,25-292,1996,0.5,2,2,1,1,0,1,3,33.3,2,13,5,38.5,9,4,0,1,0,0,1,0,2,0,0,Matches
383,Sérgio Oliveira,pt POR,MF,Roma,29-291,1992,4.5,14,8,6,6,2,7,14,50.0,7,120,35,29.2,35,69,16,6,0,0,6,7,21,5,0,Matches
384,Riccardo Orsolini,it ITA,FWDF,Bologna,25-055,1997,14.2,14,6,7,5,2,8,21,38.1,13,181,48,26.5,41,69,71,10,4,0,6,8,22,5,0,Matches
385,Victor Osimhen,ng NGA,FW,Napoli,23-081,1998,16.0,12,6,3,2,7,1,3,33.3,2,240,58,24.2,13,67,160,14,6,0,8,6,18,13,0,Matches
386,David Ospina,co COL,GK,Napoli,33-201,1988,26.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
387,Adam Ounas,dz ALG,MFFW,Napoli,25-129,1996,3.6,6,3,2,2,2,1,3,33.3,2,59,14,23.7,9,28,22,3,0,0,3,5,11,2,0,Matches
388,Daniele Padelli,it ITA,GK,Udinese,36-146,1985,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Goran Pandev,mk MKD,FWMF,Genoa,38-236,1983,9.4,4,3,1,0,3,0,6,0.0,6,105,36,34.3,9,42,54,6,3,0,3,5,9,0,0,Matches
390,Ivor Pandur,hr CRO,GK,Hellas Verona,21-360,2000,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Fabiano Parisi,it ITA,DF,Empoli,21-131,2000,10.5,31,20,21,9,1,9,19,47.4,10,183,61,33.3,84,73,26,20,4,0,16,28,59,18,0,Matches
392,Mario Pašalić,hr CRO,MFFW,Atalanta,27-039,1995,16.9,21,15,4,14,3,6,20,30.0,14,245,73,29.8,54,131,60,25,5,0,20,20,41,19,0,Matches
393,Patric,es ESP,DF,Lazio,28-337,1993,12.0,13,6,9,3,1,4,14,28.6,10,96,29,30.2,55,38,3,18,5,0,13,17,30,35,0,Matches
394,Rui Patrício,pt POR,GK,Roma,34-033,1988,29.0,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,1,0,0,1,0,0,0,0,Matches
395,Leonardo Pavoletti,it ITA,FW,Cagliari,33-114,1988,12.9,11,7,2,8,1,2,6,33.3,4,144,45,31.3,16,53,75,13,6,0,7,6,17,8,0,Matches
396,Pedro,es ESP,FW,Lazio,34-235,1987,20.5,37,22,10,17,10,20,42,47.6,22,280,73,26.1,62,128,90,19,2,0,17,17,54,6,0,Matches
397,João Pedro,br BRA,FW,Cagliari,30-011,1992,29.0,17,14,4,9,4,3,12,25.0,9,383,91,23.8,42,179,162,23,8,0,15,10,27,17,0,Matches
398,Gianluca Pegolo,it ITA,GK,Sassuolo,40-360,1981,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
399,Pietro Pellegri,it ITA,FW,Milan,21-003,2001,1.5,3,3,0,1,2,0,2,0.0,2,42,13,31.0,2,21,19,0,0,0,0,2,5,1,0,Matches
400,Pietro Pellegri,it ITA,FW,Torino,21-003,2001,0.4,1,1,0,1,0,0,0,,0,5,2,40.0,1,2,2,0,0,0,0,0,1,1,0,Matches
401,Lorenzo Pellegrini,it ITA,MF,Roma,25-274,1996,18.7,25,11,10,10,5,8,35,22.9,27,346,83,24.0,68,174,104,23,2,0,21,20,45,16,0,Matches
402,Luca Pellegrini,it ITA,DF,Juventus,23-013,1999,8.7,22,16,14,5,3,8,11,72.7,3,138,54,39.1,75,33,30,16,1,0,15,9,31,16,0,Matches
403,Federico Peluso,it ITA,DF,Sassuolo,38-059,1984,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
404,Gastón Pereiro,uy URU,FWMF,Cagliari,26-282,1995,9.1,7,3,2,4,1,4,16,25.0,12,213,52,24.4,36,86,91,10,1,0,9,3,10,4,0,Matches
405,Dor Peretz,il ISR,MF,Venezia,26-307,1995,3.9,13,9,4,7,2,7,17,41.2,10,74,19,25.7,26,41,7,5,3,0,2,3,16,7,0,Matches
406,Roberto Pereyra,ar ARG,MFFW,Udinese,31-072,1991,15.0,12,8,5,3,4,4,15,26.7,11,242,50,20.7,68,102,72,23,4,0,19,13,25,5,0,Matches
407,Carles Pérez,es ESP,MFFW,Roma,24-032,1998,3.8,4,2,2,2,0,1,6,16.7,5,87,28,32.2,25,26,36,6,0,0,6,2,6,0,0,Matches
408,Nehuén Pérez,ar ARG,DF,Udinese,21-269,2000,11.2,32,16,15,14,3,12,20,60.0,8,160,56,35.0,88,62,10,23,4,0,19,16,48,33,0,Matches
409,Mattia Perin,it ITA,GK,Juventus,29-130,1992,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
410,Ivan Perišić,hr CRO,DF,Inter,33-046,1989,22.9,36,24,20,6,10,19,40,47.5,21,254,70,27.6,60,95,99,43,6,0,37,45,81,22,1,Matches
411,Diego Perotti,ar ARG,FWMF,Salernitana,33-237,1988,1.9,6,2,5,1,0,1,7,14.3,6,46,9,19.6,11,18,17,5,0,0,5,1,7,1,0,Matches
412,Mario Perrone,it ITA,DF,Salernitana,19-042,2003,0.2,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,1,0,Matches
413,Matteo Pessina,it ITA,MFFW,Atalanta,24-333,1997,12.4,22,15,9,10,3,8,25,32.0,17,218,86,39.4,41,90,87,26,4,0,22,16,38,7,0,Matches
414,Andrea Petagna,it ITA,FW,Napoli,26-263,1995,5.8,4,4,0,2,2,2,3,66.7,1,76,27,35.5,6,33,37,1,0,0,1,0,4,3,0,Matches
415,Giuseppe Pezzella,it ITA,DF,Atalanta,24-111,1997,9.6,31,16,13,12,6,10,17,58.8,7,96,30,31.3,33,41,22,22,5,0,17,10,41,11,0,Matches
416,Krzysztof Piątek,pl POL,FW,Fiorentina,26-262,1995,5.9,5,3,1,3,1,1,2,50.0,1,149,36,24.2,8,49,92,5,0,0,5,3,8,6,0,Matches
417,Roberto Piccoli,it ITA,FW,Genoa,21-052,2001,0.5,0,0,0,0,0,0,0,,0,10,2,20.0,1,5,4,0,0,0,0,0,0,0,0,Matches
418,Roberto Piccoli,it ITA,FW,Atalanta,21-052,2001,2.2,1,1,0,0,1,0,2,0.0,2,40,13,32.5,2,14,24,2,1,0,1,0,1,0,0,Matches
419,Andrea Pinamonti,it ITA,FW,Empoli,22-305,1999,23.9,10,4,0,5,5,1,12,8.3,11,324,75,23.1,17,99,208,18,4,0,14,8,18,19,0,Matches
420,Marko Pjaca,hr CRO,FWMF,Torino,26-318,1995,10.5,10,6,2,5,3,3,5,60.0,2,126,37,29.4,20,66,40,11,2,0,9,8,18,4,0,Matches
421,Tommaso Pobega,it ITA,MF,Torino,22-248,1999,20.0,41,26,14,18,9,14,35,40.0,21,394,137,34.8,99,182,113,33,1,0,32,26,67,33,0,Matches
422,Suf Podgoreanu,il ISR,FW,Spezia,20-059,2002,1.3,6,4,1,2,3,1,3,33.3,2,30,10,33.3,4,16,10,2,0,0,2,0,6,4,0,Matches
423,Matteo Politano,it ITA,FW,Napoli,28-229,1993,15.9,22,15,9,10,3,9,40,22.5,31,270,80,29.6,65,101,104,16,1,0,15,13,35,7,0,Matches
424,Manolo Portanova,it ITA,MFFW,Genoa,21-291,2000,10.5,37,17,9,18,10,11,23,47.8,12,259,65,25.1,63,131,65,19,1,0,18,17,54,15,0,Matches
425,Dennis Praet,be BEL,MFFW,Torino,27-310,1994,11.8,17,7,5,7,5,2,11,18.2,9,148,41,27.7,22,75,51,11,1,0,10,12,29,2,0,Matches
426,Mateusz Praszelik,pl POL,FWMF,Hellas Verona,21-175,2000,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,3,1,0,0,0,0,0,0,1,0,Matches
427,Ivan Provedel,it ITA,GK,Spezia,28-003,1994,23.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1,Matches
428,Erick Pulgar,cl CHI,MF,Fiorentina,28-064,1994,3.8,6,2,4,1,1,2,5,40.0,3,50,10,20.0,20,24,6,4,1,0,3,6,12,5,1,Matches
429,Ignacio Pussetto,ar ARG,FWMF,Udinese,26-089,1995,9.9,16,11,4,6,6,2,12,16.7,10,200,54,27.0,22,94,84,20,2,0,18,6,22,6,0,Matches
430,Niklas Pyyhtiä,fi FIN,MF,Bologna,18-176,2003,0.2,1,0,0,0,1,0,2,0.0,2,6,1,16.7,0,4,2,1,0,0,1,0,1,0,0,Matches
431,Fabio Quagliarella,it ITA,FW,Sampdoria,39-048,1983,15.8,2,2,0,1,1,0,8,0.0,8,240,59,24.6,46,78,116,9,1,0,8,9,11,11,0,Matches
432,Adrien Rabiot,fr FRA,MF,Juventus,26-351,1995,17.7,48,37,28,16,4,10,20,50.0,10,404,137,33.9,166,177,61,35,7,0,28,21,69,22,0,Matches
433,Ivan Radovanović,rs SRB,MF,Salernitana,33-203,1988,2.9,5,2,3,2,0,2,8,25.0,6,35,15,42.9,15,13,7,3,1,0,2,2,7,4,0,Matches
434,Ștefan Radu,ro ROU,DF,Lazio,35-149,1986,5.4,5,2,2,3,0,3,8,37.5,5,45,16,35.6,18,25,2,8,2,0,6,10,15,16,0,Matches
435,Boris Radunović,rs SRB,GK,Cagliari,25-298,1996,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
436,Aaron Ramsey,wls WAL,MF,Juventus,31-084,1990,1.1,0,0,0,0,0,0,0,,0,4,0,0.0,2,2,0,0,0,0,0,2,2,0,0,Matches
437,Luca Ranieri,it ITA,DF,Salernitana,22-331,1999,20.8,31,20,21,6,4,12,27,44.4,15,175,52,29.7,73,60,42,34,6,0,28,30,61,47,0,Matches
438,Andrea Ranocchia,it ITA,DF,Inter,34-032,1988,3.6,8,6,7,0,1,1,3,33.3,2,45,19,42.2,25,20,0,2,2,0,0,4,12,19,0,Matches
439,Giacomo Raspadori,it ITA,MFFW,Sassuolo,22-030,2000,22.6,26,20,5,14,7,5,21,23.8,16,329,93,28.3,57,153,119,24,4,0,20,17,43,5,1,Matches
440,Ante Rebić,hr CRO,FW,Milan,28-180,1993,7.7,10,2,1,5,4,5,15,33.3,10,171,37,21.6,11,68,92,10,0,0,10,1,11,5,0,Matches
441,Arkadiusz Reca,pl POL,DF,Spezia,26-276,1995,15.7,27,16,18,5,4,16,29,55.2,13,214,58,27.1,99,86,29,32,5,0,27,33,60,34,2,Matches
442,Pepe Reina,es ESP,GK,Lazio,39-201,1982,15.0,1,1,0,0,1,0,2,0.0,2,5,1,20.0,5,0,0,0,0,0,0,0,1,1,0,Matches
