,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
67,Giacomo Bonaventura,it ITA,MF,Fiorentina,32-210,1989,21.5,23,13,7,13,3,12,33,36.4,21,314,85,27.1,55,145,114,14,1,0,13,25,48,8,1,Matches
68,Federico Bonazzoli,it ITA,FWMF,Salernitana,24-303,1997,14.7,17,11,5,7,5,5,15,33.3,10,201,45,22.4,38,102,61,14,1,0,13,5,22,5,0,Matches
69,Kevin Bonifazi,it ITA,DF,Bologna,25-305,1996,10.2,19,13,9,7,3,6,9,66.7,3,110,41,37.3,53,46,11,16,4,0,12,16,35,39,0,Matches
70,Leonardo Bonucci,it ITA,DF,Juventus,34-323,1987,16.9,12,4,4,8,0,7,8,87.5,1,74,29,39.2,37,34,3,29,14,0,15,29,41,64,1,Matches
71,Mehdi Bourabia,ma MAR,MF,Spezia,30-225,1991,3.1,5,2,2,3,0,1,9,11.1,8,60,14,23.3,19,36,5,10,8,0,2,8,13,8,1,Matches
72,Edoardo Bove,it ITA,MF,Roma,19-308,2002,0.6,1,1,1,0,0,0,1,0.0,1,14,8,57.1,3,7,4,1,0,0,1,1,2,1,0,Matches
73,Josip Brekalo,hr CRO,MFFW,Torino,23-270,1998,18.7,9,4,4,2,3,3,16,18.8,13,207,58,28.0,37,81,89,14,1,0,13,8,17,5,0,Matches
74,Gleison Bremer,br BRA,DF,Torino,25-002,1997,26.3,40,23,17,22,1,6,13,46.2,7,440,184,41.8,200,223,17,67,21,0,46,101,141,154,1,Matches
75,Marcelo Brozović,hr CRO,MF,Inter,29-124,1992,24.0,51,32,24,18,9,16,53,30.2,37,426,121,28.4,171,200,55,30,9,0,21,45,96,19,0,Matches
76,Aleksander Buksa,pl POL,FW,Genoa,19-064,2003,0.7,0,0,0,0,0,0,1,0.0,1,18,2,11.1,3,9,6,0,0,0,0,0,0,1,0,Matches
