name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Angel Gomes,13653.846153846154,710000,7500,390000,11376.557692307691,591581,6249.096153846154,324953,15457.826923076924,803807,8490.923076923076,441528,4-yrs,2840000,1560000,2366325,1299812,3215227,1766111,Reserve,F,AM,21,England,Lille
Jere Uronen,13653.846153846154,710000,7500,390000,11376.557692307691,591581,6249.096153846154,324953,15457.826923076924,803807,8490.923076923076,441528,3-yrs,2130000,1170000,1774744,974859,2411420,1324583,Reserve,D,LB,27,Finland,Brest
Arbër Zeneli,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,2-yrs,1400000,780000,1166498,649906,1584971,883055,Reserve,F,LW,26,Kosovo,Reims
Zaydou Youssouf,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,2-yrs,1400000,780000,1166498,649906,1584971,883055,Starter,M,CM,22,France,St-Etienne
Farid Boulaya,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,1-yr,700000,390000,583249,324953,792486,441528,Starter,F,AM,28,Algeria,Metz
Danilo Barbosa,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,2-yrs,1400000,780000,1166498,649906,1584971,883055,Reserve,M,DM,25,Brazil,Nice
Timothy Weah,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,3-yrs,2100000,1170000,1749747,974859,2377457,1324583,Starter,F,CF,21,United States,Lille
Abdu Conté,13461.538461538461,700000,7500,390000,11216.326923076924,583249,6249.096153846154,324953,15240.115384615385,792486,8490.923076923076,441528,5-yrs,3500000,1950000,2916245,1624765,3962428,2207638,Starter,D,LB,23,Portugal,Troyes
Romain Salin,13269.23076923077,690000,7307.692307692308,380000,11056.096153846154,574917,6088.865384615385,316621,15022.384615384615,781164,8273.192307692309,430206,3-yrs,2070000,1140000,1724751,949863,2343493,1290619,Reserve,K,GK,37,France,Rennes
Souleyman Doumbia,13076.923076923076,680000,7115.384615384615,370000,10895.865384615385,566585,5928.634615384615,308289,14804.673076923076,769843,8055.4807692307695,418885,2-yrs,1360000,740000,1133170,616578,1539686,837771,Starter,D,LB,25,Cote d&#39;Ivoire,Angers
